ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123AL40,15.01.2030,7211,USD,162.350694,6.5,164.949653,6.34
US900123AL40,15.01.2030,7210,USD,163.133681,6.45,165.331597,6.33
US900123AL40,15.01.2030,7209,USD,162.916667,6.47,165.114583,6.34
US900123AL40,15.01.2030,7208,USD,162.199653,6.52,164.897569,6.36
US900123AL40,15.01.2030,7204,USD,161.831597,6.55,164.680556,6.37
US900123AL40,15.01.2030,7203,USD,161.864583,6.55,164.213542,6.4
US900123AL40,15.01.2030,7202,USD,160.147569,6.66,163.3125,6.47
US900123AL40,15.01.2030,7201,USD,160.930556,6.61,163.595486,6.45
US900123AL40,15.01.2030,7200,USD,161.963542,6.55,164.878472,6.37
US900123AL40,15.01.2030,7197,USD,162.3125,6.53,165.161458,6.35
US900123AL40,15.01.2030,7196,USD,162.845486,6.5,165.194444,6.35
US900123AL40,15.01.2030,7195,USD,160.378472,6.66,163.543403,6.46
US900123AL40,15.01.2030,7194,USD,159.161458,6.74,162.326389,6.54
US900123AL40,15.01.2030,7193,USD,156.194444,6.94,160.359375,6.67
US900123AL40,15.01.2030,7190,USD,160.793403,6.64,164.392361,6.42
US900123AL40,15.01.2030,7189,USD,160.326389,6.67,163.425347,6.48
US900123AL40,15.01.2030,7188,USD,161.859375,6.58,164.524306,6.41
US900123AL40,15.01.2030,7187,USD,163.392361,6.48,166.057292,6.32
US900123AL40,15.01.2030,7186,USD,162.925347,6.51,165.623264,6.35
US900123AL40,15.01.2030,7183,USD,161.274306,6.62,164.15625,6.45
US900123AL40,15.01.2030,7182,USD,162.307292,6.56,165.255208,6.38
US900123AL40,15.01.2030,7180,USD,160.623264,6.67,163.788194,6.48
US900123AL40,15.01.2030,7179,USD,160.15625,6.7,163.821181,6.48
US900123AL40,15.01.2030,7176,USD,160.505208,6.69,163.604167,6.49
US900123AL40,15.01.2030,7175,USD,159.788194,6.74,163.137153,6.52
US900123AL40,15.01.2030,7174,USD,161.071181,6.65,164.736111,6.43
US900123AL40,15.01.2030,7173,USD,163.604167,6.49,166.769097,6.3
US900123AL40,15.01.2030,7172,USD,164.137153,6.46,166.802083,6.3
US900123AL40,15.01.2030,7169,USD,164.453125,6.44,167.302083,6.27
US900123AL40,15.01.2030,7168,USD,164.486111,6.44,167.335069,6.27
US900123AL40,15.01.2030,7167,USD,164.019097,6.47,166.934028,6.3
US900123AL40,15.01.2030,7166,USD,165.552083,6.38,169.217014,6.16
US900123AL40,15.01.2030,7165,USD,165.085069,6.41,168.25,6.22
US900123AL40,15.01.2030,7162,USD,163.434028,6.52,166.532986,6.33
US900123AL40,15.01.2030,7161,USD,164.467014,6.46,167.315972,6.28
US900123AL40,15.01.2030,7160,USD,164.5,6.46,167.414931,6.28
US900123AL40,15.01.2030,7159,USD,164.282986,6.47,167.197917,6.3
US900123AL40,15.01.2030,7158,USD,165.315972,6.41,168.230903,6.24
US900123AL40,15.01.2030,7155,USD,164.914931,6.44,167.763889,6.27
US900123AL40,15.01.2030,7154,USD,164.947917,6.44,167.546875,6.28
US900123AL40,15.01.2030,7153,USD,165.480903,6.41,168.395833,6.23
US900123AL40,15.01.2030,7152,USD,166.013889,6.38,168.678819,6.22
US900123AL40,15.01.2030,7151,USD,166.546875,6.34,169.211806,6.19
US900123AL40,15.01.2030,7148,USD,167.895833,6.27,170.494792,6.11
US900123AL40,15.01.2030,7147,USD,166.928819,6.33,169.527778,6.17
US900123AL40,15.01.2030,7146,USD,166.711806,6.34,169.376736,6.19
US900123AL40,15.01.2030,7145,USD,166.994792,6.33,169.659722,6.17
US900123AL40,15.01.2030,7144,USD,166.027778,6.39,168.692708,6.23
US900123AL40,15.01.2030,7141,USD,165.876736,6.4,168.975694,6.22
US900123AL40,15.01.2030,7140,USD,166.409722,6.37,169.008681,6.22
US900123AL40,15.01.2030,7139,USD,165.692708,6.42,168.390625,6.26
US900123AL40,15.01.2030,7138,USD,165.975694,6.4,168.673611,6.25
US900123AL40,15.01.2030,7137,USD,166.508681,6.37,169.206597,6.21
US900123AL40,15.01.2030,7134,USD,166.857639,6.36,169.706597,6.18
US900123AL40,15.01.2030,7133,USD,166.640625,6.37,169.239583,6.21
US900123AL40,15.01.2030,7132,USD,167.073611,6.35,169.588542,6.2
US900123AL40,15.01.2030,7131,USD,167.956597,6.29,170.621528,6.14
US900123AL40,15.01.2030,7130,USD,168.239583,6.28,170.904514,6.12
US900123AL40,15.01.2030,7127,USD,168.588542,6.26,165.25,6.11
US900123AL40,15.01.2030,7126,USD,169.271528,6.22,165.932986,6.07
US900123AL40,15.01.2030,7125,USD,169.404514,6.21,166.131944,6.06
US900123AL40,15.01.2030,7123,USD,163.032986,6.24,165.847917,6.08
US900123AL40,15.01.2030,7120,USD,163.631944,6.21,166.480903,6.04
US900123AL40,15.01.2030,7119,USD,163.414931,6.23,166.163889,6.06
US900123AL40,15.01.2030,7118,USD,163.947917,6.2,167.162847,6.01
US900123AL40,15.01.2030,7117,USD,165.480903,6.1,168.295833,5.94
US900123AL40,15.01.2030,7116,USD,167.013889,6.01,169.828819,5.85
US900123AL40,15.01.2030,7113,USD,167.862847,5.97,170.711806,5.8
