ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123AT75,14.02.2034,8702,USD,116.194444,6.75,119.011111,6.54
US900123AT75,14.02.2034,8701,USD,117.216667,6.67,119.6,6.5
US900123AT75,14.02.2034,8700,USD,116.988889,6.69,119.372222,6.52
US900123AT75,14.02.2034,8699,USD,116.011111,6.76,118.894444,6.56
US900123AT75,14.02.2034,8695,USD,115.35,6.82,118.166667,6.61
US900123AT75,14.02.2034,8694,USD,115.122222,6.84,117.938889,6.63
US900123AT75,14.02.2034,8693,USD,113.894444,6.94,117.005556,6.71
US900123AT75,14.02.2034,8692,USD,114.666667,6.88,117.277778,6.69
US900123AT75,14.02.2034,8691,USD,115.188889,6.84,118.3,6.61
US900123AT75,14.02.2034,8688,USD,115.505556,6.82,118.572222,6.59
US900123AT75,14.02.2034,8687,USD,116.027778,6.78,118.594444,6.59
US900123AT75,14.02.2034,8686,USD,114.3,6.92,117.411111,6.69
US900123AT75,14.02.2034,8685,USD,112.822222,7.04,115.933333,6.8
US900123AT75,14.02.2034,8684,USD,110.844444,7.2,114.955556,6.88
US900123AT75,14.02.2034,8681,USD,113.911111,6.96,116.977778,6.73
US900123AT75,14.02.2034,8680,USD,114.183333,6.94,117.25,6.71
US900123AT75,14.02.2034,8679,USD,114.955556,6.88,118.066667,6.65
US900123AT75,14.02.2034,8678,USD,116.477778,6.76,119.588889,6.54
US900123AT75,14.02.2034,8677,USD,116.5,6.76,119.633333,6.54
US900123AT75,14.02.2034,8674,USD,115.316667,6.86,118.405556,6.63
US900123AT75,14.02.2034,8673,USD,116.088889,6.8,118.972222,6.59
US900123AT75,14.02.2034,8671,USD,114.383333,6.94,117.494444,6.71
US900123AT75,14.02.2034,8670,USD,113.655556,7.0,117.266667,6.72
US900123AT75,14.02.2034,8667,USD,113.722222,7.0,116.788889,6.76
US900123AT75,14.02.2034,8666,USD,113.494444,7.02,116.561111,6.78
US900123AT75,14.02.2034,8665,USD,114.266667,6.96,117.877778,6.69
US900123AT75,14.02.2034,8664,USD,116.038889,6.82,119.15,6.59
US900123AT75,14.02.2034,8663,USD,116.561111,6.78,119.672222,6.55
US900123AT75,14.02.2034,8660,USD,116.855556,6.76,119.922222,6.54
US900123AT75,14.02.2034,8659,USD,116.877778,6.76,119.944444,6.54
US900123AT75,14.02.2034,8658,USD,116.4,6.8,119.511111,6.57
US900123AT75,14.02.2034,8657,USD,117.422222,6.72,121.033333,6.46
US900123AT75,14.02.2034,8656,USD,117.444444,6.72,120.555556,6.5
US900123AT75,14.02.2034,8653,USD,116.261111,6.82,119.327778,6.59
US900123AT75,14.02.2034,8652,USD,116.783333,6.78,119.85,6.55
US900123AT75,14.02.2034,8651,USD,116.555556,6.8,119.666667,6.57
US900123AT75,14.02.2034,8650,USD,116.577778,6.8,119.688889,6.57
US900123AT75,14.02.2034,8649,USD,117.1,6.76,119.711111,6.57
US900123AT75,14.02.2034,8646,USD,117.166667,6.76,119.983333,6.55
US900123AT75,14.02.2034,8645,USD,117.438889,6.74,120.255556,6.54
US900123AT75,14.02.2034,8644,USD,117.711111,6.72,120.572222,6.52
US900123AT75,14.02.2034,8643,USD,117.733333,6.72,120.594444,6.52
US900123AT75,14.02.2034,8642,USD,118.505556,6.67,120.116667,6.55
US900123AT75,14.02.2034,8639,USD,119.322222,6.61,121.888889,6.43
US900123AT75,14.02.2034,8638,USD,118.844444,6.65,121.411111,6.46
US900123AT75,14.02.2034,8637,USD,118.866667,6.65,121.477778,6.46
US900123AT75,14.02.2034,8636,USD,119.138889,6.63,122.0,6.42
US900123AT75,14.02.2034,8635,USD,118.661111,6.67,121.522222,6.46
US900123AT75,14.02.2034,8632,USD,118.727778,6.67,121.544444,6.46
US900123AT75,14.02.2034,8631,USD,118.75,6.67,121.566667,6.46
US900123AT75,14.02.2034,8630,USD,118.522222,6.68,121.155556,6.5
US900123AT75,14.02.2034,8629,USD,118.544444,6.68,121.177778,6.5
US900123AT75,14.02.2034,8628,USD,118.816667,6.67,121.7,6.46
US900123AT75,14.02.2034,8625,USD,119.383333,6.63,121.95,6.44
US900123AT75,14.02.2034,8624,USD,119.155556,6.65,121.722222,6.46
US900123AT75,14.02.2034,8623,USD,119.427778,6.63,122.188889,6.43
US900123AT75,14.02.2034,8622,USD,120.2,6.57,122.961111,6.38
US900123AT75,14.02.2034,8621,USD,120.722222,6.53,123.483333,6.34
US900123AT75,14.02.2034,8618,USD,120.788889,6.53,123.505556,6.34
US900123AT75,14.02.2034,8617,USD,121.211111,6.5,123.877778,6.32
US900123AT75,14.02.2034,8616,USD,121.833333,6.46,124.644444,6.27
US900123AT75,14.02.2034,8615,USD,121.705556,6.47,124.466667,6.28
US900123AT75,14.02.2034,8614,USD,121.377778,6.5,124.138889,6.31
US900123AT75,14.02.2034,8611,USD,121.944444,6.46,124.761111,6.26
US900123AT75,14.02.2034,8610,USD,121.966667,6.46,124.783333,6.26
US900123AT75,14.02.2034,8609,USD,122.488889,6.42,125.25,6.23
US900123AT75,14.02.2034,8608,USD,123.761111,6.33,126.522222,6.15
US900123AT75,14.02.2034,8607,USD,125.033333,6.24,127.894444,6.05
US900123AT75,14.02.2034,8604,USD,125.6,6.21,128.666667,6.0
US900123AT75,14.02.2034,8603,USD,126.122222,6.17,128.938889,5.99
US900123AT75,14.02.2034,8602,USD,125.644444,6.21,128.233333,6.04
US900123AT75,14.02.2034,8601,USD,125.166667,6.24,127.755556,6.07
US900123AT75,14.02.2034,8600,USD,125.188889,6.24,127.777778,6.07
US900123AT75,14.02.2034,8597,USD,125.233333,6.24,127.8,6.07
US900123AT75,14.02.2034,8596,USD,125.505556,6.23,128.072222,6.05
US900123AT75,14.02.2034,8595,USD,125.777778,6.21,128.388889,6.04
US900123AT75,14.02.2034,8594,USD,126.05,6.19,128.561111,6.03
US900123AT75,14.02.2034,8593,USD,126.322222,6.17,128.933333,6.0
US900123AT75,14.02.2034,8590,USD,127.638889,6.09,130.205556,5.92
US900123AT75,14.02.2034,8589,USD,128.661111,6.02,131.227778,5.85
US900123AT75,14.02.2034,8588,USD,127.683333,6.09,126.444444,5.91
US900123AT75,14.02.2034,8587,USD,125.955556,6.21,125.066667,6.0
US900123AT75,14.02.2034,8586,USD,126.727778,6.16,125.838889,5.95
US900123AT75,14.02.2034,8583,USD,123.044444,6.14,126.111111,5.93
US900123AT75,14.02.2034,8582,USD,122.816667,6.16,125.883333,5.95
US900123AT75,14.02.2034,8581,USD,124.588889,6.04,127.7,5.83
US900123AT75,14.02.2034,8580,USD,125.111111,6.0,127.972222,5.82
US900123AT75,14.02.2034,8579,USD,125.383333,5.98,128.244444,5.8
US900123AT75,14.02.2034,8576,USD,125.7,5.97,128.516667,5.78
US900123AT75,14.02.2034,8575,USD,126.222222,5.93,129.038889,5.75
US900123AT75,14.02.2034,8574,USD,124.494444,6.05,127.355556,5.87
US900123AT75,14.02.2034,8573,USD,124.266667,6.07,127.127778,5.88
US900123AT75,14.02.2034,8572,USD,124.288889,6.07,127.127778,5.88
