ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123AW05,05.02.2025,5406,USD,111.765972,6.3,114.327431,6.06
US900123AW05,05.02.2025,5405,USD,112.786458,6.2,114.909375,6.01
US900123AW05,05.02.2025,5404,USD,112.306944,6.25,114.429861,6.06
US900123AW05,05.02.2025,5403,USD,111.577431,6.32,114.200347,6.08
US900123AW05,05.02.2025,5399,USD,111.409375,6.35,114.220833,6.08
US900123AW05,05.02.2025,5398,USD,111.179861,6.37,113.491319,6.15
US900123AW05,05.02.2025,5397,USD,109.450347,6.55,112.302778,6.27
US900123AW05,05.02.2025,5396,USD,110.720833,6.42,113.073264,6.2
US900123AW05,05.02.2025,5395,USD,111.741319,6.32,114.59375,6.05
US900123AW05,05.02.2025,5392,USD,111.802778,6.32,114.614236,6.05
US900123AW05,05.02.2025,5391,USD,112.323264,6.27,114.634722,6.05
US900123AW05,05.02.2025,5390,USD,110.59375,6.45,113.696181,6.15
US900123AW05,05.02.2025,5389,USD,109.114236,6.6,112.216667,6.3
US900123AW05,05.02.2025,5388,USD,106.884722,6.83,110.987153,6.42
US900123AW05,05.02.2025,5385,USD,109.946181,6.52,113.007639,6.22
US900123AW05,05.02.2025,5384,USD,109.966667,6.52,113.028125,6.22
US900123AW05,05.02.2025,5383,USD,110.987153,6.42,114.089583,6.12
US900123AW05,05.02.2025,5382,USD,111.757639,6.34,114.860069,6.05
US900123AW05,05.02.2025,5381,USD,111.778125,6.34,114.901042,6.05
US900123AW05,05.02.2025,5378,USD,110.589583,6.47,113.671528,6.17
US900123AW05,05.02.2025,5377,USD,111.610069,6.37,114.732986,6.08
US900123AW05,05.02.2025,5375,USD,110.401042,6.49,113.503472,6.2
US900123AW05,05.02.2025,5374,USD,109.671528,6.57,113.023958,6.24
US900123AW05,05.02.2025,5371,USD,110.482986,6.49,113.794444,6.17
US900123AW05,05.02.2025,5370,USD,109.753472,6.57,113.314931,6.22
US900123AW05,05.02.2025,5369,USD,110.523958,6.49,114.126389,6.15
US900123AW05,05.02.2025,5368,USD,112.044444,6.34,115.146875,6.05
US900123AW05,05.02.2025,5367,USD,112.814931,6.27,115.917361,5.98
US900123AW05,05.02.2025,5364,USD,112.855903,6.27,115.917361,5.98
US900123AW05,05.02.2025,5363,USD,112.876389,6.27,115.937847,5.98
US900123AW05,05.02.2025,5362,USD,112.396875,6.32,115.499306,6.03
US900123AW05,05.02.2025,5361,USD,113.167361,6.24,116.269792,5.95
US900123AW05,05.02.2025,5360,USD,113.187847,6.24,116.290278,5.95
US900123AW05,05.02.2025,5357,USD,111.999306,6.37,115.060764,6.07
US900123AW05,05.02.2025,5356,USD,112.769792,6.29,115.83125,6.0
US900123AW05,05.02.2025,5355,USD,112.790278,6.29,115.892708,6.0
US900123AW05,05.02.2025,5354,USD,112.560764,6.32,115.663194,6.02
US900123AW05,05.02.2025,5353,USD,113.58125,6.22,116.433681,5.95
US900123AW05,05.02.2025,5350,USD,113.642708,6.22,116.454167,5.95
US900123AW05,05.02.2025,5349,USD,113.413194,6.24,116.224653,5.98
US900123AW05,05.02.2025,5348,USD,113.933681,6.19,116.786111,5.93
US900123AW05,05.02.2025,5347,USD,114.204167,6.17,117.056597,5.91
US900123AW05,05.02.2025,5346,USD,114.474653,6.14,117.077083,5.91
US900123AW05,05.02.2025,5343,USD,115.036111,6.1,117.597569,5.86
US900123AW05,05.02.2025,5342,USD,114.806597,6.12,117.368056,5.88
US900123AW05,05.02.2025,5341,USD,114.827083,6.12,117.429514,5.88
US900123AW05,05.02.2025,5340,USD,115.097569,6.1,117.95,5.83
US900123AW05,05.02.2025,5339,USD,114.368056,6.17,116.970486,5.93
US900123AW05,05.02.2025,5336,USD,114.429514,6.17,117.240972,5.9
US900123AW05,05.02.2025,5335,USD,114.2,6.19,117.011458,5.93
US900123AW05,05.02.2025,5334,USD,113.970486,6.22,116.593403,5.97
US900123AW05,05.02.2025,5333,USD,103.740972,7.29,116.613889,5.97
US900123AW05,05.02.2025,5332,USD,114.261458,6.19,117.134375,5.93
US900123AW05,05.02.2025,5329,USD,114.572917,6.17,117.634375,5.88
US900123AW05,05.02.2025,5328,USD,114.593403,6.17,117.404861,5.9
US900123AW05,05.02.2025,5327,USD,114.863889,6.14,117.616319,5.89
US900123AW05,05.02.2025,5326,USD,115.634375,6.07,118.386806,5.82
US900123AW05,05.02.2025,5325,USD,116.154861,6.02,118.907292,5.77
US900123AW05,05.02.2025,5322,USD,116.216319,6.02,118.927778,5.77
US900123AW05,05.02.2025,5321,USD,116.736806,5.97,119.598264,5.71
US900123AW05,05.02.2025,5320,USD,117.107292,5.94,119.859722,5.69
US900123AW05,05.02.2025,5319,USD,117.277778,5.93,120.030208,5.68
US900123AW05,05.02.2025,5318,USD,117.298264,5.93,120.050694,5.68
US900123AW05,05.02.2025,5315,USD,117.859722,5.88,120.671181,5.62
US900123AW05,05.02.2025,5314,USD,117.880208,5.88,120.691667,5.62
US900123AW05,05.02.2025,5313,USD,118.250694,5.84,121.003125,5.6
US900123AW05,05.02.2025,5312,USD,119.421181,5.74,122.173611,5.49
US900123AW05,05.02.2025,5311,USD,119.441667,5.74,122.194097,5.49
US900123AW05,05.02.2025,5308,USD,120.503125,5.64,123.314583,5.4
US900123AW05,05.02.2025,5307,USD,120.773611,5.62,123.585069,5.37
US900123AW05,05.02.2025,5306,USD,120.544097,5.64,123.126042,5.42
US900123AW05,05.02.2025,5305,USD,120.314583,5.67,123.146528,5.42
US900123AW05,05.02.2025,5304,USD,120.085069,5.69,122.917014,5.44
US900123AW05,05.02.2025,5301,USD,120.126042,5.69,119.25,5.44
US900123AW05,05.02.2025,5300,USD,120.146528,5.69,119.270486,5.44
US900123AW05,05.02.2025,5297,USD,117.520486,5.6,120.372917,5.35
US900123AW05,05.02.2025,5294,USD,118.581944,5.51,121.393403,5.26
US900123AW05,05.02.2025,5293,USD,119.602431,5.42,122.163889,5.19
US900123AW05,05.02.2025,5292,USD,119.122917,5.46,121.875347,5.22
US900123AW05,05.02.2025,5291,USD,116.643403,5.69,119.745833,5.41
US900123AW05,05.02.2025,5290,USD,117.413889,5.62,120.266319,5.37
US900123AW05,05.02.2025,5287,USD,117.725347,5.59,120.536806,5.35
US900123AW05,05.02.2025,5286,USD,117.495833,5.62,120.307292,5.37
US900123AW05,05.02.2025,5285,USD,118.516319,5.53,121.61875,5.26
US900123AW05,05.02.2025,5284,USD,119.036806,5.48,121.889236,5.23
US900123AW05,05.02.2025,5283,USD,119.057292,5.48,121.659722,5.26
US900123AW05,05.02.2025,5280,USD,119.11875,5.48,121.680208,5.26
US900123AW05,05.02.2025,5279,USD,119.389236,5.46,121.700694,5.26
US900123AW05,05.02.2025,5278,USD,118.159722,5.57,120.762153,5.34
US900123AW05,05.02.2025,5277,USD,118.180208,5.57,121.032639,5.32
US900123AW05,05.02.2025,5276,USD,118.200694,5.57,120.782639,5.34
US900123AW05,05.02.2025,5272,USD,118.012153,5.59,120.823611,5.34
US900123AW05,05.02.2025,5271,USD,118.532639,5.55,121.405556,5.3
US900123AW05,05.02.2025,5270,USD,119.053125,5.5,121.926042,5.25
US900123AW05,05.02.2025,5269,USD,118.823611,5.52,121.528472,5.3
US900123AW05,05.02.2025,5266,USD,118.885069,5.52,121.528472,5.3
US900123AW05,05.02.2025,5265,USD,118.905556,5.52,121.528472,5.3
US900123AW05,05.02.2025,5264,USD,118.176042,5.59,120.778472,5.36
US900123AW05,05.02.2025,5259,USD,118.778472,5.54,121.339931,5.32
US900123AW05,05.02.2025,5258,USD,118.798958,5.54,121.360417,5.32
US900123AW05,05.02.2025,5257,USD,118.819444,5.54,121.421875,5.32
US900123AW05,05.02.2025,5256,USD,119.089931,5.52,121.692361,5.29
US900123AW05,05.02.2025,5255,USD,119.110417,5.52,121.712847,5.29
US900123AW05,05.02.2025,5252,USD,119.171875,5.52,121.733333,5.29
US900123AW05,05.02.2025,5251,USD,119.192361,5.52,121.753819,5.29
