ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123AY60,17.03.2036,9464,USD,101.361111,6.81,104.168403,6.59
US900123AY60,17.03.2036,9463,USD,102.380208,6.73,104.744792,6.55
US900123AY60,17.03.2036,9462,USD,102.149306,6.75,104.513889,6.57
US900123AY60,17.03.2036,9461,USD,101.168403,6.83,104.032986,6.61
US900123AY60,17.03.2036,9457,USD,100.744792,6.87,103.552083,6.65
US900123AY60,17.03.2036,9456,USD,100.763889,6.87,103.071181,6.69
US900123AY60,17.03.2036,9455,USD,99.032986,7.02,101.878472,6.79
US900123AY60,17.03.2036,9454,USD,99.802083,6.96,102.397569,6.75
US900123AY60,17.03.2036,9453,USD,100.071181,6.94,103.166667,6.69
US900123AY60,17.03.2036,9450,USD,100.628472,6.89,103.685764,6.65
US900123AY60,17.03.2036,9449,USD,101.147569,6.85,103.704861,6.65
US900123AY60,17.03.2036,9448,USD,99.416667,7.0,102.512153,6.75
US900123AY60,17.03.2036,9447,USD,98.435764,7.09,101.53125,6.83
US900123AY60,17.03.2036,9446,USD,96.204861,7.28,100.550347,6.92
US900123AY60,17.03.2036,9443,USD,99.262153,7.02,102.319444,6.77
US900123AY60,17.03.2036,9442,USD,100.03125,6.96,103.088542,6.71
US900123AY60,17.03.2036,9441,USD,100.550347,6.92,103.395833,6.69
US900123AY60,17.03.2036,9440,USD,101.819444,6.81,104.664931,6.59
US900123AY60,17.03.2036,9439,USD,101.838542,6.81,104.703125,6.59
US900123AY60,17.03.2036,9436,USD,100.645833,6.92,103.722222,6.67
US900123AY60,17.03.2036,9435,USD,101.664931,6.83,104.529514,6.61
US900123AY60,17.03.2036,9433,USD,99.703125,7.0,102.798611,6.75
US900123AY60,17.03.2036,9432,USD,98.972222,7.06,101.067708,6.89
US900123AY60,17.03.2036,9429,USD,99.029514,7.06,102.086806,6.81
US900123AY60,17.03.2036,9428,USD,99.048611,7.06,102.105903,6.81
US900123AY60,17.03.2036,9427,USD,99.817708,7.0,103.413194,6.71
US900123AY60,17.03.2036,9426,USD,101.836806,6.83,104.932292,6.59
US900123AY60,17.03.2036,9425,USD,102.105903,6.81,105.201389,6.57
US900123AY60,17.03.2036,9422,USD,102.144097,6.81,105.201389,6.57
US900123AY60,17.03.2036,9421,USD,102.163194,6.81,105.220486,6.57
US900123AY60,17.03.2036,9420,USD,101.432292,6.87,104.527778,6.63
US900123AY60,17.03.2036,9419,USD,102.951389,6.75,106.046875,6.51
US900123AY60,17.03.2036,9418,USD,102.470486,6.79,105.565972,6.55
US900123AY60,17.03.2036,9415,USD,101.527778,6.87,104.585069,6.63
US900123AY60,17.03.2036,9414,USD,101.796875,6.85,104.854167,6.61
US900123AY60,17.03.2036,9413,USD,101.815972,6.85,104.911458,6.61
US900123AY60,17.03.2036,9412,USD,102.085069,6.83,104.930556,6.61
US900123AY60,17.03.2036,9411,USD,102.354167,6.81,105.199653,6.59
US900123AY60,17.03.2036,9408,USD,102.661458,6.79,105.46875,6.57
US900123AY60,17.03.2036,9407,USD,102.430556,6.81,105.237847,6.59
US900123AY60,17.03.2036,9406,USD,102.949653,6.77,105.795139,6.55
US900123AY60,17.03.2036,9405,USD,103.21875,6.75,106.064236,6.53
US900123AY60,17.03.2036,9404,USD,103.487847,6.73,106.083333,6.53
US900123AY60,17.03.2036,9401,USD,104.545139,6.65,107.102431,6.45
US900123AY60,17.03.2036,9400,USD,104.314236,6.67,106.871528,6.47
US900123AY60,17.03.2036,9399,USD,104.333333,6.67,106.928819,6.47
US900123AY60,17.03.2036,9398,USD,104.852431,6.63,107.447917,6.43
