ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123BB58,05.03.2038,10182,USD,105.886111,6.84,108.696528,6.64
US900123BB58,05.03.2038,10181,USD,106.65625,6.79,109.027083,6.62
US900123BB58,05.03.2038,10180,USD,106.426389,6.81,108.797222,6.64
US900123BB58,05.03.2038,10179,USD,105.446528,6.88,108.317361,6.67
US900123BB58,05.03.2038,10175,USD,105.027083,6.92,107.8375,6.71
US900123BB58,05.03.2038,10174,USD,105.297222,6.9,107.607639,6.73
US900123BB58,05.03.2038,10173,USD,103.567361,7.04,106.418056,6.83
US900123BB58,05.03.2038,10172,USD,104.3375,6.98,106.938194,6.79
US900123BB58,05.03.2038,10171,USD,104.857639,6.94,107.958333,6.71
US900123BB58,05.03.2038,10168,USD,104.918056,6.94,107.978472,6.71
US900123BB58,05.03.2038,10167,USD,105.438194,6.9,107.998611,6.71
US900123BB58,05.03.2038,10166,USD,103.708333,7.04,106.809028,6.81
US900123BB58,05.03.2038,10165,USD,102.478472,7.14,105.579167,6.9
US900123BB58,05.03.2038,10164,USD,100.248611,7.33,104.349306,7.0
US900123BB58,05.03.2038,10161,USD,103.309028,7.08,106.369444,6.84
US900123BB58,05.03.2038,10160,USD,104.079167,7.02,107.139583,6.79
US900123BB58,05.03.2038,10159,USD,104.849306,6.96,107.7,6.75
US900123BB58,05.03.2038,10158,USD,106.119444,6.86,108.970139,6.65
US900123BB58,05.03.2038,10157,USD,105.889583,6.88,108.760417,6.67
US900123BB58,05.03.2038,10154,USD,104.7,6.98,107.780556,6.75
US900123BB58,05.03.2038,10153,USD,105.720139,6.9,108.590972,6.69
US900123BB58,05.03.2038,10151,USD,103.760417,7.06,106.861111,6.82
US900123BB58,05.03.2038,10150,USD,103.030556,7.12,106.63125,6.84
US900123BB58,05.03.2038,10147,USD,103.590972,7.08,106.651389,6.84
US900123BB58,05.03.2038,10146,USD,103.611111,7.08,106.671528,6.84
US900123BB58,05.03.2038,10145,USD,104.38125,7.02,107.481944,6.79
US900123BB58,05.03.2038,10144,USD,106.001389,6.89,109.102083,6.66
US900123BB58,05.03.2038,10143,USD,106.421528,6.86,109.522222,6.63
US900123BB58,05.03.2038,10140,USD,106.711806,6.84,109.772222,6.62
US900123BB58,05.03.2038,10139,USD,106.731944,6.84,109.792361,6.62
US900123BB58,05.03.2038,10138,USD,105.752083,6.92,109.102778,6.67
US900123BB58,05.03.2038,10137,USD,107.272222,6.81,110.872917,6.54
US900123BB58,05.03.2038,10136,USD,106.792361,6.84,109.893056,6.62
US900123BB58,05.03.2038,10133,USD,106.102778,6.9,109.163194,6.67
US900123BB58,05.03.2038,10132,USD,106.872917,6.84,109.933333,6.62
US900123BB58,05.03.2038,10131,USD,107.143056,6.82,110.24375,6.6
US900123BB58,05.03.2038,10130,USD,107.413194,6.81,110.263889,6.6
US900123BB58,05.03.2038,10129,USD,107.683333,6.79,110.534028,6.58
US900123BB58,05.03.2038,10126,USD,107.74375,6.79,110.554167,6.58
US900123BB58,05.03.2038,10125,USD,107.513889,6.81,110.324306,6.6
US900123BB58,05.03.2038,10124,USD,107.784028,6.79,110.634722,6.58
US900123BB58,05.03.2038,10123,USD,108.054167,6.77,110.904861,6.56
US900123BB58,05.03.2038,10122,USD,108.074306,6.77,110.675,6.58
US900123BB58,05.03.2038,10119,USD,109.134722,6.69,111.695139,6.5
US900123BB58,05.03.2038,10118,USD,108.654861,6.73,111.215278,6.54
US900123BB58,05.03.2038,10117,USD,108.675,6.73,111.275694,6.54
US900123BB58,05.03.2038,10116,USD,109.195139,6.69,111.795833,6.5
US900123BB58,05.03.2038,10115,USD,108.465278,6.75,111.315972,6.54
US900123BB58,05.03.2038,10112,USD,108.525694,6.75,111.336111,6.54
US900123BB58,05.03.2038,10111,USD,108.545833,6.75,111.35625,6.54
US900123BB58,05.03.2038,10110,USD,108.315972,6.77,110.936806,6.58
US900123BB58,05.03.2038,10109,USD,108.086111,6.79,110.956944,6.58
US900123BB58,05.03.2038,10108,USD,108.60625,6.75,111.477083,6.54
US900123BB58,05.03.2038,10105,USD,108.916667,6.73,111.977083,6.5
US900123BB58,05.03.2038,10104,USD,108.936806,6.73,111.497222,6.54
US900123BB58,05.03.2038,10103,USD,109.206944,6.71,111.957639,6.51
US900123BB58,05.03.2038,10102,USD,109.977083,6.65,112.727778,6.46
US900123BB58,05.03.2038,10101,USD,110.497222,6.61,113.247917,6.42
US900123BB58,05.03.2038,10098,USD,110.557639,6.61,113.268056,6.42
US900123BB58,05.03.2038,10097,USD,110.977778,6.59,113.638194,6.4
US900123BB58,05.03.2038,10096,USD,111.097917,6.58,113.848611,6.39
US900123BB58,05.03.2038,10095,USD,111.368056,6.56,114.11875,6.37
US900123BB58,05.03.2038,10094,USD,111.138194,6.58,113.888889,6.38
US900123BB58,05.03.2038,10091,USD,111.698611,6.54,114.409028,6.35
US900123BB58,05.03.2038,10090,USD,111.96875,6.52,114.679167,6.33
US900123BB58,05.03.2038,10089,USD,111.988889,6.52,115.089583,6.31
US900123BB58,05.03.2038,10088,USD,113.509028,6.41,116.259722,6.23
US900123BB58,05.03.2038,10087,USD,114.029167,6.38,116.779861,6.19
US900123BB58,05.03.2038,10084,USD,114.839583,6.32,117.65,6.13
US900123BB58,05.03.2038,10083,USD,114.859722,6.32,117.670139,6.13
US900123BB58,05.03.2038,10082,USD,114.879861,6.32,117.460417,6.15
US900123BB58,05.03.2038,10081,USD,114.65,6.34,117.480556,6.15
US900123BB58,05.03.2038,10080,USD,114.670139,6.34,117.500694,6.15
US900123BB58,05.03.2038,10077,USD,114.710417,6.34,117.270833,6.17
US900123BB58,05.03.2038,10076,USD,114.980556,6.32,117.540972,6.15
US900123BB58,05.03.2038,10075,USD,115.250694,6.31,117.851389,6.13
US900123BB58,05.03.2038,10074,USD,115.520833,6.29,118.121528,6.12
