ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123BG46,30.05.2040,10999,USD,99.56875,6.92,102.375,6.7
US900123BG46,30.05.2040,10998,USD,100.5875,6.84,102.7,6.69
US900123BG46,30.05.2040,10997,USD,100.35625,6.86,102.46875,6.7
US900123BG46,30.05.2040,10996,USD,99.625,6.92,102.2375,6.72
US900123BG46,30.05.2040,10992,USD,99.2,6.96,101.75625,6.76
US900123BG46,30.05.2040,10991,USD,99.46875,6.94,101.525,6.78
US900123BG46,30.05.2040,10990,USD,98.2375,7.04,100.83125,6.84
US900123BG46,30.05.2040,10989,USD,99.00625,6.98,101.6,6.78
US900123BG46,30.05.2040,10988,USD,100.025,6.9,102.61875,6.7
US900123BG46,30.05.2040,10985,USD,99.58125,6.94,101.8875,6.76
US900123BG46,30.05.2040,10984,USD,100.1,6.9,102.00625,6.75
US900123BG46,30.05.2040,10983,USD,98.11875,7.07,101.2125,6.82
US900123BG46,30.05.2040,10982,USD,96.8875,7.17,99.98125,6.92
US900123BG46,30.05.2040,10981,USD,94.65625,7.37,98.75,7.02
US900123BG46,30.05.2040,10978,USD,98.4625,7.04,101.51875,6.8
US900123BG46,30.05.2040,10977,USD,98.23125,7.07,101.2875,6.82
US900123BG46,30.05.2040,10976,USD,99.0,7.0,101.59375,6.8
US900123BG46,30.05.2040,10975,USD,100.51875,6.88,103.1125,6.69
US900123BG46,30.05.2040,10974,USD,100.2875,6.9,102.65,6.72
US900123BG46,30.05.2040,10971,USD,98.59375,7.04,101.66875,6.8
US900123BG46,30.05.2040,10970,USD,99.6125,6.96,102.225,6.76
US900123BG46,30.05.2040,10968,USD,98.4,7.07,101.49375,6.82
US900123BG46,30.05.2040,10967,USD,97.66875,7.13,101.5125,6.82
US900123BG46,30.05.2040,10964,USD,98.225,7.09,101.28125,6.84
US900123BG46,30.05.2040,10963,USD,97.49375,7.15,100.55,6.9
US900123BG46,30.05.2040,10962,USD,98.5125,7.07,102.10625,6.78
US900123BG46,30.05.2040,10961,USD,100.28125,6.92,103.375,6.69
US900123BG46,30.05.2040,10960,USD,100.8,6.88,103.39375,6.69
US900123BG46,30.05.2040,10957,USD,100.8375,6.88,103.39375,6.69
US900123BG46,30.05.2040,10956,USD,100.60625,6.9,103.1625,6.7
US900123BG46,30.05.2040,10955,USD,100.125,6.94,103.46875,6.69
US900123BG46,30.05.2040,10954,USD,101.64375,6.82,105.4875,6.53
US900123BG46,30.05.2040,10953,USD,101.1625,6.86,104.25625,6.63
US900123BG46,30.05.2040,10950,USD,99.96875,6.96,103.025,6.72
US900123BG46,30.05.2040,10949,USD,100.7375,6.9,103.79375,6.67
US900123BG46,30.05.2040,10948,USD,100.50625,6.92,103.6,6.69
US900123BG46,30.05.2040,10947,USD,100.525,6.92,103.36875,6.7
US900123BG46,30.05.2040,10946,USD,101.04375,6.88,103.8875,6.67
US900123BG46,30.05.2040,10943,USD,100.85,6.9,103.40625,6.7
US900123BG46,30.05.2040,10942,USD,100.86875,6.9,103.675,6.69
US900123BG46,30.05.2040,10941,USD,101.6375,6.84,104.23125,6.65
US900123BG46,30.05.2040,10940,USD,101.90625,6.82,104.5,6.63
US900123BG46,30.05.2040,10939,USD,102.175,6.8,104.51875,6.63
US900123BG46,30.05.2040,10936,USD,103.48125,6.7,106.0375,6.52
US900123BG46,30.05.2040,10935,USD,103.0,6.74,105.80625,6.53
US900123BG46,30.05.2040,10934,USD,103.01875,6.74,105.6125,6.55
US900123BG46,30.05.2040,10933,USD,103.2875,6.72,105.88125,6.53
US900123BG46,30.05.2040,10932,USD,102.80625,6.76,105.4,6.57
US900123BG46,30.05.2040,10929,USD,102.6125,6.78,105.66875,6.55
US900123BG46,30.05.2040,10928,USD,102.88125,6.76,105.4375,6.57
US900123BG46,30.05.2040,10927,USD,102.15,6.82,104.7625,6.63
US900123BG46,30.05.2040,10926,USD,102.16875,6.82,104.78125,6.63
US900123BG46,30.05.2040,10925,USD,102.6875,6.78,105.3,6.59
US900123BG46,30.05.2040,10922,USD,102.99375,6.76,105.55,6.57
US900123BG46,30.05.2040,10921,USD,103.0125,6.76,105.56875,6.57
US900123BG46,30.05.2040,10920,USD,103.28125,6.74,105.875,6.55
US900123BG46,30.05.2040,10919,USD,104.05,6.69,106.64375,6.5
US900123BG46,30.05.2040,10918,USD,104.56875,6.65,107.1625,6.46
US900123BG46,30.05.2040,10915,USD,104.875,6.63,107.43125,6.44
US900123BG46,30.05.2040,10914,USD,105.39375,6.59,107.95,6.4
US900123BG46,30.05.2040,10913,USD,105.4125,6.59,108.15625,6.39
US900123BG46,30.05.2040,10912,USD,105.68125,6.57,108.425,6.38
US900123BG46,30.05.2040,10911,USD,105.45,6.59,108.19375,6.39
US900123BG46,30.05.2040,10908,USD,106.00625,6.55,108.8125,6.35
US900123BG46,30.05.2040,10907,USD,106.025,6.55,108.83125,6.35
US900123BG46,30.05.2040,10906,USD,106.29375,6.53,109.2875,6.32
US900123BG46,30.05.2040,10905,USD,108.0625,6.4,110.90625,6.21
US900123BG46,30.05.2040,10904,USD,108.83125,6.35,111.575,6.16
US900123BG46,30.05.2040,10901,USD,108.8875,6.35,111.69375,6.16
US900123BG46,30.05.2040,10900,USD,109.40625,6.31,112.2125,6.12
US900123BG46,30.05.2040,10899,USD,108.925,6.35,111.75,6.16
US900123BG46,30.05.2040,10898,USD,108.44375,6.39,111.26875,6.19
US900123BG46,30.05.2040,10897,USD,108.4625,6.39,111.2875,6.19
US900123BG46,30.05.2040,10894,USD,108.5,6.39,111.05625,6.21
US900123BG46,30.05.2040,10893,USD,109.01875,6.35,111.575,6.17
US900123BG46,30.05.2040,10892,USD,109.2875,6.33,111.88125,6.16
US900123BG46,30.05.2040,10891,USD,109.30625,6.33,111.9,6.16
US900123BG46,30.05.2040,10890,USD,109.575,6.31,112.16875,6.14
US900123BG46,30.05.2040,10887,USD,111.38125,6.19,113.9375,6.02
US900123BG46,30.05.2040,10886,USD,112.65,6.1,115.20625,5.94
US900123BG46,30.05.2040,10885,USD,112.66875,6.1,115.2625,5.94
US900123BG46,30.05.2040,10884,USD,110.4375,6.26,113.53125,6.05
US900123BG46,30.05.2040,10883,USD,111.45625,6.19,114.3,6.0
US900123BG46,30.05.2040,10880,USD,111.7625,6.17,114.56875,5.99
US900123BG46,30.05.2040,10879,USD,111.78125,6.17,114.5875,5.99
US900123BG46,30.05.2040,10878,USD,113.05,6.09,115.64375,5.92
US900123BG46,30.05.2040,10877,USD,113.06875,6.09,115.9125,5.9
US900123BG46,30.05.2040,10876,USD,113.5875,6.05,116.18125,5.89
US900123BG46,30.05.2040,10873,USD,113.89375,6.04,116.45,5.87
US900123BG46,30.05.2040,10872,USD,114.1625,6.02,116.71875,5.85
US900123BG46,30.05.2040,10871,USD,112.68125,6.12,115.525,5.94
US900123BG46,30.05.2040,10870,USD,112.45,6.14,115.29375,5.95
US900123BG46,30.05.2040,10869,USD,112.71875,6.12,115.79375,5.92
US900123BG46,30.05.2040,10865,USD,112.525,6.14,115.58125,5.94
US900123BG46,30.05.2040,10864,USD,113.04375,6.1,115.65625,5.94
US900123BG46,30.05.2040,10863,USD,113.8125,6.05,116.425,5.89
US900123BG46,30.05.2040,10862,USD,113.83125,6.05,116.51875,5.89
US900123BG46,30.05.2040,10859,USD,113.8875,6.05,116.51875,5.89
US900123BG46,30.05.2040,10858,USD,113.90625,6.05,116.51875,5.89
US900123BG46,30.05.2040,10857,USD,112.175,6.17,115.01875,5.99
US900123BG46,30.05.2040,10852,USD,112.51875,6.16,115.075,5.99
US900123BG46,30.05.2040,10851,USD,112.5375,6.16,115.09375,5.99
US900123BG46,30.05.2040,10850,USD,112.30625,6.17,114.9,6.0
US900123BG46,30.05.2040,10849,USD,112.325,6.17,114.91875,6.0
US900123BG46,30.05.2040,10848,USD,112.34375,6.17,114.9375,6.0
US900123BG46,30.05.2040,10845,USD,112.15,6.19,114.70625,6.02
US900123BG46,30.05.2040,10844,USD,112.41875,6.17,114.725,6.02
US900123BG46,30.05.2040,10843,USD,112.4375,6.17,114.78125,6.02
US900123BG46,30.05.2040,10842,USD,113.95625,6.07,116.8,5.89
US900123BG46,30.05.2040,10841,USD,113.725,6.09,116.56875,5.9
US900123BG46,30.05.2040,10838,USD,114.03125,6.07,116.5875,5.9
US900123BG46,30.05.2040,10837,USD,114.05,6.07,116.35625,5.92
US900123BG46,30.05.2040,10836,USD,115.81875,5.95,118.3125,5.8
US900123BG46,30.05.2040,10835,USD,117.3375,5.85,119.93125,5.69
US900123BG46,30.05.2040,10834,USD,117.10625,5.87,120.2,5.68
US900123BG46,30.05.2040,10831,USD,117.9125,5.82,120.46875,5.66
US900123BG46,30.05.2040,10830,USD,119.68125,5.71,122.4875,5.54
US900123BG46,30.05.2040,10829,USD,119.7,5.71,122.5625,5.54
US900123BG46,30.05.2040,10828,USD,121.46875,5.6,124.08125,5.45
US900123BG46,30.05.2040,10827,USD,121.4875,5.6,124.1,5.45
US900123BG46,30.05.2040,10824,USD,122.29375,5.55,124.85,5.4
US900123BG46,30.05.2040,10823,USD,122.8125,5.52,125.61875,5.36
US900123BG46,30.05.2040,10822,USD,123.58125,5.48,126.425,5.32
US900123BG46,30.05.2040,10821,USD,124.85,5.4,127.44375,5.26
US900123BG46,30.05.2040,10820,USD,124.61875,5.42,127.4625,5.26
US900123BG46,30.05.2040,10817,USD,123.925,5.46,126.73125,5.3
US900123BG46,30.05.2040,10816,USD,124.19375,5.45,127.0,5.29
US900123BG46,30.05.2040,10815,USD,122.9625,5.52,125.55625,5.37
US900123BG46,30.05.2040,10814,USD,122.98125,5.52,125.575,5.37
US900123BG46,30.05.2040,10813,USD,123.0,5.52,125.59375,5.37
US900123BG46,30.05.2040,10810,USD,122.55625,5.55,124.3625,5.45
US900123BG46,30.05.2040,10809,USD,123.325,5.51,125.91875,5.36
US900123BG46,30.05.2040,10808,USD,122.84375,5.54,125.4375,5.39
US900123BG46,30.05.2040,10807,USD,122.6125,5.55,125.20625,5.4
