ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123BJ84,14.01.2041,10965,USD,95.5,6.34,97.75,6.17
US900123BJ84,14.01.2041,10962,USD,95.5,6.34,98.016667,6.15
US900123BJ84,14.01.2041,10961,USD,96.0,6.3,98.283333,6.13
US900123BJ84,14.01.2041,10959,USD,96.516667,6.26,98.866667,6.09
US900123BJ84,14.01.2041,10958,USD,96.533333,6.26,98.633333,6.11
US900123BJ84,14.01.2041,10955,USD,96.333333,6.28,98.883333,6.09
US900123BJ84,14.01.2041,10954,USD,96.6,6.26,98.9,6.09
US900123BJ84,14.01.2041,10953,USD,95.866667,6.32,98.45,6.13
US900123BJ84,14.01.2041,10952,USD,95.383333,6.36,97.966667,6.17
US900123BJ84,14.01.2041,10951,USD,94.15,6.45,96.983333,6.24
US900123BJ84,14.01.2041,10948,USD,94.45,6.44,97.5,6.2
US900123BJ84,14.01.2041,10947,USD,94.716667,6.42,97.516667,6.2
US900123BJ84,14.01.2041,10946,USD,94.483333,6.43,97.05,6.24
US900123BJ84,14.01.2041,10945,USD,93.25,6.54,96.316667,6.3
US900123BJ84,14.01.2041,10944,USD,92.016667,6.64,95.083333,6.4
US900123BJ84,14.01.2041,10941,USD,90.8,6.74,93.85,6.49
US900123BJ84,14.01.2041,10940,USD,92.566667,6.6,95.116667,6.4
US900123BJ84,14.01.2041,10939,USD,94.833333,6.42,97.666667,6.2
US900123BJ84,14.01.2041,10938,USD,93.85,6.49,96.433333,6.3
US900123BJ84,14.01.2041,10937,USD,93.116667,6.56,95.95,6.34
US900123BJ84,14.01.2041,10934,USD,92.666667,6.6,95.466667,6.38
US900123BJ84,14.01.2041,10933,USD,93.433333,6.54,95.983333,6.34
US900123BJ84,14.01.2041,10932,USD,92.7,6.6,95.283333,6.4
US900123BJ84,14.01.2041,10931,USD,92.466667,6.62,95.05,6.42
US900123BJ84,14.01.2041,10930,USD,91.483333,6.7,93.816667,6.51
US900123BJ84,14.01.2041,10927,USD,91.533333,6.7,94.083333,6.49
US900123BJ84,14.01.2041,10926,USD,91.3,6.72,93.85,6.51
US900123BJ84,14.01.2041,10925,USD,90.566667,6.78,93.166667,6.58
US900123BJ84,14.01.2041,10924,USD,91.083333,6.74,93.683333,6.54
US900123BJ84,14.01.2041,10923,USD,91.1,6.74,93.7,6.54
US900123BJ84,14.01.2041,10920,USD,91.15,6.74,93.45,6.56
US900123BJ84,14.01.2041,10919,USD,90.666667,6.78,93.216667,6.58
US900123BJ84,14.01.2041,10918,USD,90.933333,6.76,93.516667,6.56
US900123BJ84,14.01.2041,10917,USD,89.95,6.85,92.566667,6.64
US900123BJ84,14.01.2041,10916,USD,90.716667,6.78,92.833333,6.62
US900123BJ84,14.01.2041,10913,USD,90.016667,6.85,92.6,6.64
US900123BJ84,14.01.2041,10912,USD,90.816667,6.78,93.366667,6.58
US900123BJ84,14.01.2041,10911,USD,90.833333,6.78,93.666667,6.56
US900123BJ84,14.01.2041,10910,USD,90.6,6.81,93.433333,6.58
US900123BJ84,14.01.2041,10909,USD,91.366667,6.74,93.95,6.54
US900123BJ84,14.01.2041,10906,USD,91.666667,6.72,94.216667,6.52
US900123BJ84,14.01.2041,10905,USD,92.183333,6.68,94.883333,6.46
US900123BJ84,14.01.2041,10904,USD,93.7,6.56,96.283333,6.36
US900123BJ84,14.01.2041,10903,USD,93.466667,6.58,96.05,6.38
US900123BJ84,14.01.2041,10902,USD,93.483333,6.58,96.066667,6.38
US900123BJ84,14.01.2041,10899,USD,93.783333,6.56,96.333333,6.36
US900123BJ84,14.01.2041,10898,USD,93.8,6.56,96.6,6.34
US900123BJ84,14.01.2041,10897,USD,93.816667,6.56,96.65,6.34
US900123BJ84,14.01.2041,10896,USD,93.833333,6.56,96.666667,6.34
US900123BJ84,14.01.2041,10895,USD,94.1,6.54,96.683333,6.34
US900123BJ84,14.01.2041,10892,USD,94.4,6.52,97.2,6.3
US900123BJ84,14.01.2041,10891,USD,94.166667,6.54,96.966667,6.32
US900123BJ84,14.01.2041,10890,USD,94.183333,6.54,96.766667,6.34
US900123BJ84,14.01.2041,10889,USD,94.2,6.54,96.783333,6.34
US900123BJ84,14.01.2041,10888,USD,94.216667,6.54,96.3,6.38
US900123BJ84,14.01.2041,10885,USD,93.766667,6.58,96.3,6.38
US900123BJ84,14.01.2041,10884,USD,93.783333,6.58,96.316667,6.38
US900123BJ84,14.01.2041,10883,USD,93.55,6.6,96.366667,6.38
US900123BJ84,14.01.2041,10882,USD,93.8,6.58,96.383333,6.38
