ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CB40,16.04.2043,10961,USD,100.5,4.84,103.290625,4.67
US900123CB40,16.04.2043,10958,USD,101.0,4.81,103.790625,4.64
US900123CB40,16.04.2043,10957,USD,101.75,4.76,104.540625,4.6
US900123CB40,16.04.2043,10956,USD,102.013542,4.75,104.58125,4.6
US900123CB40,16.04.2043,10955,USD,101.027083,4.81,103.858333,4.64
US900123CB40,16.04.2043,10954,USD,100.540625,4.84,103.371875,4.67
US900123CB40,16.04.2043,10951,USD,99.58125,4.91,103.135417,4.69
US900123CB40,16.04.2043,10949,USD,101.108333,4.81,104.176042,4.63
US900123CB40,16.04.2043,10948,USD,101.121875,4.81,103.939583,4.64
US900123CB40,16.04.2043,10947,USD,101.135417,4.81,103.716667,4.66
US900123CB40,16.04.2043,10944,USD,101.176042,4.81,104.230208,4.63
US900123CB40,16.04.2043,10943,USD,101.689583,4.78,104.270833,4.63
US900123CB40,16.04.2043,10941,USD,102.966667,4.7,105.784375,4.54
US900123CB40,16.04.2043,10940,USD,104.480208,4.61,107.547917,4.44
US900123CB40,16.04.2043,10937,USD,104.270833,4.63,107.061458,4.46
US900123CB40,16.04.2043,10936,USD,103.784375,4.66,106.825,4.48
US900123CB40,16.04.2043,10935,USD,103.397917,4.68,106.365625,4.51
US900123CB40,16.04.2043,10934,USD,103.811458,4.66,106.879167,4.48
US900123CB40,16.04.2043,10933,USD,103.825,4.66,106.892708,4.48
US900123CB40,16.04.2043,10930,USD,100.865625,4.84,103.90625,4.66
US900123CB40,16.04.2043,10929,USD,99.879167,4.91,102.669792,4.73
US900123CB40,16.04.2043,10928,USD,100.392708,4.87,102.960417,4.72
US900123CB40,16.04.2043,10927,USD,99.90625,4.91,102.473958,4.75
US900123CB40,16.04.2043,10926,USD,103.169792,4.7,106.2375,4.52
US900123CB40,16.04.2043,10923,USD,101.460417,4.81,104.501042,4.63
US900123CB40,16.04.2043,10922,USD,101.973958,4.78,104.764583,4.61
US900123CB40,16.04.2043,10921,USD,101.2375,4.83,104.06875,4.66
US900123CB40,16.04.2043,10920,USD,100.751042,4.86,103.832292,4.67
US900123CB40,16.04.2043,10919,USD,99.514583,4.94,102.595833,4.75
US900123CB40,16.04.2043,10916,USD,99.805208,4.92,102.845833,4.73
US900123CB40,16.04.2043,10915,USD,99.06875,4.97,102.095833,4.78
US900123CB40,16.04.2043,10914,USD,96.082292,5.17,99.136458,4.97
US900123CB40,16.04.2043,10913,USD,97.095833,5.1,100.15,4.91
US900123CB40,16.04.2043,10912,USD,98.095833,5.04,100.913542,4.86
US900123CB40,16.04.2043,10909,USD,97.886458,5.05,100.677083,4.87
US900123CB40,16.04.2043,10908,USD,96.65,5.14,99.690625,4.94
US900123CB40,16.04.2043,10907,USD,96.163542,5.17,98.98125,4.99
US900123CB40,16.04.2043,10906,USD,94.427083,5.29,97.494792,5.09
US900123CB40,16.04.2043,10905,USD,91.690625,5.49,94.758333,5.28
US900123CB40,16.04.2043,10902,USD,92.23125,5.45,95.271875,5.24
US900123CB40,16.04.2043,10901,USD,88.494792,5.74,92.535417,5.44
US900123CB40,16.04.2043,10900,USD,91.008333,5.55,94.076042,5.33
US900123CB40,16.04.2043,10899,USD,91.271875,5.53,94.339583,5.31
US900123CB40,16.04.2043,10898,USD,96.035417,5.19,99.103125,4.99
US900123CB40,16.04.2043,10895,USD,94.576042,5.29,97.616667,5.09
US900123CB40,16.04.2043,10894,USD,91.339583,5.53,93.880208,5.35
US900123CB40,16.04.2043,10893,USD,91.603125,5.51,95.170833,5.26
US900123CB40,16.04.2043,10892,USD,84.866667,6.04,90.934375,5.57
US900123CB40,16.04.2043,10891,USD,85.880208,5.96,91.947917,5.49
US900123CB40,16.04.2043,10888,USD,77.920833,6.66,84.961458,6.04
US900123CB40,16.04.2043,10887,USD,80.434375,6.43,86.475,5.92
US900123CB40,16.04.2043,10886,USD,82.947917,6.21,88.015625,5.8
US900123CB40,16.04.2043,10885,USD,87.461458,5.84,92.529167,5.45
US900123CB40,16.04.2043,10884,USD,87.475,5.84,92.042708,5.49
US900123CB40,16.04.2043,10881,USD,86.265625,5.94,91.30625,5.55
US900123CB40,16.04.2043,10880,USD,88.029167,5.8,92.610417,5.46
US900123CB40,16.04.2043,10879,USD,87.542708,5.84,92.123958,5.49
US900123CB40,16.04.2043,10878,USD,88.05625,5.8,92.623958,5.46
US900123CB40,16.04.2043,10877,USD,88.069792,5.8,92.6375,5.46
US900123CB40,16.04.2043,10874,USD,84.860417,6.06,89.901042,5.66
US900123CB40,16.04.2043,10873,USD,84.123958,6.12,88.164583,5.8
US900123CB40,16.04.2043,10872,USD,81.1375,6.38,86.205208,5.96
US900123CB40,16.04.2043,10871,USD,84.151042,6.12,89.21875,5.72
US900123CB40,16.04.2043,10870,USD,82.664583,6.25,87.732292,5.84
US900123CB40,16.04.2043,10867,USD,85.205208,6.04,90.245833,5.64
US900123CB40,16.04.2043,10866,USD,87.21875,5.88,91.759375,5.53
US900123CB40,16.04.2043,10865,USD,87.232292,5.88,91.8,5.53
US900123CB40,16.04.2043,10864,USD,89.745833,5.68,93.813542,5.38
US900123CB40,16.04.2043,10863,USD,89.509375,5.7,94.327083,5.35
US900123CB40,16.04.2043,10860,USD,88.8,5.76,93.840625,5.38
US900123CB40,16.04.2043,10859,USD,89.813542,5.68,94.854167,5.31
US900123CB40,16.04.2043,10858,USD,88.577083,5.78,92.894792,5.46
US900123CB40,16.04.2043,10857,USD,86.090625,5.98,90.408333,5.64
US900123CB40,16.04.2043,10856,USD,85.604167,6.02,89.908333,5.68
US900123CB40,16.04.2043,10853,USD,86.394792,5.96,90.421875,5.64
US900123CB40,16.04.2043,10852,USD,85.908333,6.0,89.935417,5.68
US900123CB40,16.04.2043,10851,USD,84.908333,6.08,88.476042,5.8
US900123CB40,16.04.2043,10850,USD,83.921875,6.17,89.489583,5.72
US900123CB40,16.04.2043,10849,USD,83.935417,6.17,88.003125,5.84
US900123CB40,16.04.2043,10846,USD,84.476042,6.12,89.070833,5.76
US900123CB40,16.04.2043,10845,USD,84.489583,6.12,88.584375,5.8
US900123CB40,16.04.2043,10844,USD,83.003125,6.25,87.097917,5.92
US900123CB40,16.04.2043,10839,USD,84.070833,6.17,87.861458,5.86
US900123CB40,16.04.2043,10838,USD,84.084375,6.17,88.125,5.84
US900123CB40,16.04.2043,10837,USD,83.597917,6.21,87.165625,5.92
US900123CB40,16.04.2043,10836,USD,83.111458,6.25,86.929167,5.94
US900123CB40,16.04.2043,10835,USD,82.125,6.34,85.942708,6.02
US900123CB40,16.04.2043,10832,USD,79.165625,6.62,82.95625,6.28
US900123CB40,16.04.2043,10831,USD,79.679167,6.57,83.719792,6.21
US900123CB40,16.04.2043,10830,USD,78.442708,6.69,83.010417,6.28
US900123CB40,16.04.2043,10829,USD,76.20625,6.91,80.773958,6.48
US900123CB40,16.04.2043,10828,USD,79.219792,6.62,83.7875,6.21
US900123CB40,16.04.2043,10825,USD,79.010417,6.64,84.051042,6.19
