ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CF53,22.03.2024,3710,USD,95.75,6.33,101.25,5.59
US900123CF53,22.03.2024,3707,USD,94.75,6.46,100.063889,5.75
US900123CF53,22.03.2024,3706,USD,95.5,6.36,101.063889,5.62
US900123CF53,22.03.2024,3705,USD,97.0,6.15,103.063889,5.36
US900123CF53,22.03.2024,3704,USD,96.515972,6.22,102.179861,5.48
US900123CF53,22.03.2024,3703,USD,95.765972,6.33,101.595833,5.56
US900123CF53,22.03.2024,3700,USD,95.563889,6.36,101.111806,5.62
US900123CF53,22.03.2024,3699,USD,95.579861,6.36,101.127778,5.62
US900123CF53,22.03.2024,3698,USD,97.345833,6.12,102.925694,5.39
US900123CF53,22.03.2024,3697,USD,98.111806,6.02,103.941667,5.27
US900123CF53,22.03.2024,3696,USD,98.627778,5.95,104.457639,5.2
US900123CF53,22.03.2024,3693,USD,99.175694,5.88,104.723611,5.17
US900123CF53,22.03.2024,3692,USD,98.691667,5.95,104.239583,5.24
US900123CF53,22.03.2024,3691,USD,99.207639,5.88,104.803472,5.17
US900123CF53,22.03.2024,3690,USD,98.973611,5.92,104.819445,5.17
US900123CF53,22.03.2024,3689,USD,98.239583,6.02,104.085417,5.27
US900123CF53,22.03.2024,3686,USD,98.7875,5.95,104.585417,5.2
US900123CF53,22.03.2024,3685,USD,99.303472,5.88,104.851389,5.17
US900123CF53,22.03.2024,3684,USD,99.069445,5.92,104.649306,5.2
US900123CF53,22.03.2024,3683,USD,98.835417,5.95,104.415278,5.23
US900123CF53,22.03.2024,3682,USD,98.601389,5.98,104.18125,5.27
US900123CF53,22.03.2024,3679,USD,99.149306,5.92,104.947222,5.17
US900123CF53,22.03.2024,3678,USD,99.415278,5.88,104.963195,5.17
US900123CF53,22.03.2024,3677,USD,99.43125,5.88,105.293056,5.14
US900123CF53,22.03.2024,3676,USD,99.197222,5.92,104.809028,5.2
US900123CF53,22.03.2024,3675,USD,99.713195,5.85,105.325,5.14
US900123CF53,22.03.2024,3672,USD,99.043056,5.95,104.590972,5.23
US900123CF53,22.03.2024,3671,USD,100.559028,5.75,105.106945,5.17
US900123CF53,22.03.2024,3670,USD,101.575,5.62,105.154861,5.17
US900123CF53,22.03.2024,3669,USD,100.840972,5.72,105.420834,5.14
US900123CF53,22.03.2024,3668,USD,100.856945,5.72,105.436806,5.14
US900123CF53,22.03.2024,3665,USD,100.154861,5.82,104.952778,5.2
US900123CF53,22.03.2024,3664,USD,100.170834,5.82,104.96875,5.2
US900123CF53,22.03.2024,3663,USD,99.936806,5.85,104.766667,5.23
US900123CF53,22.03.2024,3662,USD,99.452778,5.92,104.282639,5.3
US900123CF53,22.03.2024,3661,USD,98.96875,5.98,103.798611,5.36
US900123CF53,22.03.2024,3658,USD,99.266667,5.95,104.064584,5.33
US900123CF53,22.03.2024,3657,USD,99.532639,5.92,104.330556,5.29
US900123CF53,22.03.2024,3656,USD,99.548611,5.92,103.509406,5.05
US900123CF53,22.03.2024,3655,USD,99.814584,5.88,103.764109,5.02
US900123CF53,22.03.2024,3654,USD,98.330556,6.09,102.268812,5.21
US900123CF53,22.03.2024,3651,USD,97.531944,6.09,102.329861,5.45
US900123CF53,22.03.2024,3650,USD,97.047917,6.16,101.595833,5.55
US900123CF53,22.03.2024,3649,USD,96.813889,6.19,101.877778,5.52
US900123CF53,22.03.2024,3648,USD,98.079861,6.02,102.89375,5.39
US900123CF53,22.03.2024,3647,USD,100.095833,5.75,104.909722,5.14
US900123CF53,22.03.2024,3644,USD,101.127778,5.62,105.925694,5.01
US900123CF53,22.03.2024,3643,USD,101.39375,5.58,106.191667,4.98
US900123CF53,22.03.2024,3642,USD,101.659722,5.55,106.239583,4.98
US900123CF53,22.03.2024,3641,USD,100.675694,5.68,105.755556,5.04
US900123CF53,22.03.2024,3640,USD,100.691667,5.68,105.521528,5.07
US900123CF53,22.03.2024,3637,USD,101.239583,5.62,106.0375,5.01
US900123CF53,22.03.2024,3636,USD,101.755556,5.55,106.553472,4.95
US900123CF53,22.03.2024,3635,USD,102.771528,5.42,107.601389,4.82
US900123CF53,22.03.2024,3634,USD,104.0375,5.26,108.867361,4.67
US900123CF53,22.03.2024,3633,USD,104.053472,5.26,108.883333,4.67
US900123CF53,22.03.2024,3630,USD,103.601389,5.32,108.399306,4.73
US900123CF53,22.03.2024,3629,USD,103.367361,5.36,108.213194,4.76
US900123CF53,22.03.2024,3628,USD,103.633333,5.32,108.479167,4.73
US900123CF53,22.03.2024,3627,USD,104.149306,5.26,109.011111,4.67
US900123CF53,22.03.2024,3626,USD,104.665278,5.2,109.511111,4.61
US900123CF53,22.03.2024,3623,USD,105.213194,5.13,110.527083,4.49
US900123CF53,22.03.2024,3622,USD,104.729167,5.2,109.527083,4.61
US900123CF53,22.03.2024,3620,USD,104.511111,5.23,109.340972,4.64
US900123CF53,22.03.2024,3619,USD,104.527083,5.23,109.356944,4.64
US900123CF53,22.03.2024,3616,USD,104.575,5.23,109.388889,4.64
US900123CF53,22.03.2024,3615,USD,104.840972,5.19,109.686806,4.61
US900123CF53,22.03.2024,3614,USD,105.356944,5.13,110.186806,4.55
US900123CF53,22.03.2024,3612,USD,106.138889,5.04,110.96875,4.45
US900123CF53,22.03.2024,3609,USD,106.186806,5.04,111.234722,4.42
US900123CF53,22.03.2024,3608,USD,106.202778,5.04,111.000694,4.45
US900123CF53,22.03.2024,3607,USD,106.71875,4.97,111.548611,4.39
US900123CF53,22.03.2024,3606,USD,107.234722,4.91,112.314583,4.31
US900123CF53,22.03.2024,3605,USD,107.750694,4.85,112.580556,4.28
US900123CF53,22.03.2024,3602,USD,107.548611,4.88,112.346528,4.3
US900123CF53,22.03.2024,3601,USD,106.564583,5.0,111.3625,4.42
US900123CF53,22.03.2024,3600,USD,107.080556,4.94,111.926389,4.36
US900123CF53,22.03.2024,3599,USD,107.846528,4.85,111.692361,4.39
US900123CF53,22.03.2024,3598,USD,107.1125,4.94,111.942361,4.36
US900123CF53,22.03.2024,3594,USD,107.426389,4.91,112.224306,4.33
US900123CF53,22.03.2024,3593,USD,107.442361,4.91,112.288194,4.33
US900123CF53,22.03.2024,3592,USD,107.458333,4.91,112.304167,4.33
US900123CF53,22.03.2024,3591,USD,107.724306,4.88,112.570139,4.3
US900123CF53,22.03.2024,3588,USD,107.772222,4.88,112.570139,4.3
US900123CF53,22.03.2024,3587,USD,107.788194,4.88,112.586111,4.3
US900123CF53,22.03.2024,3586,USD,107.054167,4.97,111.868056,4.39
US900123CF53,22.03.2024,3585,USD,108.070139,4.84,112.134028,4.36
US900123CF53,22.03.2024,3584,USD,108.336111,4.81,113.4,4.21
US900123CF53,22.03.2024,3581,USD,108.368056,4.81,113.165972,4.24
US900123CF53,22.03.2024,3580,USD,108.634028,4.78,112.431944,4.33
US900123CF53,22.03.2024,3579,USD,107.65,4.91,112.479861,4.33
US900123CF53,22.03.2024,3578,USD,107.165972,4.97,111.995833,4.39
US900123CF53,22.03.2024,3577,USD,107.181944,4.97,112.511806,4.33
US900123CF53,22.03.2024,3574,USD,108.729861,4.78,113.527778,4.21
US900123CF53,22.03.2024,3573,USD,109.245833,4.72,114.04375,4.15
US900123CF53,22.03.2024,3572,USD,108.761806,4.78,113.591667,4.21
US900123CF53,22.03.2024,3571,USD,108.027778,4.87,112.857639,4.29
US900123CF53,22.03.2024,3570,USD,107.54375,4.94,112.373611,4.35
US900123CF53,22.03.2024,3567,USD,107.841667,4.9,111.889583,4.41
US900123CF53,22.03.2024,3566,USD,106.857639,5.03,111.405556,4.47
US900123CF53,22.03.2024,3565,USD,106.873611,5.03,111.453472,4.47
US900123CF53,22.03.2024,3564,USD,107.389583,4.97,111.969444,4.41
US900123CF53,22.03.2024,3563,USD,106.905556,5.03,111.985417,4.41
US900123CF53,22.03.2024,3560,USD,106.453472,5.09,111.251389,4.5
US900123CF53,22.03.2024,3559,USD,106.719444,5.06,111.517361,4.47
US900123CF53,22.03.2024,3558,USD,107.235417,5.0,112.065278,4.41
US900123CF53,22.03.2024,3557,USD,108.001389,4.9,112.58125,4.35
US900123CF53,22.03.2024,3556,USD,108.017361,4.9,112.847222,4.32
US900123CF53,22.03.2024,3553,USD,108.565278,4.84,113.113194,4.29
US900123CF53,22.03.2024,3552,USD,108.83125,4.81,113.677083,4.23
US900123CF53,22.03.2024,3551,USD,108.347222,4.87,113.193056,4.29
US900123CF53,22.03.2024,3550,USD,108.363194,4.87,113.209028,4.29
US900123CF53,22.03.2024,3549,USD,107.629167,4.96,113.209028,4.29
US900123CF53,22.03.2024,3546,USD,108.177083,4.9,112.975,4.32
US900123CF53,22.03.2024,3545,USD,108.693056,4.84,113.240972,4.29
US900123CF53,22.03.2024,3544,USD,108.959028,4.81,113.788889,4.23
US900123CF53,22.03.2024,3543,USD,109.225,4.77,114.304861,4.17
US900123CF53,22.03.2024,3542,USD,109.240972,4.77,113.820833,4.23
US900123CF53,22.03.2024,3539,USD,109.288889,4.77,113.836806,4.23
US900123CF53,22.03.2024,3538,USD,109.304861,4.77,113.852778,4.23
US900123CF53,22.03.2024,3537,USD,109.320833,4.77,114.150694,4.19
US900123CF53,22.03.2024,3536,USD,109.086806,4.8,113.916667,4.22
US900123CF53,22.03.2024,3535,USD,109.352778,4.77,113.432639,4.28
US900123CF53,22.03.2024,3532,USD,109.400694,4.77,113.948611,4.22
US900123CF53,22.03.2024,3531,USD,109.416667,4.77,114.214583,4.19
US900123CF53,22.03.2024,3530,USD,109.932639,4.71,114.544444,4.16
US900123CF53,22.03.2024,3529,USD,110.198611,4.68,115.060417,4.1
US900123CF53,22.03.2024,3528,USD,110.214583,4.68,115.108333,4.1
US900123CF53,22.03.2024,3522,USD,110.544444,4.65,115.124306,4.1
