ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CG37,17.02.2045,11321,USD,97.25,6.84,102.842014,6.42
US900123CG37,17.02.2045,11320,USD,96.768403,6.88,102.360417,6.46
US900123CG37,17.02.2045,11319,USD,96.536806,6.9,102.378819,6.46
US900123CG37,17.02.2045,11316,USD,97.592014,6.82,103.147222,6.4
US900123CG37,17.02.2045,11315,USD,97.110417,6.86,103.165625,6.4
US900123CG37,17.02.2045,11314,USD,97.628819,6.82,103.757639,6.36
US900123CG37,17.02.2045,11313,USD,97.147222,6.86,103.276042,6.4
US900123CG37,17.02.2045,11312,USD,97.915625,6.8,104.294444,6.33
US900123CG37,17.02.2045,11309,USD,98.257639,6.78,104.312847,6.33
US900123CG37,17.02.2045,11308,USD,99.276042,6.7,104.33125,6.33
US900123CG37,17.02.2045,11307,USD,99.294444,6.7,104.386458,6.33
US900123CG37,17.02.2045,11306,USD,99.562847,6.68,101.654861,6.53
US900123CG37,17.02.2045,11305,USD,100.08125,6.64,105.173264,6.27
US900123CG37,17.02.2045,11302,USD,99.386458,6.7,104.441667,6.33
US900123CG37,17.02.2045,11301,USD,99.404861,6.7,104.460069,6.33
US900123CG37,17.02.2045,11300,USD,98.423264,6.78,103.515278,6.4
US900123CG37,17.02.2045,11299,USD,98.191667,6.8,103.28368,6.42
US900123CG37,17.02.2045,11298,USD,97.210069,6.88,102.302083,6.49
US900123CG37,17.02.2045,11295,USD,98.015278,6.82,103.070486,6.44
US900123CG37,17.02.2045,11294,USD,98.28368,6.8,103.338889,6.42
US900123CG37,17.02.2045,11293,USD,97.802083,6.84,102.894097,6.46
US900123CG37,17.02.2045,11292,USD,98.070486,6.82,102.9125,6.46
US900123CG37,17.02.2045,11291,USD,97.088889,6.9,102.180903,6.51
US900123CG37,17.02.2045,11288,USD,97.144097,6.9,102.199305,6.51
US900123CG37,17.02.2045,11287,USD,96.1625,6.98,101.217708,6.59
US900123CG37,17.02.2045,11286,USD,96.680903,6.94,101.754514,6.55
US900123CG37,17.02.2045,11285,USD,98.699305,6.78,103.772917,6.4
US900123CG37,17.02.2045,11284,USD,101.467708,6.57,106.541319,6.2
US900123CG37,17.02.2045,11281,USD,103.254514,6.44,108.309722,6.08
US900123CG37,17.02.2045,11280,USD,104.272917,6.36,109.328125,6.02
US900123CG37,17.02.2045,11279,USD,104.541319,6.35,109.633333,6.0
