ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CJ75,14.04.2026,4018,USD,97.0,4.6,100.285417,4.22
US900123CJ75,14.04.2026,4017,USD,96.761806,4.63,100.320833,4.22
US900123CJ75,14.04.2026,4016,USD,95.773611,4.75,99.332639,4.34
US900123CJ75,14.04.2026,4015,USD,95.535417,4.78,99.344444,4.34
US900123CJ75,14.04.2026,4012,USD,96.320833,4.69,99.868056,4.28
US900123CJ75,14.04.2026,4011,USD,95.832639,4.75,99.368056,4.34
US900123CJ75,14.04.2026,4010,USD,96.094444,4.72,99.903472,4.28
US900123CJ75,14.04.2026,4008,USD,96.118056,4.72,99.677083,4.31
US900123CJ75,14.04.2026,4005,USD,96.403472,4.69,99.938889,4.28
US900123CJ75,14.04.2026,4004,USD,96.915278,4.63,100.486111,4.22
US900123CJ75,14.04.2026,4003,USD,96.927083,4.63,100.497917,4.22
US900123CJ75,14.04.2026,4002,USD,96.188889,4.72,100.009722,4.28
US900123CJ75,14.04.2026,3998,USD,95.736111,4.78,99.021528,4.39
US900123CJ75,14.04.2026,3997,USD,95.747917,4.78,99.283333,4.37
US900123CJ75,14.04.2026,3996,USD,95.259722,4.84,98.81875,4.42
US900123CJ75,14.04.2026,3995,USD,95.021528,4.87,98.580556,4.45
US900123CJ75,14.04.2026,3994,USD,96.033333,4.75,99.592361,4.34
US900123CJ75,14.04.2026,3991,USD,96.31875,4.72,100.104167,4.28
US900123CJ75,14.04.2026,3990,USD,95.830556,4.78,99.365972,4.37
US900123CJ75,14.04.2026,3989,USD,95.342361,4.84,98.901389,4.42
US900123CJ75,14.04.2026,3988,USD,95.854167,4.78,99.425,4.37
US900123CJ75,14.04.2026,3987,USD,96.615972,4.69,100.436806,4.25
US900123CJ75,14.04.2026,3984,USD,96.901389,4.66,100.436806,4.25
US900123CJ75,14.04.2026,3982,USD,96.925,4.66,100.495833,4.25
US900123CJ75,14.04.2026,3981,USD,96.936806,4.66,100.507639,4.25
US900123CJ75,14.04.2026,3980,USD,96.948611,4.66,100.519444,4.25
US900123CJ75,14.04.2026,3977,USD,96.984028,4.66,101.019444,4.19
US900123CJ75,14.04.2026,3976,USD,96.995833,4.66,100.53125,4.25
US900123CJ75,14.04.2026,3975,USD,96.257639,4.75,99.804861,4.34
US900123CJ75,14.04.2026,3974,USD,96.019444,4.78,99.566667,4.37
US900123CJ75,14.04.2026,3973,USD,96.03125,4.79,99.578472,4.37
US900123CJ75,14.04.2026,3970,USD,96.054861,4.79,99.590278,4.37
US900123CJ75,14.04.2026,3969,USD,95.816667,4.82,99.352083,4.4
US900123CJ75,14.04.2026,3968,USD,95.078472,4.91,98.6375,4.48
US900123CJ75,14.04.2026,3967,USD,94.840278,4.94,98.649306,4.48
US900123CJ75,14.04.2026,3966,USD,94.602083,4.97,98.161111,4.54
US900123CJ75,14.04.2026,3963,USD,93.1375,5.16,96.672917,4.73
US900123CJ75,14.04.2026,3962,USD,93.149306,5.16,96.684722,4.73
US900123CJ75,14.04.2026,3961,USD,92.411111,5.26,95.970139,4.82
US900123CJ75,14.04.2026,3960,USD,92.422917,5.26,95.981944,4.82
US900123CJ75,14.04.2026,3959,USD,92.934722,5.19,96.74375,4.73
US900123CJ75,14.04.2026,3956,USD,93.720139,5.1,97.505556,4.63
US900123CJ75,14.04.2026,3955,USD,93.481944,5.13,97.267361,4.66
US900123CJ75,14.04.2026,3954,USD,93.24375,5.16,97.052778,4.7
US900123CJ75,14.04.2026,3953,USD,93.755556,5.1,97.564583,4.63
US900123CJ75,14.04.2026,3952,USD,94.267361,5.04,98.076389,4.57
US900123CJ75,14.04.2026,3949,USD,94.802778,4.97,98.588194,4.51
US900123CJ75,14.04.2026,3948,USD,95.064583,4.94,98.85,4.49
US900123CJ75,14.04.2026,3947,USD,94.826389,4.97,98.635417,4.52
US900123CJ75,14.04.2026,3946,USD,95.088194,4.94,98.897222,4.49
US900123CJ75,14.04.2026,3945,USD,94.85,4.97,98.659028,4.52
US900123CJ75,14.04.2026,3942,USD,94.635417,5.01,98.420833,4.55
US900123CJ75,14.04.2026,3941,USD,94.397222,5.04,98.218056,4.58
US900123CJ75,14.04.2026,3940,USD,94.409028,5.04,98.479861,4.55
US900123CJ75,14.04.2026,3939,USD,94.170833,5.07,97.991667,4.61
US900123CJ75,14.04.2026,3938,USD,94.682639,5.01,98.491667,4.55
US900123CJ75,14.04.2026,3935,USD,94.468056,5.04,98.253472,4.58
US900123CJ75,14.04.2026,3934,USD,94.729861,5.01,98.265278,4.58
US900123CJ75,14.04.2026,3933,USD,94.991667,4.98,98.800694,4.52
US900123CJ75,14.04.2026,3932,USD,95.253472,4.94,99.0625,4.49
US900123CJ75,14.04.2026,3931,USD,95.515278,4.91,99.324306,4.46
US900123CJ75,14.04.2026,3928,USD,95.300694,4.95,99.086111,4.49
US900123CJ75,14.04.2026,3927,USD,95.8125,4.88,99.633333,4.43
US900123CJ75,14.04.2026,3926,USD,95.574306,4.91,99.145139,4.49
US900123CJ75,14.04.2026,3925,USD,95.336111,4.95,98.906944,4.52
