ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CK49,09.10.2026,3865,USD,97.761607,5.1,101.069643,4.71
US900123CK49,09.10.2026,3864,USD,97.773214,5.1,101.33125,4.68
US900123CK49,09.10.2026,3861,USD,98.558036,5.01,102.092857,4.59
US900123CK49,09.10.2026,3860,USD,98.069643,5.07,101.354464,4.68
US900123CK49,09.10.2026,3859,USD,97.83125,5.11,101.139286,4.71
US900123CK49,09.10.2026,3858,USD,99.092857,4.95,102.400893,4.56
US900123CK49,09.10.2026,3857,USD,99.104464,4.95,102.4125,4.56
US900123CK49,09.10.2026,3854,USD,99.389286,4.92,102.924107,4.5
US900123CK49,09.10.2026,3853,USD,99.650893,4.89,102.970536,4.5
US900123CK49,09.10.2026,3852,USD,99.4125,4.92,102.982143,4.5
US900123CK49,09.10.2026,3851,USD,99.174107,4.95,102.49375,4.56
US900123CK49,09.10.2026,3850,USD,98.935714,4.98,102.24375,4.59
US900123CK49,09.10.2026,3847,USD,98.970536,4.98,102.24375,4.59
US900123CK49,09.10.2026,3846,USD,98.982143,4.98,102.255357,4.59
US900123CK49,09.10.2026,3845,USD,99.49375,4.92,102.790179,4.53
US900123CK49,09.10.2026,3844,USD,99.74375,4.89,103.051786,4.5
US900123CK49,09.10.2026,3843,USD,100.505357,4.8,103.813393,4.41
US900123CK49,09.10.2026,3840,USD,100.540179,4.8,104.075,4.38
US900123CK49,09.10.2026,3839,USD,100.551786,4.8,103.836607,4.41
US900123CK49,09.10.2026,3838,USD,100.563393,4.8,103.871429,4.41
US900123CK49,09.10.2026,3837,USD,100.575,4.8,103.883036,4.41
US900123CK49,09.10.2026,3836,USD,100.086607,4.86,103.644643,4.44
US900123CK49,09.10.2026,3833,USD,100.371429,4.83,103.65625,4.44
US900123CK49,09.10.2026,3832,USD,100.883036,4.77,104.417857,4.36
US900123CK49,09.10.2026,3831,USD,101.144643,4.74,104.702679,4.33
US900123CK49,09.10.2026,3830,USD,101.65625,4.68,105.214286,4.27
US900123CK49,09.10.2026,3829,USD,101.417857,4.71,104.975893,4.3
US900123CK49,09.10.2026,3826,USD,101.452679,4.71,104.9875,4.3
US900123CK49,09.10.2026,3825,USD,101.964286,4.65,105.499107,4.24
US900123CK49,09.10.2026,3824,USD,102.725893,4.56,106.533929,4.12
US900123CK49,09.10.2026,3823,USD,102.9875,4.53,106.545536,4.12
US900123CK49,09.10.2026,3822,USD,102.499107,4.59,106.057143,4.18
US900123CK49,09.10.2026,3819,USD,102.533929,4.59,106.06875,4.18
US900123CK49,09.10.2026,3818,USD,101.795536,4.68,105.330357,4.27
US900123CK49,09.10.2026,3817,USD,101.807143,4.68,105.365179,4.27
US900123CK49,09.10.2026,3816,USD,102.31875,4.62,105.876786,4.21
US900123CK49,09.10.2026,3815,USD,102.080357,4.65,105.638393,4.24
US900123CK49,09.10.2026,3812,USD,102.365179,4.62,105.9,4.21
US900123CK49,09.10.2026,3811,USD,102.126786,4.65,105.911607,4.21
US900123CK49,09.10.2026,3810,USD,101.638393,4.72,105.196429,4.3
US900123CK49,09.10.2026,3809,USD,99.9,4.93,103.708036,4.48
US900123CK49,09.10.2026,3808,USD,99.911607,4.93,103.469643,4.51
US900123CK49,09.10.2026,3805,USD,100.196429,4.9,103.73125,4.48
US900123CK49,09.10.2026,3804,USD,100.458036,4.87,103.992857,4.45
US900123CK49,09.10.2026,3803,USD,100.719643,4.84,104.277679,4.42
US900123CK49,09.10.2026,3802,USD,100.73125,4.84,104.289286,4.42
US900123CK49,09.10.2026,3801,USD,100.242857,4.9,103.800893,4.48
US900123CK49,09.10.2026,3798,USD,100.277679,4.9,103.824107,4.48
US900123CK49,09.10.2026,3797,USD,100.539286,4.87,104.074107,4.45
US900123CK49,09.10.2026,3796,USD,100.550893,4.87,104.108929,4.45
US900123CK49,09.10.2026,3794,USD,99.074107,5.06,102.632143,4.63
US900123CK49,09.10.2026,3791,USD,99.358929,5.03,102.89375,4.6
US900123CK49,09.10.2026,3790,USD,98.620536,5.12,102.155357,4.69
US900123CK49,09.10.2026,3789,USD,99.632143,5.0,103.190179,4.57
US900123CK49,09.10.2026,3788,USD,99.64375,5.0,103.201786,4.57
US900123CK49,09.10.2026,3787,USD,99.655357,5.0,103.213393,4.57
US900123CK49,09.10.2026,3784,USD,100.190179,4.94,103.713393,4.51
US900123CK49,09.10.2026,3783,USD,99.940179,4.97,103.475,4.54
US900123CK49,09.10.2026,3782,USD,100.110417,5.0,103.678125,4.57
US900123CK49,09.10.2026,3781,USD,100.623958,4.94,104.191667,4.51
US900123CK49,09.10.2026,3780,USD,101.1375,4.87,104.705208,4.45
US900123CK49,09.10.2026,3777,USD,102.428125,4.72,105.96875,4.3
US900123CK49,09.10.2026,3776,USD,102.941667,4.66,106.482292,4.24
US900123CK49,09.10.2026,3775,USD,103.205208,4.63,106.772917,4.21
US900123CK49,09.10.2026,3774,USD,103.21875,4.63,106.786458,4.21
US900123CK49,09.10.2026,3773,USD,102.732292,4.69,106.3,4.27
US900123CK49,09.10.2026,3770,USD,102.272917,4.75,105.813542,4.33
US900123CK49,09.10.2026,3769,USD,101.786458,4.81,105.327083,4.39
