ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CL22,25.03.2027,3713,USD,98.5,6.2,101.7,5.77
US900123CL22,25.03.2027,3712,USD,99.016667,6.13,102.266667,5.71
US900123CL22,25.03.2027,3711,USD,98.783333,6.16,102.066667,5.74
US900123CL22,25.03.2027,3710,USD,98.8,6.16,102.066667,5.74
US900123CL22,25.03.2027,3709,USD,98.441667,6.22,101.758333,5.78
US900123CL22,25.03.2027,3706,USD,99.366667,6.1,102.65,5.67
US900123CL22,25.03.2027,3705,USD,99.491667,6.08,102.791667,5.65
US900123CL22,25.03.2027,3704,USD,99.373333,6.1,102.706667,5.67
US900123CL22,25.03.2027,3703,USD,99.15,6.13,102.608333,5.69
US900123CL22,25.03.2027,3702,USD,100.696667,5.93,104.155,5.49
US900123CL22,25.03.2027,3699,USD,102.091667,5.75,105.516667,5.32
US900123CL22,25.03.2027,3698,USD,101.483333,5.83,104.773333,5.42
US900123CL22,25.03.2027,3697,USD,101.5,5.83,104.823333,5.41
US900123CL22,25.03.2027,3696,USD,102.266667,5.73,105.59,5.32
US900123CL22,25.03.2027,3695,USD,102.158333,5.75,105.481667,5.34
US900123CL22,25.03.2027,3692,USD,102.093333,5.76,105.383333,5.35
US900123CL22,25.03.2027,3691,USD,102.86,5.67,106.15,5.26
US900123CL22,25.03.2027,3690,USD,102.521667,5.71,105.861667,5.3
US900123CL22,25.03.2027,3689,USD,101.938333,5.79,105.278333,5.38
US900123CL22,25.03.2027,3688,USD,101.645,5.83,104.985,5.41
US900123CL22,25.03.2027,3685,USD,101.755,5.82,105.045,5.41
US900123CL22,25.03.2027,3684,USD,101.851667,5.81,105.141667,5.4
US900123CL22,25.03.2027,3683,USD,101.868333,5.81,105.191667,5.4
US900123CL22,25.03.2027,3682,USD,101.875,5.81,105.058333,5.41
US900123CL22,25.03.2027,3681,USD,102.016667,5.8,105.233333,5.4
US900123CL22,25.03.2027,3678,USD,101.966667,5.81,105.15,5.41
US900123CL22,25.03.2027,3677,USD,101.883333,5.82,105.066667,5.42
US900123CL22,25.03.2027,3676,USD,100.983333,5.95,104.166667,5.54
US900123CL22,25.03.2027,3675,USD,100.55,6.01,103.783333,5.6
US900123CL22,25.03.2027,3674,USD,100.416667,6.03,103.65,5.61
US900123CL22,25.03.2027,3671,USD,100.466667,6.03,103.666667,5.61
US900123CL22,25.03.2027,3670,USD,101.553333,5.89,104.728333,5.48
US900123CL22,25.03.2027,3669,USD,101.27,5.93,104.453333,5.52
US900123CL22,25.03.2027,3668,USD,101.186667,5.94,104.37,5.53
US900123CL22,25.03.2027,3667,USD,100.553333,6.03,103.736667,5.62
US900123CL22,25.03.2027,3664,USD,101.333333,5.93,104.483333,5.52
US900123CL22,25.03.2027,3663,USD,101.1,5.96,104.25,5.56
US900123CL22,25.03.2027,3662,USD,101.366667,5.93,104.55,5.52
US900123CL22,25.03.2027,3661,USD,101.883333,5.86,105.066667,5.46
US900123CL22,25.03.2027,3660,USD,102.275,5.81,105.458333,5.41
US900123CL22,25.03.2027,3657,USD,102.96,5.73,106.26,5.31
US900123CL22,25.03.2027,3656,USD,103.476667,5.66,106.776667,5.25
US900123CL22,25.03.2027,3655,USD,103.858333,5.62,107.191667,5.2
US900123CL22,25.03.2027,3654,USD,103.78,5.63,106.988333,5.23
US900123CL22,25.03.2027,3653,USD,103.891667,5.62,107.1,5.22
US900123CL22,25.03.2027,3650,USD,104.316667,5.57,107.491667,5.17
US900123CL22,25.03.2027,3649,USD,104.208333,5.58,107.366667,5.19
US900123CL22,25.03.2027,3648,USD,103.85,5.63,107.041667,5.23
US900123CL22,25.03.2027,3647,USD,103.866667,5.63,107.053333,5.23
US900123CL22,25.03.2027,3646,USD,103.616667,5.66,106.82,5.26
US900123CL22,25.03.2027,3643,USD,103.666667,5.66,106.836667,5.26
US900123CL22,25.03.2027,3642,USD,103.903333,5.64,107.073333,5.24
US900123CL22,25.03.2027,3641,USD,104.21,5.6,107.413333,5.2
US900123CL22,25.03.2027,3640,USD,104.316667,5.59,107.52,5.19
US900123CL22,25.03.2027,3639,USD,104.858333,5.52,108.061667,5.12
US900123CL22,25.03.2027,3636,USD,105.033333,5.5,108.203333,5.11
