ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CM05,11.05.2047,10957,USD,96.05,6.04,99.129861,5.82
US900123CM05,11.05.2047,10956,USD,96.107972,6.03,99.187833,5.81
US900123CM05,11.05.2047,10953,USD,96.096889,6.04,99.144806,5.82
US900123CM05,11.05.2047,10952,USD,96.639861,6.0,99.735694,5.78
US900123CM05,11.05.2047,10951,USD,96.864833,5.98,99.960667,5.77
US900123CM05,11.05.2047,10950,USD,95.533806,6.08,98.754639,5.85
US900123CM05,11.05.2047,10946,USD,96.075694,6.05,99.248611,5.82
US900123CM05,11.05.2047,10945,USD,96.641667,6.01,99.689583,5.79
US900123CM05,11.05.2047,10944,USD,96.888639,5.99,99.984472,5.77
US900123CM05,11.05.2047,10943,USD,97.477611,5.95,100.557472,5.73
US900123CM05,11.05.2047,10942,USD,98.273583,5.89,101.353444,5.68
US900123CM05,11.05.2047,10938,USD,98.396472,5.89,101.428417,5.67
US900123CM05,11.05.2047,10937,USD,98.682472,5.87,101.762333,5.65
US900123CM05,11.05.2047,10936,USD,99.130444,5.83,102.210306,5.62
US900123CM05,11.05.2047,10935,USD,99.161417,5.83,102.241278,5.62
US900123CM05,11.05.2047,10932,USD,99.881333,5.79,102.92925,5.58
US900123CM05,11.05.2047,10931,USD,100.050306,5.77,103.098222,5.57
US900123CM05,11.05.2047,10930,USD,100.150278,5.77,103.230139,5.56
US900123CM05,11.05.2047,10929,USD,98.91425,5.86,102.119111,5.64
US900123CM05,11.05.2047,10928,USD,98.696222,5.87,101.901083,5.65
US900123CM05,11.05.2047,10925,USD,99.172139,5.84,102.220056,5.63
US900123CM05,11.05.2047,10924,USD,99.258111,5.84,102.306028,5.63
US900123CM05,11.05.2047,10923,USD,99.254083,5.84,102.333944,5.63
US900123CM05,11.05.2047,10922,USD,100.091056,5.78,103.170917,5.57
US900123CM05,11.05.2047,10921,USD,99.455028,5.83,102.659889,5.61
US900123CM05,11.05.2047,10918,USD,99.753944,5.81,102.926861,5.59
US900123CM05,11.05.2047,10917,USD,99.465917,5.83,102.613833,5.61
US900123CM05,11.05.2047,10916,USD,98.903889,5.87,102.115694,5.65
US900123CM05,11.05.2047,10915,USD,98.822861,5.88,102.034667,5.66
US900123CM05,11.05.2047,10914,USD,98.983833,5.87,102.195639,5.65
US900123CM05,11.05.2047,10909,USD,98.309694,5.92,101.489556,5.7
US900123CM05,11.05.2047,10908,USD,98.529667,5.91,101.7255,5.69
US900123CM05,11.05.2047,10907,USD,97.471639,5.99,100.667472,5.76
US900123CM05,11.05.2047,10904,USD,97.414556,6.0,100.478444,5.78
US900123CM05,11.05.2047,10903,USD,96.7075,6.05,99.787361,5.83
US900123CM05,11.05.2047,10902,USD,96.6075,6.06,99.687361,5.84
US900123CM05,11.05.2047,10901,USD,95.323472,6.16,98.528333,5.92
US900123CM05,11.05.2047,10900,USD,94.243444,6.24,97.448306,6.0
US900123CM05,11.05.2047,10897,USD,94.466361,6.23,97.639278,5.99
US900123CM05,11.05.2047,10896,USD,95.130333,6.18,98.30325,5.94
US900123CM05,11.05.2047,10895,USD,96.211306,6.1,99.916167,5.83
US900123CM05,11.05.2047,10894,USD,96.628278,6.07,100.333139,5.8
US900123CM05,11.05.2047,10893,USD,96.44525,6.08,100.150111,5.82
US900123CM05,11.05.2047,10890,USD,97.247167,6.03,100.920083,5.76
US900123CM05,11.05.2047,10889,USD,97.495139,6.01,101.168056,5.75
US900123CM05,11.05.2047,10888,USD,98.058111,5.97,101.762972,5.71
US900123CM05,11.05.2047,10887,USD,98.349083,5.95,102.053944,5.69
US900123CM05,11.05.2047,10886,USD,99.243056,5.88,102.947917,5.63
US900123CM05,11.05.2047,10883,USD,99.219972,5.89,102.892889,5.63
US900123CM05,11.05.2047,10882,USD,98.659944,5.93,102.207861,5.68
US900123CM05,11.05.2047,10881,USD,97.800917,6.0,101.364806,5.74
US900123CM05,11.05.2047,10880,USD,99.107889,5.9,102.671778,5.65
US900123CM05,11.05.2047,10876,USD,98.954806,5.91,102.502722,5.67
US900123CM05,11.05.2047,10875,USD,99.105778,5.91,102.653694,5.66
US900123CM05,11.05.2047,10874,USD,99.56875,5.87,103.148611,5.63
US900123CM05,11.05.2047,10873,USD,99.915722,5.85,103.495583,5.6
US900123CM05,11.05.2047,10872,USD,100.849694,5.78,104.429556,5.54
US900123CM05,11.05.2047,10869,USD,100.369611,5.82,103.917528,5.58
US900123CM05,11.05.2047,10868,USD,100.403583,5.82,104.0515,5.57
US900123CM05,11.05.2047,10867,USD,100.603556,5.81,104.283417,5.56
US900123CM05,11.05.2047,10866,USD,100.279528,5.83,103.959389,5.58
US900123CM05,11.05.2047,10865,USD,99.5485,5.88,103.228361,5.63
US900123CM05,11.05.2047,10862,USD,99.578417,5.89,103.276333,5.63
US900123CM05,11.05.2047,10861,USD,100.117389,5.85,103.815306,5.59
US900123CM05,11.05.2047,10860,USD,99.775361,5.87,103.505222,5.62
US900123CM05,11.05.2047,10859,USD,100.207333,5.84,103.937194,5.59
