ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CP36,17.02.2028,3683,USD,97.848,5.4,100.126472,5.11
US900123CP36,17.02.2028,3682,USD,97.504236,5.45,99.811181,5.16
US900123CP36,17.02.2028,3681,USD,97.373472,5.47,99.680417,5.18
US900123CP36,17.02.2028,3678,USD,97.032181,5.52,99.310653,5.23
US900123CP36,17.02.2028,3677,USD,97.362417,5.48,99.640889,5.18
US900123CP36,17.02.2028,3676,USD,97.521653,5.46,99.800125,5.17
US900123CP36,17.02.2028,3675,USD,97.464889,5.47,99.771833,5.18
US900123CP36,17.02.2028,3674,USD,97.764125,5.43,100.071069,5.14
US900123CP36,17.02.2028,3671,USD,97.604833,5.46,99.869069,5.16
US900123CP36,17.02.2028,3670,USD,97.203069,5.51,99.467306,5.22
US900123CP36,17.02.2028,3669,USD,97.177069,5.52,99.455542,5.22
US900123CP36,17.02.2028,3668,USD,97.336306,5.5,99.64325,5.2
US900123CP36,17.02.2028,3667,USD,97.182542,5.52,99.489486,5.22
US900123CP36,17.02.2028,3664,USD,96.36725,5.64,98.770722,5.32
US900123CP36,17.02.2028,3663,USD,96.089486,5.68,98.492958,5.36
US900123CP36,17.02.2028,3662,USD,96.100722,5.68,98.504194,5.36
US900123CP36,17.02.2028,3661,USD,96.160958,5.67,98.592903,5.35
US900123CP36,17.02.2028,3660,USD,95.197194,5.8,97.629139,5.48
US900123CP36,17.02.2028,3657,USD,94.773903,5.87,97.302375,5.53
US900123CP36,17.02.2028,3656,USD,94.874139,5.86,97.252611,5.54
US900123CP36,17.02.2028,3655,USD,94.762375,5.87,97.140847,5.55
US900123CP36,17.02.2028,3654,USD,94.009611,5.98,96.430792,5.66
US900123CP36,17.02.2028,3653,USD,94.348847,5.94,96.770028,5.61
US900123CP36,17.02.2028,3650,USD,95.401556,5.8,97.780028,5.48
US900123CP36,17.02.2028,3649,USD,95.324792,5.81,97.703264,5.49
US900123CP36,17.02.2028,3648,USD,95.023028,5.85,97.4015,5.53
US900123CP36,17.02.2028,3647,USD,94.737264,5.89,97.144208,5.57
US900123CP36,17.02.2028,3646,USD,94.8315,5.88,97.238444,5.56
US900123CP36,17.02.2028,3643,USD,94.945208,5.87,97.323681,5.55
US900123CP36,17.02.2028,3642,USD,95.287444,5.83,97.694389,5.51
US900123CP36,17.02.2028,3641,USD,95.068681,5.86,97.475625,5.54
US900123CP36,17.02.2028,3640,USD,95.194389,5.85,97.601333,5.53
US900123CP36,17.02.2028,3639,USD,95.114625,5.86,97.521569,5.54
US900123CP36,17.02.2028,3636,USD,94.888333,5.9,97.266806,5.58
US900123CP36,17.02.2028,3635,USD,94.830569,5.91,97.209042,5.59
US900123CP36,17.02.2028,3634,USD,95.124806,5.87,97.503278,5.55
US900123CP36,17.02.2028,3633,USD,95.139042,5.87,97.545986,5.55
US900123CP36,17.02.2028,3632,USD,94.691278,5.94,97.098222,5.61
US900123CP36,17.02.2028,3629,USD,94.764986,5.93,97.143458,5.61
US900123CP36,17.02.2028,3628,USD,94.458222,5.98,96.836694,5.65
US900123CP36,17.02.2028,3627,USD,94.542458,5.97,96.920931,5.64
US900123CP36,17.02.2028,3626,USD,94.543694,5.97,96.950639,5.65
US900123CP36,17.02.2028,3625,USD,94.397931,5.99,96.804875,5.67
US900123CP36,17.02.2028,3622,USD,94.005639,6.06,96.384111,5.73
US900123CP36,17.02.2028,3621,USD,93.617875,6.11,95.996347,5.78
US900123CP36,17.02.2028,3620,USD,93.947111,6.07,96.325583,5.74
US900123CP36,17.02.2028,3619,USD,94.398347,6.01,96.805292,5.68
US900123CP36,17.02.2028,3618,USD,94.432583,6.0,96.839528,5.68
US900123CP36,17.02.2028,3615,USD,93.925292,6.08,96.303764,5.75
US900123CP36,17.02.2028,3614,USD,93.696528,6.12,96.075,5.79
US900123CP36,17.02.2028,3613,USD,94.013764,6.07,96.420708,5.75
US900123CP36,17.02.2028,3612,USD,93.837,6.1,96.243944,5.77
US900123CP36,17.02.2028,3611,USD,94.537236,6.0,96.929944,5.68
US900123CP36,17.02.2028,3608,USD,94.565708,6.01,96.944181,5.68
US900123CP36,17.02.2028,3607,USD,94.480944,6.02,96.859417,5.69
US900123CP36,17.02.2028,3606,USD,94.542181,6.01,96.920653,5.69
US900123CP36,17.02.2028,3605,USD,94.178417,6.07,96.585361,5.74
US900123CP36,17.02.2028,3604,USD,94.468653,6.03,96.875597,5.7
US900123CP36,17.02.2028,3601,USD,94.717361,6.0,97.120833,5.67
US900123CP36,17.02.2028,3600,USD,94.288597,6.06,96.692069,5.73
US900123CP36,17.02.2028,3599,USD,93.944833,6.11,96.473306,5.76
US900123CP36,17.02.2028,3598,USD,93.975069,6.11,96.532014,5.76
US900123CP36,17.02.2028,3597,USD,94.522306,6.04,97.07925,5.69
US900123CP36,17.02.2028,3594,USD,94.693014,6.02,97.097486,5.69
US900123CP36,17.02.2028,3593,USD,93.64525,6.17,96.023722,5.84
US900123CP36,17.02.2028,3592,USD,93.417486,6.21,95.795958,5.87
US900123CP36,17.02.2028,3591,USD,94.601722,6.04,97.022903,5.71
US900123CP36,17.02.2028,3590,USD,94.336958,6.08,96.758139,5.75
US900123CP36,17.02.2028,3586,USD,93.894903,6.15,96.273375,5.82
US900123CP36,17.02.2028,3585,USD,93.777139,6.17,96.155611,5.84
US900123CP36,17.02.2028,3584,USD,93.997375,6.14,96.404319,5.81
US900123CP36,17.02.2028,3583,USD,94.342611,6.09,96.763792,5.76
US900123CP36,17.02.2028,3580,USD,94.073319,6.14,96.476792,5.8
US900123CP36,17.02.2028,3578,USD,92.853792,6.32,95.257264,5.98
US900123CP36,17.02.2028,3577,USD,92.064028,6.44,94.495972,6.09
US900123CP36,17.02.2028,3576,USD,91.087264,6.59,93.519208,6.24
US900123CP36,17.02.2028,3573,USD,90.491972,6.68,93.020444,6.31
US900123CP36,17.02.2028,3572,USD,90.443208,6.69,92.971681,6.32
US900123CP36,17.02.2028,3571,USD,88.287444,7.03,90.815917,6.64
US900123CP36,17.02.2028,3570,USD,89.779681,6.8,92.336625,6.42
US900123CP36,17.02.2028,3569,USD,89.793917,6.8,92.350861,6.42
US900123CP36,17.02.2028,3566,USD,89.692625,6.82,92.171097,6.45
US900123CP36,17.02.2028,3565,USD,88.713861,6.98,91.192333,6.6
US900123CP36,17.02.2028,3564,USD,86.705097,7.3,89.233569,6.9
US900123CP36,17.02.2028,3563,USD,86.812333,7.28,89.369278,6.89
US900123CP36,17.02.2028,3562,USD,86.542569,7.33,89.099514,6.94
US900123CP36,17.02.2028,3559,USD,86.486278,7.35,89.01475,6.95
US900123CP36,17.02.2028,3558,USD,86.068514,7.42,88.596986,7.02
US900123CP36,17.02.2028,3557,USD,85.96475,7.44,88.493222,7.04
US900123CP36,17.02.2028,3556,USD,89.066986,6.95,91.638167,6.56
US900123CP36,17.02.2028,3555,USD,88.469222,7.04,91.040403,6.66
US900123CP36,17.02.2028,3552,USD,88.526167,7.04,91.040403,6.66
US900123CP36,17.02.2028,3551,USD,91.054167,6.65,93.568403,6.28
US900123CP36,17.02.2028,3550,USD,91.868403,6.53,94.382639,6.16
US900123CP36,17.02.2028,3549,USD,91.766403,6.55,94.323347,6.18
US900123CP36,17.02.2028,3548,USD,90.110639,6.8,92.667583,6.43
US900123CP36,17.02.2028,3545,USD,88.872347,7.0,91.400819,6.62
US900123CP36,17.02.2028,3544,USD,89.265583,6.94,91.794056,6.56
US900123CP36,17.02.2028,3543,USD,89.059819,6.98,91.588292,6.59
US900123CP36,17.02.2028,3542,USD,88.882056,7.01,91.439,6.62
US900123CP36,17.02.2028,3541,USD,89.852292,6.86,92.409236,6.48
US900123CP36,17.02.2028,3538,USD,89.602,6.91,92.130472,6.53
US900123CP36,17.02.2028,3537,USD,88.792236,7.04,91.306472,6.65
US900123CP36,17.02.2028,3536,USD,88.193472,7.13,90.764653,6.75
US900123CP36,17.02.2028,3531,USD,87.461653,7.26,89.990125,6.87
US900123CP36,17.02.2028,3530,USD,86.453889,7.43,88.982361,7.03
US900123CP36,17.02.2028,3529,USD,85.977125,7.51,88.505597,7.11
US900123CP36,17.02.2028,3528,USD,87.282361,7.3,89.839306,6.91
US900123CP36,17.02.2028,3527,USD,89.778597,6.91,92.335542,6.53
US900123CP36,17.02.2028,3524,USD,88.849306,7.06,91.377778,6.67
US900123CP36,17.02.2028,3523,USD,88.189542,7.17,90.718014,6.78
US900123CP36,17.02.2028,3522,USD,88.727778,7.09,91.25625,6.7
US900123CP36,17.02.2028,3521,USD,88.313014,7.16,90.869958,6.77
US900123CP36,17.02.2028,3520,USD,88.32725,7.16,90.884194,6.77
US900123CP36,17.02.2028,3517,USD,89.081958,7.04,91.624667,6.66
US900123CP36,17.02.2028,3516,USD,89.144194,7.04,91.686903,6.65
US900123CP36,17.02.2028,3515,USD,89.172667,7.04,91.701139,6.65
US900123CP36,17.02.2028,3514,USD,89.260667,7.02,91.817611,6.64
US900123CP36,17.02.2028,3513,USD,90.037903,6.91,92.594847,6.52
US900123CP36,17.02.2028,3510,USD,90.527611,6.84,93.056083,6.46
US900123CP36,17.02.2028,3509,USD,89.976847,6.93,92.505319,6.54
US900123CP36,17.02.2028,3508,USD,88.401083,7.18,90.929556,6.78
US900123CP36,17.02.2028,3507,USD,86.406319,7.5,88.963264,7.1
US900123CP36,17.02.2028,3506,USD,86.499556,7.49,89.0565,7.09
US900123CP36,17.02.2028,3503,USD,87.422264,7.35,89.950736,6.95
US900123CP36,17.02.2028,3502,USD,87.3725,7.36,89.900972,6.96
US900123CP36,17.02.2028,3501,USD,87.902736,7.28,90.431208,6.88
US900123CP36,17.02.2028,3500,USD,88.457972,7.19,91.014917,6.8
US900123CP36,17.02.2028,3499,USD,89.037208,7.1,91.594153,6.71
US900123CP36,17.02.2028,3496,USD,89.411917,7.05,91.940389,6.66
US900123CP36,17.02.2028,3495,USD,89.321153,7.07,91.849625,6.68
