ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CQ19,24.10.2028,3834,USD,99.160028,6.24,101.078083,6.0
US900123CQ19,24.10.2028,3833,USD,99.457042,6.2,101.392111,5.96
US900123CQ19,24.10.2028,3830,USD,99.171083,6.25,101.080111,6.0
US900123CQ19,24.10.2028,3828,USD,97.853111,6.43,99.762139,6.18
US900123CQ19,24.10.2028,3827,USD,97.135125,6.53,99.078181,6.28
US900123CQ19,24.10.2028,3826,USD,96.079139,6.67,98.022194,6.42
US900123CQ19,24.10.2028,3823,USD,95.663181,6.74,97.697208,6.46
US900123CQ19,24.10.2028,3822,USD,95.609194,6.75,97.643222,6.47
US900123CQ19,24.10.2028,3821,USD,93.269208,7.08,95.303236,6.8
US900123CQ19,24.10.2028,3820,USD,94.884222,6.85,96.952278,6.58
US900123CQ19,24.10.2028,3819,USD,94.901236,6.85,96.969292,6.58
US900123CQ19,24.10.2028,3816,USD,94.791278,6.88,96.775306,6.61
US900123CQ19,24.10.2028,3815,USD,93.728292,7.03,95.712319,6.76
US900123CQ19,24.10.2028,3814,USD,91.546306,7.35,93.580333,7.06
US900123CQ19,24.10.2028,3813,USD,91.660319,7.34,93.728375,7.05
US900123CQ19,24.10.2028,3812,USD,91.362333,7.38,93.430389,7.09
US900123CQ19,24.10.2028,3809,USD,90.962375,7.45,92.996403,7.16
US900123CQ19,24.10.2028,3808,USD,90.514389,7.52,92.548417,7.22
US900123CQ19,24.10.2028,3807,USD,90.400403,7.54,92.434431,7.24
US900123CQ19,24.10.2028,3806,USD,93.745417,7.05,95.830486,6.77
US900123CQ19,24.10.2028,3805,USD,93.103431,7.15,95.1885,6.86
US900123CQ19,24.10.2028,3802,USD,93.171486,7.15,95.1885,6.86
US900123CQ19,24.10.2028,3801,USD,95.528486,6.81,97.5455,6.53
US900123CQ19,24.10.2028,3800,USD,96.3365,6.7,98.353514,6.43
US900123CQ19,24.10.2028,3799,USD,96.0805,6.74,98.148556,6.46
US900123CQ19,24.10.2028,3798,USD,94.303514,6.99,96.371569,6.71
US900123CQ19,24.10.2028,3795,USD,92.841556,7.21,94.875583,6.92
US900123CQ19,24.10.2028,3794,USD,93.403569,7.13,95.437597,6.84
US900123CQ19,24.10.2028,3793,USD,93.042583,7.18,95.076611,6.9
US900123CQ19,24.10.2028,3792,USD,92.846597,7.22,94.914653,6.93
US900123CQ19,24.10.2028,3791,USD,94.098611,7.04,96.166667,6.75
US900123CQ19,24.10.2028,3788,USD,93.624653,7.11,95.658681,6.83
US900123CQ19,24.10.2028,3787,USD,92.756667,7.24,94.773681,6.95
US900123CQ19,24.10.2028,3786,USD,92.117681,7.34,94.20275,7.05
US900123CQ19,24.10.2028,3781,USD,91.54475,7.44,93.578778,7.14
US900123CQ19,24.10.2028,3780,USD,90.261764,7.63,92.295792,7.33
US900123CQ19,24.10.2028,3779,USD,89.753778,7.71,91.787806,7.41
US900123CQ19,24.10.2028,3778,USD,91.145792,7.51,93.213847,7.21
US900123CQ19,24.10.2028,3777,USD,93.816806,7.11,95.884861,6.83
US900123CQ19,24.10.2028,3774,USD,92.825847,7.27,94.859875,6.98
US900123CQ19,24.10.2028,3773,USD,92.116861,7.37,94.150889,7.08
US900123CQ19,24.10.2028,3772,USD,92.831875,7.27,94.865903,6.98
US900123CQ19,24.10.2028,3771,USD,93.003889,7.25,95.071944,6.96
US900123CQ19,24.10.2028,3770,USD,93.020903,7.25,95.088958,6.96
US900123CQ19,24.10.2028,3767,USD,93.769944,7.15,95.820986,6.86
US900123CQ19,24.10.2028,3766,USD,93.840958,7.14,95.892,6.85
US900123CQ19,24.10.2028,3765,USD,93.874986,7.14,95.909014,6.85
US900123CQ19,24.10.2028,3764,USD,93.964986,7.13,96.033042,6.84
US900123CQ19,24.10.2028,3763,USD,93.708,7.17,97.276056,6.67
US900123CQ19,24.10.2028,3760,USD,94.239042,7.1,97.773069,6.6
US900123CQ19,24.10.2028,3759,USD,93.643056,7.19,97.177083,6.69
US900123CQ19,24.10.2028,3758,USD,91.946069,7.44,95.480097,6.93
US900123CQ19,24.10.2028,3757,USD,89.799083,7.77,93.367139,7.24
US900123CQ19,24.10.2028,3756,USD,89.568097,7.81,93.136153,7.28
