ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CR91,23.12.2023,1887,USD,98.045,7.71,99.435278,7.39
US900123CR91,23.12.2023,1886,USD,98.331139,7.65,99.846417,7.29
US900123CR91,23.12.2023,1885,USD,98.420278,7.63,99.995972,7.28
US900123CR91,23.12.2023,1884,USD,99.027417,7.49,100.582972,7.14
US900123CR91,23.12.2023,1880,USD,99.301972,7.44,100.797111,7.09
US900123CR91,23.12.2023,1879,USD,99.392972,7.42,100.90825,7.07
US900123CR91,23.12.2023,1878,USD,98.668111,7.6,100.348667,7.22
US900123CR91,23.12.2023,1877,USD,99.14525,7.49,100.825806,7.11
US900123CR91,23.12.2023,1874,USD,99.637667,7.39,101.152944,7.04
US900123CR91,23.12.2023,1873,USD,100.205806,7.26,101.721083,6.91
US900123CR91,23.12.2023,1872,USD,100.252944,7.25,101.893222,6.87
US900123CR91,23.12.2023,1871,USD,100.290083,7.25,101.990778,6.87
US900123CR91,23.12.2023,1870,USD,100.130222,7.29,101.830917,6.91
US900123CR91,23.12.2023,1867,USD,100.076639,7.31,101.737056,6.94
US900123CR91,23.12.2023,1866,USD,100.193778,7.29,101.834056,6.91
US900123CR91,23.12.2023,1865,USD,100.061917,7.33,101.702194,6.95
US900123CR91,23.12.2023,1864,USD,100.198056,7.3,101.878611,6.92
US900123CR91,23.12.2023,1863,USD,100.320194,7.28,102.00075,6.9
US900123CR91,23.12.2023,1860,USD,99.973611,7.37,101.613889,6.99
US900123CR91,23.12.2023,1859,USD,99.82975,7.41,101.490167,7.03
US900123CR91,23.12.2023,1858,USD,98.474889,7.75,100.175583,7.36
US900123CR91,23.12.2023,1857,USD,98.982167,7.63,100.662722,7.25
US900123CR91,23.12.2023,1856,USD,98.974167,7.63,100.654722,7.25
US900123CR91,23.12.2023,1853,USD,99.052583,7.63,100.692861,7.24
US900123CR91,23.12.2023,1852,USD,98.890722,7.67,100.531,7.29
US900123CR91,23.12.2023,1851,USD,98.282861,7.83,99.923139,7.44
US900123CR91,23.12.2023,1850,USD,99.192,7.61,100.872556,7.22
