ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CT57,26.04.2029,3744,USD,103.534625,7.15,104.994347,6.96
US900123CT57,26.04.2029,3741,USD,103.247167,7.2,104.664528,7.01
US900123CT57,26.04.2029,3740,USD,102.162347,7.35,103.558528,7.16
US900123CT57,26.04.2029,3739,USD,103.342528,7.19,104.863708,6.99
US900123CT57,26.04.2029,3738,USD,105.215528,6.94,106.80025,6.74
US900123CT57,26.04.2029,3737,USD,104.731708,7.01,106.316431,6.8
US900123CT57,26.04.2029,3734,USD,103.76125,7.14,105.303611,6.94
US900123CT57,26.04.2029,3733,USD,104.018431,7.11,105.560792,6.91
US900123CT57,26.04.2029,3732,USD,104.921611,6.99,106.463972,6.79
US900123CT57,26.04.2029,3731,USD,103.770792,7.15,105.355514,6.95
US900123CT57,26.04.2029,3730,USD,104.029972,7.12,105.614694,6.92
US900123CT57,26.04.2029,3727,USD,103.873514,7.15,105.415875,6.95
US900123CT57,26.04.2029,3726,USD,103.549694,7.2,105.092056,6.99
US900123CT57,26.04.2029,3725,USD,104.239875,7.1,105.782236,6.9
US900123CT57,26.04.2029,3724,USD,104.261056,7.1,105.866958,6.9
US900123CT57,26.04.2029,3723,USD,104.475236,7.08,106.081139,6.88
US900123CT57,26.04.2029,3720,USD,103.958778,7.16,105.522319,6.95
US900123CT57,26.04.2029,3719,USD,103.779958,7.18,105.522319,6.95
US900123CT57,26.04.2029,3718,USD,104.016139,7.15,105.5585,6.95
US900123CT57,26.04.2029,3717,USD,103.613319,7.21,105.198042,7.01
US900123CT57,26.04.2029,3716,USD,103.6515,7.21,105.236222,7.01
US900123CT57,26.04.2029,3713,USD,103.683042,7.21,105.225403,7.01
US900123CT57,26.04.2029,3712,USD,104.142222,7.15,105.684583,6.95
US900123CT57,26.04.2029,3711,USD,104.452403,7.11,106.037125,6.91
US900123CT57,26.04.2029,3710,USD,104.746583,7.08,106.373667,6.87
US900123CT57,26.04.2029,3709,USD,104.492125,7.12,106.076847,6.92
US900123CT57,26.04.2029,3706,USD,103.987667,7.2,105.530028,6.99
US900123CT57,26.04.2029,3705,USD,103.819847,7.22,105.362208,7.02
US900123CT57,26.04.2029,3704,USD,103.212028,7.31,104.754389,7.1
US900123CT57,26.04.2029,3703,USD,103.362208,7.29,104.946931,7.09
US900123CT57,26.04.2029,3702,USD,102.856389,7.37,104.441111,7.16
US900123CT57,26.04.2029,3699,USD,102.861931,7.37,104.404292,7.17
US900123CT57,26.04.2029,3698,USD,103.858111,7.24,105.400472,7.03
US900123CT57,26.04.2029,3697,USD,103.988292,7.22,105.530653,7.02
US900123CT57,26.04.2029,3696,USD,104.065472,7.22,105.650194,7.01
US900123CT57,26.04.2029,3695,USD,103.971653,7.23,105.556375,7.02
US900123CT57,26.04.2029,3692,USD,104.373194,7.18,105.915556,6.98
US900123CT57,26.04.2029,3691,USD,104.872375,7.12,106.414736,6.91
US900123CT57,26.04.2029,3690,USD,104.276556,7.2,105.818917,7.0
US900123CT57,26.04.2029,3689,USD,104.104736,7.23,106.011458,6.98
US900123CT57,26.04.2029,3688,USD,103.182917,7.36,104.767639,7.15
US900123CT57,26.04.2029,3685,USD,99.507458,7.9,101.049819,7.68
US900123CT57,26.04.2029,3684,USD,100.087639,7.82,101.587639,7.6
US900123CT57,26.04.2029,3683,USD,98.213819,8.1,100.006181,7.84
US900123CT57,26.04.2029,3682,USD,97.834,8.16,99.647542,7.9
US900123CT57,26.04.2029,3681,USD,98.146181,8.11,99.959722,7.85
US900123CT57,26.04.2029,3678,USD,100.559542,7.76,102.351903,7.51
US900123CT57,26.04.2029,3677,USD,100.476722,7.78,102.144083,7.54
