ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CV04,10.08.2024,1858,USD,97.75,6.88,99.563,6.45
US900123CV04,10.08.2024,1857,USD,97.880639,6.85,100.068833,6.36
US900123CV04,10.08.2024,1856,USD,97.136278,7.04,99.324472,6.54
US900123CV04,10.08.2024,1852,USD,98.294833,6.78,99.930111,6.4
US900123CV04,10.08.2024,1851,USD,98.662472,6.69,100.29775,6.31
US900123CV04,10.08.2024,1850,USD,99.090111,6.59,100.760667,6.22
US900123CV04,10.08.2024,1849,USD,99.57175,6.49,101.242306,6.11
US900123CV04,10.08.2024,1846,USD,99.427667,6.53,101.062944,6.16
US900123CV04,10.08.2024,1845,USD,99.386306,6.55,101.021583,6.17
US900123CV04,10.08.2024,1844,USD,99.754944,6.46,101.390222,6.09
US900123CV04,10.08.2024,1843,USD,100.339583,6.33,102.010139,5.96
US900123CV04,10.08.2024,1842,USD,100.771222,6.23,102.441778,5.86
US900123CV04,10.08.2024,1839,USD,100.829139,6.23,102.446778,5.86
US900123CV04,10.08.2024,1838,USD,100.721778,6.26,102.339417,5.89
US900123CV04,10.08.2024,1837,USD,100.847778,6.23,102.483056,5.86
US900123CV04,10.08.2024,1836,USD,100.331417,6.36,102.001972,5.98
US900123CV04,10.08.2024,1835,USD,100.367056,6.35,102.037611,5.98
US900123CV04,10.08.2024,1832,USD,100.454972,6.34,102.09025,5.97
US900123CV04,10.08.2024,1831,USD,99.983611,6.46,101.618889,6.08
US900123CV04,10.08.2024,1830,USD,99.87925,6.49,101.514528,6.11
US900123CV04,10.08.2024,1828,USD,101.029528,6.22,102.735361,5.85
US900123CV04,10.08.2024,1822,USD,99.770361,6.55,101.440917,6.17
US900123CV04,10.08.2024,1821,USD,99.604,6.59,101.274556,6.21
US900123CV04,10.08.2024,1818,USD,99.820917,6.55,101.456194,6.17
US900123CV04,10.08.2024,1817,USD,99.755556,6.57,101.190833,6.24
US900123CV04,10.08.2024,1816,USD,99.514194,6.64,101.149472,6.25
US900123CV04,10.08.2024,1815,USD,99.482833,6.65,101.153389,6.26
US900123CV04,10.08.2024,1814,USD,99.258472,6.71,100.629028,6.39
US900123CV04,10.08.2024,1811,USD,99.491389,6.66,101.126667,6.28
US900123CV04,10.08.2024,1810,USD,99.904028,6.57,101.414306,6.21
US900123CV04,10.08.2024,1809,USD,99.526667,6.66,101.214861,6.28
US900123CV04,10.08.2024,1808,USD,99.689306,6.63,101.359861,6.24
US900123CV04,10.08.2024,1804,USD,99.543222,6.68,101.196139,6.29
US900123CV04,10.08.2024,1803,USD,99.942861,6.58,101.578139,6.2
US900123CV04,10.08.2024,1802,USD,100.7225,6.4,102.357778,6.02
US900123CV04,10.08.2024,1801,USD,101.170139,6.3,102.840694,5.92
US900123CV04,10.08.2024,1800,USD,101.312778,6.27,102.983333,5.89
US900123CV04,10.08.2024,1797,USD,100.990694,6.36,102.625972,5.98
US900123CV04,10.08.2024,1796,USD,100.508333,6.48,102.143611,6.09
US900123CV04,10.08.2024,1795,USD,100.025972,6.6,101.53625,6.24
