ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CW86,14.11.2024,1813,USD,99.943333,5.67,101.425556,5.34
US900123CW86,14.11.2024,1812,USD,99.943333,5.67,101.425556,5.34
US900123CW86,14.11.2024,1809,USD,100.12,5.64,101.521111,5.32
US900123CW86,14.11.2024,1808,USD,99.970556,5.68,101.401667,5.35
US900123CW86,14.11.2024,1807,USD,100.361111,5.59,101.542222,5.32
US900123CW86,14.11.2024,1806,USD,100.426667,5.58,101.908889,5.25
US900123CW86,14.11.2024,1805,USD,100.642222,5.53,102.124444,5.2
US900123CW86,14.11.2024,1802,USD,100.618889,5.54,102.07,5.21
US900123CW86,14.11.2024,1801,USD,100.564444,5.56,102.015556,5.23
US900123CW86,14.11.2024,1800,USD,100.56,5.57,102.011111,5.24
US900123CW86,14.11.2024,1799,USD,100.725556,5.53,102.207778,5.2
US900123CW86,14.11.2024,1798,USD,101.141111,5.44,102.623333,5.11
US900123CW86,14.11.2024,1795,USD,101.137778,5.45,102.588889,5.12
US900123CW86,14.11.2024,1794,USD,101.153333,5.45,102.594444,5.12
US900123CW86,14.11.2024,1793,USD,101.338889,5.41,102.78,5.08
US900123CW86,14.11.2024,1792,USD,101.469444,5.38,102.931667,5.06
US900123CW86,14.11.2024,1791,USD,101.485,5.38,102.947222,5.06
US900123CW86,14.11.2024,1788,USD,101.596667,5.37,103.063333,5.04
US900123CW86,14.11.2024,1787,USD,101.562222,5.38,103.028889,5.05
US900123CW86,14.11.2024,1784,USD,101.708889,5.35,103.175556,5.02
US900123CW86,14.11.2024,1781,USD,101.795556,5.34,103.246667,5.01
US900123CW86,14.11.2024,1780,USD,101.925556,5.31,103.392222,4.98
US900123CW86,14.11.2024,1778,USD,102.006667,5.3,103.478889,4.97
US900123CW86,14.11.2024,1777,USD,102.142222,5.27,103.624444,4.94
US900123CW86,14.11.2024,1774,USD,102.038889,5.31,103.48,4.98
US900123CW86,14.11.2024,1773,USD,102.194444,5.27,103.635556,4.95
US900123CW86,14.11.2024,1772,USD,102.23,5.27,103.671111,4.94
US900123CW86,14.11.2024,1771,USD,102.615556,5.18,104.087778,4.85
US900123CW86,14.11.2024,1770,USD,102.711111,5.16,104.193333,4.83
US900123CW86,14.11.2024,1767,USD,102.837778,5.14,104.288889,4.82
US900123CW86,14.11.2024,1766,USD,103.143333,5.08,104.594444,4.75
US900123CW86,14.11.2024,1765,USD,103.608889,4.97,105.06,4.64
US900123CW86,14.11.2024,1764,USD,104.639444,4.74,106.117222,4.42
US900123CW86,14.11.2024,1763,USD,104.405,4.79,105.882778,4.47
US900123CW86,14.11.2024,1760,USD,104.610667,4.76,105.742333,4.51
US900123CW86,14.11.2024,1759,USD,104.842222,4.71,105.423333,4.58
US900123CW86,14.11.2024,1758,USD,104.782778,4.72,106.113889,4.43
US900123CW86,14.11.2024,1757,USD,105.173333,4.64,106.535556,4.34
US900123CW86,14.11.2024,1756,USD,104.813889,4.72,106.176111,4.42
US900123CW86,14.11.2024,1753,USD,104.835556,4.73,106.186667,4.42
US900123CW86,14.11.2024,1752,USD,105.376111,4.61,106.707222,4.31
US900123CW86,14.11.2024,1751,USD,105.816667,4.51,106.957222,4.25
US900123CW86,14.11.2024,1750,USD,105.832222,4.51,107.003889,4.25
US900123CW86,14.11.2024,1749,USD,105.982222,4.47,107.232444,4.2
US900123CW86,14.11.2024,1746,USD,106.328889,4.4,107.41,4.16
US900123CW86,14.11.2024,1745,USD,105.969444,4.49,107.300556,4.19
US900123CW86,14.11.2024,1744,USD,105.985,4.49,107.316111,4.19
US900123CW86,14.11.2024,1743,USD,106.000556,4.49,107.237778,4.22
US900123CW86,14.11.2024,1742,USD,105.391111,4.63,106.753333,4.33
US900123CW86,14.11.2024,1739,USD,103.937778,4.98,105.268889,4.67
US900123CW86,14.11.2024,1738,USD,104.453333,4.86,105.784444,4.56
US900123CW86,14.11.2024,1737,USD,104.968889,4.74,106.3,4.44
US900123CW86,14.11.2024,1736,USD,104.984444,4.74,106.362222,4.44
US900123CW86,14.11.2024,1735,USD,105.125,4.71,106.377778,4.44
US900123CW86,14.11.2024,1732,USD,104.792222,4.8,106.143333,4.5
US900123CW86,14.11.2024,1731,USD,105.362222,4.67,106.343333,4.45
US900123CW86,14.11.2024,1730,USD,105.202778,4.71,106.533889,4.41
US900123CW86,14.11.2024,1729,USD,103.968333,5.0,105.330556,4.7
US900123CW86,14.11.2024,1728,USD,103.983889,5.0,105.346111,4.7
US900123CW86,14.11.2024,1725,USD,103.655556,5.09,104.986667,4.78
US900123CW86,14.11.2024,1724,USD,103.171111,5.21,104.502222,4.9
US900123CW86,14.11.2024,1723,USD,103.061667,5.24,104.392778,4.93
US900123CW86,14.11.2024,1722,USD,103.077222,5.24,104.455,4.93
US900123CW86,14.11.2024,1721,USD,101.147778,5.71,102.515556,5.4
US900123CW86,14.11.2024,1718,USD,101.63,5.61,102.951111,5.3
US900123CW86,14.11.2024,1717,USD,103.420556,5.18,104.751667,4.87
US900123CW86,14.11.2024,1716,USD,103.686111,5.12,105.267222,4.75
US900123CW86,14.11.2024,1715,USD,104.826667,4.85,106.188889,4.54
US900123CW86,14.11.2024,1714,USD,102.952222,5.3,104.314444,4.99
US900123CW86,14.11.2024,1711,USD,100.763889,5.85,102.34,5.47
US900123CW86,14.11.2024,1710,USD,103.184444,5.26,104.515556,4.95
US900123CW86,14.11.2024,1709,USD,102.17,5.51,103.291111,5.25
US900123CW86,14.11.2024,1708,USD,99.185556,6.26,100.737778,5.89
US900123CW86,14.11.2024,1707,USD,98.701111,6.39,100.563333,5.93
US900123CW86,14.11.2024,1704,USD,96.747778,6.91,98.298889,6.51
US900123CW86,14.11.2024,1703,USD,95.013333,7.37,96.654444,6.95
US900123CW86,14.11.2024,1702,USD,93.901889,7.68,95.561,7.24
US900123CW86,14.11.2024,1701,USD,91.125444,8.46,92.711667,8.04
US900123CW86,14.11.2024,1700,USD,91.685,8.31,93.180222,7.91
US900123CW86,14.11.2024,1697,USD,91.406667,8.4,92.870778,8.0
US900123CW86,14.11.2024,1696,USD,91.391222,8.41,92.852333,8.01
US900123CW86,14.11.2024,1695,USD,94.857778,7.46,96.294889,7.08
US900123CW86,14.11.2024,1694,USD,95.383333,7.32,96.851556,6.95
US900123CW86,14.11.2024,1693,USD,95.879889,7.19,97.401556,6.8
US900123CW86,14.11.2024,1690,USD,93.913556,7.74,95.239111,7.39
US900123CW86,14.11.2024,1689,USD,93.589556,7.83,94.930667,7.47
US900123CW86,14.11.2024,1688,USD,91.624111,8.39,94.658222,7.55
US900123CW86,14.11.2024,1687,USD,90.885667,8.6,92.283889,8.23
US900123CW86,14.11.2024,1686,USD,89.410222,9.04,90.774444,8.67
US900123CW86,14.11.2024,1683,USD,87.269889,9.7,88.726,9.27
US900123CW86,14.11.2024,1682,USD,88.404444,9.36,90.180556,8.85
US900123CW86,14.11.2024,1681,USD,89.825,8.95,91.629111,8.44
US900123CW86,14.11.2024,1680,USD,91.306556,8.53,93.146778,8.03
US900123CW86,14.11.2024,1675,USD,93.952333,7.81,95.797444,7.31
US900123CW86,14.11.2024,1674,USD,93.842889,7.84,95.779,7.32
US900123CW86,14.11.2024,1673,USD,91.987444,8.37,94.526667,7.68
US900123CW86,14.11.2024,1672,USD,92.133,8.34,94.222222,7.77
US900123CW86,14.11.2024,1669,USD,93.409667,7.99,95.470778,7.43
US900123CW86,14.11.2024,1668,USD,93.772222,7.9,95.848889,7.34
US900123CW86,14.11.2024,1667,USD,93.697778,7.92,95.805556,7.37
US900123CW86,14.11.2024,1665,USD,94.274889,7.77,96.227111,7.26
US900123CW86,14.11.2024,1662,USD,96.414556,7.2,98.337667,6.69
US900123CW86,14.11.2024,1661,USD,96.718111,7.12,98.849222,6.56
US900123CW86,14.11.2024,1660,USD,96.691667,7.14,98.994444,6.54
US900123CW86,14.11.2024,1659,USD,97.095222,7.03,99.409,6.44
US900123CW86,14.11.2024,1655,USD,96.264444,7.28,98.730556,6.62
US900123CW86,14.11.2024,1654,USD,96.71,7.16,99.341111,6.47
US900123CW86,14.11.2024,1653,USD,97.025556,7.08,99.606667,6.4
US900123CW86,14.11.2024,1652,USD,95.348111,7.55,98.369333,6.74
US900123CW86,14.11.2024,1651,USD,94.706667,7.73,98.118889,6.82
US900123CW86,14.11.2024,1648,USD,95.294333,7.58,98.215444,6.79
US900123CW86,14.11.2024,1647,USD,96.391889,7.29,99.563,6.44
US900123CW86,14.11.2024,1646,USD,96.752444,7.19,96.957556,6.39
US900123CW86,14.11.2024,1645,USD,93.462,7.33,96.660222,6.49
US900123CW86,14.11.2024,1644,USD,93.187556,7.41,96.521333,6.53
US900123CW86,14.11.2024,1641,USD,93.727222,7.28,96.928889,6.43
US900123CW86,14.11.2024,1639,USD,95.314333,6.86,98.429444,6.04
