ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CX69,13.03.2025,1851,USD,97.589028,4.8,98.342639,4.64
US900123CX69,13.03.2025,1840,USD,93.927083,5.69,94.696111,5.53
US900123CX69,13.03.2025,1837,USD,94.424306,5.59,95.747917,5.28
US900123CX69,13.03.2025,1833,USD,95.841528,5.26,96.59875,5.1
US900123CX69,13.03.2025,1830,USD,93.831944,5.75,95.055556,5.47
US900123CX69,13.03.2025,1829,USD,96.07875,5.22,96.812361,5.06
US900123CX69,13.03.2025,1828,USD,94.980556,5.48,96.204167,5.2
US900123CX69,13.03.2025,1827,USD,91.242361,6.4,92.489583,6.11
US900123CX69,13.03.2025,1826,USD,91.504167,6.34,92.751389,6.05
US900123CX69,13.03.2025,1823,USD,89.164583,6.95,90.388194,6.64
US900123CX69,13.03.2025,1822,USD,86.701389,7.6,88.575,7.11
US900123CX69,13.03.2025,1821,USD,85.886194,7.82,87.527806,7.39
US900123CX69,13.03.2025,1820,USD,82.536,8.75,84.157222,8.32
US900123CX69,13.03.2025,1819,USD,83.930806,8.37,85.525028,7.95
US900123CX69,13.03.2025,1816,USD,83.212222,8.58,84.780833,8.16
US900123CX69,13.03.2025,1815,USD,83.522028,8.5,85.092639,8.08
US900123CX69,13.03.2025,1814,USD,86.895833,7.58,88.440444,7.18
US900123CX69,13.03.2025,1813,USD,87.750639,7.36,89.287861,6.98
US900123CX69,13.03.2025,1812,USD,88.158444,7.26,89.712861,6.87
US900123CX69,13.03.2025,1809,USD,86.124861,7.82,87.496667,7.45
US900123CX69,13.03.2025,1808,USD,85.605861,7.96,87.023472,7.58
US900123CX69,13.03.2025,1807,USD,83.744667,8.48,86.873278,7.63
US900123CX69,13.03.2025,1806,USD,82.711472,8.77,84.238694,8.37
US900123CX69,13.03.2025,1805,USD,81.456278,9.14,83.0155,8.72
US900123CX69,13.03.2025,1802,USD,79.556694,9.72,81.058306,9.29
US900123CX69,13.03.2025,1801,USD,81.1285,9.26,82.920111,8.75
US900123CX69,13.03.2025,1800,USD,82.030306,9.0,83.846917,8.5
US900123CX69,13.03.2025,1799,USD,83.876111,8.48,85.721333,7.99
US900123CX69,13.03.2025,1794,USD,86.338139,7.83,88.22675,7.33
US900123CX69,13.03.2025,1793,USD,86.492944,7.79,88.379556,7.29
US900123CX69,13.03.2025,1792,USD,84.90675,8.23,87.490972,7.54
US900123CX69,13.03.2025,1791,USD,84.628556,8.32,86.790778,7.74
US900123CX69,13.03.2025,1788,USD,85.969972,7.96,88.108583,7.39
