ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CY43,13.03.2030,3677,USD,97.302917,5.61,98.052083,5.52
US900123CY43,13.03.2030,3666,USD,91.41875,6.45,92.181667,6.35
US900123CY43,13.03.2030,3663,USD,92.357083,6.33,93.89625,6.11
US900123CY43,13.03.2030,3659,USD,94.705417,6.0,95.46375,5.91
US900123CY43,13.03.2030,3656,USD,91.654167,6.44,92.883333,6.27
US900123CY43,13.03.2030,3655,USD,95.32375,5.93,96.052917,5.83
US900123CY43,13.03.2030,3654,USD,94.308333,6.07,95.5375,5.9
US900123CY43,13.03.2030,3653,USD,88.072917,6.98,89.33125,6.8
US900123CY43,13.03.2030,3652,USD,87.8375,7.02,89.595833,6.77
US900123CY43,13.03.2030,3649,USD,85.13125,7.45,86.360417,7.26
US900123CY43,13.03.2030,3648,USD,81.995833,7.97,84.025,7.64
US900123CY43,13.03.2030,3647,USD,80.676417,8.19,82.589583,7.88
US900123CY43,13.03.2030,3646,USD,76.453,8.94,78.381333,8.61
US900123CY43,13.03.2030,3645,USD,78.105583,8.65,80.038917,8.32
US900123CY43,13.03.2030,3642,USD,77.461333,8.77,79.3625,8.44
US900123CY43,13.03.2030,3641,USD,77.907917,8.7,79.685083,8.39
US900123CY43,13.03.2030,3640,USD,83.6655,7.72,85.576667,7.41
US900123CY43,13.03.2030,3639,USD,83.600083,7.73,85.415417,7.45
US900123CY43,13.03.2030,3638,USD,84.249667,7.63,86.114417,7.34
US900123CY43,13.03.2030,3635,USD,81.304417,8.12,83.01,7.84
US900123CY43,13.03.2030,3634,USD,80.931417,8.19,82.649583,7.9
US900123CY43,13.03.2030,3633,USD,78.891,8.54,80.607167,8.25
US900123CY43,13.03.2030,3632,USD,78.253583,8.66,79.963917,8.37
US900123CY43,13.03.2030,3631,USD,76.909167,8.91,78.6175,8.61
US900123CY43,13.03.2030,3628,USD,75.492917,9.18,77.222083,8.87
US900123CY43,13.03.2030,3627,USD,77.0385,8.9,79.100667,8.53
US900123CY43,13.03.2030,3626,USD,77.992083,8.73,79.96025,8.39
US900123CY43,13.03.2030,3625,USD,80.150667,8.35,82.22,8.01
US900123CY43,13.03.2030,3620,USD,82.284583,8.0,84.29375,7.67
US900123CY43,13.03.2030,3619,USD,82.234167,8.01,84.243333,7.68
US900123CY43,13.03.2030,3618,USD,80.47975,8.31,83.302083,7.85
US900123CY43,13.03.2030,3617,USD,80.456333,8.32,82.651667,7.96
US900123CY43,13.03.2030,3614,USD,81.595083,8.14,83.76625,7.78
US900123CY43,13.03.2030,3613,USD,81.791667,8.11,83.978417,7.75
US900123CY43,13.03.2030,3612,USD,81.17925,8.21,83.394167,7.85
US900123CY43,13.03.2030,3610,USD,81.659417,8.14,83.73475,7.8
US900123CY43,13.03.2030,3607,USD,83.174167,7.89,85.194333,7.56
US900123CY43,13.03.2030,3606,USD,83.26075,7.88,85.489917,7.52
US900123CY43,13.03.2030,3605,USD,83.233333,7.89,85.78125,7.48
US900123CY43,13.03.2030,3604,USD,83.549917,7.84,85.982833,7.45
US900123CY43,13.03.2030,3600,USD,82.38625,8.04,85.005417,7.61
US900123CY43,13.03.2030,3599,USD,83.245833,7.9,85.975,7.46
US900123CY43,13.03.2030,3598,USD,83.310417,7.89,85.989583,7.46
