ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123CZ18,14.10.2025,1833,USD,98.867,6.65,100.622417,6.24
US900123CZ18,14.10.2025,1832,USD,98.188,6.81,99.943417,6.4
US900123CZ18,14.10.2025,1831,USD,98.871,6.64,100.676417,6.22
US900123CZ18,14.10.2025,1828,USD,99.231,6.56,101.001417,6.15
US900123CZ18,14.10.2025,1827,USD,99.494,6.5,101.224417,6.1
US900123CZ18,14.10.2025,1826,USD,98.861,6.65,100.746417,6.21
US900123CZ18,14.10.2025,1825,USD,98.525708,6.73,100.341542,6.31
US900123CZ18,14.10.2025,1824,USD,98.506417,6.74,100.36225,6.31
US900123CZ18,14.10.2025,1821,USD,99.193542,6.59,101.063958,6.15
US900123CZ18,14.10.2025,1820,USD,99.29725,6.57,100.987667,6.17
US900123CZ18,14.10.2025,1819,USD,99.694958,6.48,101.465375,6.07
US900123CZ18,14.10.2025,1818,USD,99.336667,6.57,101.1025,6.16
US900123CZ18,14.10.2025,1817,USD,99.087375,6.63,100.898208,6.22
US900123CZ18,14.10.2025,1814,USD,98.6615,6.75,100.386917,6.34
US900123CZ18,14.10.2025,1813,USD,98.594208,6.77,100.337333,6.36
US900123CZ18,14.10.2025,1812,USD,98.533917,6.79,100.54475,6.32
US900123CZ18,14.10.2025,1810,USD,97.444333,7.06,99.406458,6.6
US900123CZ18,14.10.2025,1807,USD,97.00175,7.18,99.452167,6.59
US900123CZ18,14.10.2025,1806,USD,96.797458,7.24,99.252875,6.64
US900123CZ18,14.10.2025,1805,USD,97.054167,7.18,99.579583,6.57
US900123CZ18,14.10.2025,1804,USD,97.811875,7.0,100.647708,6.32
US900123CZ18,14.10.2025,1803,USD,99.164583,6.67,101.625417,6.1
US900123CZ18,14.10.2025,1800,USD,100.692708,6.31,103.125833,5.75
US900123CZ18,14.10.2025,1799,USD,101.008417,6.24,103.441542,5.68
US900123CZ18,14.10.2025,1798,USD,103.915833,5.57,106.394375,5.02
US900123CZ18,14.10.2025,1797,USD,103.897833,5.57,106.458667,5.01
US900123CZ18,14.10.2025,1796,USD,103.956542,5.56,106.562375,4.99
US900123CZ18,14.10.2025,1793,USD,104.170667,5.53,106.746083,4.95
US900123CZ18,14.10.2025,1792,USD,103.459375,5.69,106.134792,5.09
US900123CZ18,14.10.2025,1791,USD,103.762083,5.63,106.5275,5.0
US900123CZ18,14.10.2025,1790,USD,105.197792,5.3,108.008625,4.68
US900123CZ18,14.10.2025,1789,USD,105.1545,5.31,107.965333,4.69
US900123CZ18,14.10.2025,1786,USD,104.541625,5.47,107.626042,4.77
