ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123DA57,15.01.2031,3703,USD,98.631,6.13,100.714056,5.86
US900123DA57,15.01.2031,3702,USD,98.51,6.15,100.63,5.86
US900123DA57,15.01.2031,3701,USD,99.35,6.04,101.483056,5.76
US900123DA57,15.01.2031,3698,USD,99.428,6.02,101.561056,5.75
US900123DA57,15.01.2031,3697,USD,99.14,6.06,101.208056,5.79
US900123DA57,15.01.2031,3696,USD,99.533,6.01,101.656056,5.73
US900123DA57,15.01.2031,3695,USD,99.631528,6.0,101.787639,5.72
US900123DA57,15.01.2031,3694,USD,100.267056,5.92,103.263167,5.54
US900123DA57,15.01.2031,3691,USD,100.242639,5.93,103.205694,5.54
US900123DA57,15.01.2031,3690,USD,99.653167,6.01,102.816222,5.6
US900123DA57,15.01.2031,3689,USD,99.362694,6.05,102.52575,5.64
US900123DA57,15.01.2031,3688,USD,98.975222,6.1,102.166333,5.69
US900123DA57,15.01.2031,3687,USD,98.50375,6.17,101.494861,5.78
US900123DA57,15.01.2031,3684,USD,98.921333,6.12,101.704389,5.75
US900123DA57,15.01.2031,3683,USD,99.737861,6.01,102.770917,5.62
US900123DA57,15.01.2031,3682,USD,100.173389,5.96,103.211444,5.56
US900123DA57,15.01.2031,3681,USD,101.553917,5.78,104.630028,5.39
US900123DA57,15.01.2031,3680,USD,102.282444,5.68,105.358556,5.3
US900123DA57,15.01.2031,3677,USD,102.195028,5.7,105.238083,5.31
US900123DA57,15.01.2031,3676,USD,101.954556,5.73,104.997611,5.35
US900123DA57,15.01.2031,3675,USD,102.125083,5.71,105.217722,5.33
US900123DA57,15.01.2031,3674,USD,102.592611,5.65,105.36825,5.31
US900123DA57,15.01.2031,3669,USD,102.93425,5.62,105.980778,5.23
US900123DA57,15.01.2031,3668,USD,103.762778,5.52,106.823889,5.14
US900123DA57,15.01.2031,3667,USD,103.888778,5.5,106.966417,5.12
US900123DA57,15.01.2031,3663,USD,104.048889,5.49,106.821944,5.14
US900123DA57,15.01.2031,3662,USD,103.223417,5.6,105.898472,5.26
US900123DA57,15.01.2031,3661,USD,102.564944,5.68,104.395,5.45
US900123DA57,15.01.2031,3660,USD,102.961472,5.63,105.517583,5.31
US900123DA57,15.01.2031,3659,USD,102.805,5.66,105.328111,5.34
US900123DA57,15.01.2031,3656,USD,102.373583,5.72,104.862639,5.4
US900123DA57,15.01.2031,3655,USD,101.497111,5.84,103.900167,5.53
US900123DA57,15.01.2031,3654,USD,101.213639,5.88,103.749694,5.55
US900123DA57,15.01.2031,3653,USD,101.938167,5.78,104.568806,5.45
US900123DA57,15.01.2031,3652,USD,101.453694,5.85,104.078333,5.52
US900123DA57,15.01.2031,3649,USD,100.981278,5.92,103.632333,5.57
US900123DA57,15.01.2031,3648,USD,101.313806,5.88,103.936861,5.54
US900123DA57,15.01.2031,3647,USD,100.765333,5.95,103.308389,5.62
US900123DA57,15.01.2031,3646,USD,101.241861,5.89,103.822972,5.56
US900123DA57,15.01.2031,3645,USD,101.218389,5.89,103.7995,5.56
US900123DA57,15.01.2031,3642,USD,101.346972,5.88,103.795028,5.57
US900123DA57,15.01.2031,3641,USD,101.5195,5.86,103.967556,5.55
US900123DA57,15.01.2031,3640,USD,101.873028,5.82,104.421083,5.49
US900123DA57,15.01.2031,3639,USD,101.630556,5.85,104.195139,5.52
US900123DA57,15.01.2031,3638,USD,102.381083,5.76,104.950667,5.43
US900123DA57,15.01.2031,3635,USD,103.094139,5.67,105.447194,5.37
US900123DA57,15.01.2031,3634,USD,103.104667,5.67,105.457722,5.37
US900123DA57,15.01.2031,3633,USD,103.449194,5.62,105.80225,5.32
US900123DA57,15.01.2031,3632,USD,103.268722,5.65,105.654833,5.35
US900123DA57,15.01.2031,3631,USD,104.11025,5.54,106.501361,5.24
