ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123DB31,26.01.2026,1816,USD,101.94575,4.34,103.428528,4.02
US900123DB31,26.01.2026,1813,USD,101.909333,4.35,103.290722,4.05
US900123DB31,26.01.2026,1812,USD,101.940528,4.35,103.321917,4.05
US900123DB31,26.01.2026,1811,USD,101.895722,4.36,103.277111,4.06
US900123DB31,26.01.2026,1810,USD,101.808917,4.38,103.229889,4.08
US900123DB31,26.01.2026,1809,USD,102.007111,4.34,103.473083,4.03
US900123DB31,26.01.2026,1806,USD,102.085694,4.33,103.512083,4.02
US900123DB31,26.01.2026,1805,USD,102.095889,4.33,103.572278,4.01
US900123DB31,26.01.2026,1804,USD,101.528083,4.46,102.999472,4.14
US900123DB31,26.01.2026,1803,USD,101.804278,4.4,103.307056,4.08
US900123DB31,26.01.2026,1802,USD,101.723472,4.43,103.22625,4.1
US900123DB31,26.01.2026,1799,USD,101.464056,4.49,102.960444,4.16
US900123DB31,26.01.2026,1798,USD,101.43625,4.5,102.942639,4.17
US900123DB31,26.01.2026,1797,USD,101.352444,4.52,102.748833,4.21
US900123DB31,26.01.2026,1796,USD,101.120639,4.58,102.769806,4.22
US900123DB31,26.01.2026,1795,USD,100.184833,4.8,101.829,4.44
US900123DB31,26.01.2026,1792,USD,100.671806,4.7,102.278194,4.34
US900123DB31,26.01.2026,1791,USD,100.975,4.63,102.581389,4.27
US900123DB31,26.01.2026,1790,USD,100.708194,4.7,102.314583,4.34
US900123DB31,26.01.2026,1789,USD,99.801389,4.91,101.424167,4.55
US900123DB31,26.01.2026,1788,USD,99.094583,5.08,100.717361,4.71
US900123DB31,26.01.2026,1785,USD,98.510167,5.23,100.421556,4.79
US900123DB31,26.01.2026,1784,USD,98.551361,5.22,100.15775,4.85
US900123DB31,26.01.2026,1783,USD,98.805556,5.17,100.411944,4.79
US900123DB31,26.01.2026,1782,USD,99.94175,4.9,101.579528,4.53
US900123DB31,26.01.2026,1781,USD,99.538944,5.0,101.176722,4.63
US900123DB31,26.01.2026,1778,USD,99.783528,4.95,101.394917,4.58
US900123DB31,26.01.2026,1777,USD,100.328722,4.83,101.940111,4.46
US900123DB31,26.01.2026,1776,USD,100.146917,4.87,101.763306,4.5
US900123DB31,26.01.2026,1775,USD,100.188111,4.87,101.830889,4.5
US900123DB31,26.01.2026,1774,USD,100.118306,4.88,101.761083,4.51
US900123DB31,26.01.2026,1771,USD,89.725889,7.5,97.359278,5.56
US900123DB31,26.01.2026,1770,USD,90.849083,7.21,95.405472,6.05
US900123DB31,26.01.2026,1769,USD,91.619278,7.01,95.180667,6.11
US900123DB31,26.01.2026,1768,USD,92.453472,6.8,96.54125,5.78
US900123DB31,26.01.2026,1767,USD,92.423667,6.81,96.511444,5.79
US900123DB31,26.01.2026,1764,USD,92.30225,6.85,96.350444,5.83
US900123DB31,26.01.2026,1763,USD,91.858444,6.97,95.401639,6.07
US900123DB31,26.01.2026,1762,USD,92.194444,6.89,95.250833,6.11
US900123DB31,26.01.2026,1761,USD,93.448639,6.57,96.461417,5.82
US900123DB31,26.01.2026,1760,USD,93.200833,6.63,96.708611,5.76
US900123DB31,26.01.2026,1757,USD,93.240417,6.64,96.721806,5.77
US900123DB31,26.01.2026,1756,USD,94.622611,6.29,97.609,5.55
US900123DB31,26.01.2026,1755,USD,94.840806,6.24,97.827194,5.5
US900123DB31,26.01.2026,1754,USD,94.669,6.28,97.681778,5.55
US900123DB31,26.01.2026,1753,USD,94.702194,6.28,97.714972,5.54
US900123DB31,26.01.2026,1750,USD,94.812778,6.26,97.654167,5.56
US900123DB31,26.01.2026,1749,USD,94.681972,6.3,97.518361,5.6
US900123DB31,26.01.2026,1748,USD,95.347167,6.14,98.188556,5.44
US900123DB31,26.01.2026,1747,USD,95.711361,6.05,98.584139,5.35
US900123DB31,26.01.2026,1746,USD,96.477556,5.86,99.350333,5.17
US900123DB31,26.01.2026,1743,USD,96.964139,5.75,99.810528,5.06
US900123DB31,26.01.2026,1742,USD,96.933333,5.76,99.779722,5.07
US900123DB31,26.01.2026,1741,USD,96.777528,5.8,99.6635,5.11
US900123DB31,26.01.2026,1740,USD,96.667722,5.84,99.053694,5.27
US900123DB31,26.01.2026,1736,USD,96.0575,6.01,98.398889,5.43
US900123DB31,26.01.2026,1735,USD,96.246694,5.96,98.588083,5.39
US900123DB31,26.01.2026,1734,USD,96.193889,5.98,98.535278,5.4
US900123DB31,26.01.2026,1733,USD,96.478083,5.91,98.845861,5.34
US900123DB31,26.01.2026,1732,USD,96.467278,5.92,98.840056,5.34
US900123DB31,26.01.2026,1729,USD,96.279861,5.98,98.90625,5.33
US900123DB31,26.01.2026,1728,USD,96.968056,5.81,99.309444,5.23
US900123DB31,26.01.2026,1727,USD,97.14125,5.77,99.482639,5.2
US900123DB31,26.01.2026,1726,USD,97.739444,5.62,100.112222,5.05
US900123DB31,26.01.2026,1725,USD,98.334639,5.48,100.707417,4.91
US900123DB31,26.01.2026,1722,USD,98.584222,5.43,100.930611,4.86
US900123DB31,26.01.2026,1721,USD,98.554417,5.44,100.953583,4.87
US900123DB31,26.01.2026,1720,USD,98.473611,5.46,100.872778,4.89
US900123DB31,26.01.2026,1715,USD,98.261583,5.53,100.621167,4.96
US900123DB31,26.01.2026,1714,USD,98.453778,5.49,100.813361,4.92
US900123DB31,26.01.2026,1712,USD,98.345167,5.52,100.717944,4.95
US900123DB31,26.01.2026,1711,USD,98.461361,5.5,100.829139,4.93
US900123DB31,26.01.2026,1708,USD,98.500944,5.5,100.847333,4.93
US900123DB31,26.01.2026,1707,USD,98.602139,5.48,100.943528,4.91
US900123DB31,26.01.2026,1706,USD,98.605333,5.48,100.951722,4.91
US900123DB31,26.01.2026,1705,USD,98.635528,5.48,101.008306,4.9
US900123DB31,26.01.2026,1704,USD,98.504722,5.51,100.8725,4.94
US900123DB31,26.01.2026,1701,USD,98.359111,5.56,100.5055,5.03
US900123DB31,26.01.2026,1700,USD,98.438306,5.54,100.584694,5.01
US900123DB31,26.01.2026,1699,USD,98.3825,5.56,100.553889,5.03
US900123DB31,26.01.2026,1698,USD,98.381694,5.56,100.579472,5.03
US900123DB31,26.01.2026,1697,USD,98.265889,5.6,100.463667,5.06
US900123DB31,26.01.2026,1694,USD,98.643472,5.51,100.819861,4.98
US900123DB31,26.01.2026,1693,USD,98.819667,5.47,100.996056,4.94
US900123DB31,26.01.2026,1692,USD,99.371861,5.34,101.54825,4.81
US900123DB31,26.01.2026,1691,USD,99.702056,5.26,101.904833,4.73
US900123DB31,26.01.2026,1690,USD,100.20625,5.14,102.559028,4.57
US900123DB31,26.01.2026,1687,USD,100.462833,5.08,102.789222,4.52
US900123DB31,26.01.2026,1686,USD,99.767028,5.26,101.968417,4.72
US900123DB31,26.01.2026,1685,USD,99.772222,5.26,101.968611,4.73
US900123DB31,26.01.2026,1684,USD,99.373417,5.36,101.601194,4.83
US900123DB31,26.01.2026,1683,USD,99.373611,5.37,101.596389,4.83
US900123DB31,26.01.2026,1680,USD,99.466194,5.36,101.764583,4.79
US900123DB31,26.01.2026,1679,USD,99.517389,5.35,101.713778,4.81
US900123DB31,26.01.2026,1678,USD,99.619583,5.33,101.820972,4.78
US900123DB31,26.01.2026,1677,USD,99.623778,5.33,101.846556,4.79
US900123DB31,26.01.2026,1676,USD,99.650972,5.32,101.87875,4.78
US900123DB31,26.01.2026,1673,USD,99.656556,5.33,101.852944,4.79
