ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123DC14,26.06.2031,3026,USD,82.640917,9.13,84.672556,8.74
US900123DC14,26.06.2031,3025,USD,82.377236,9.18,84.492875,8.78
US900123DC14,26.06.2031,3024,USD,83.169556,9.03,85.318833,8.63
US900123DC14,26.06.2031,3023,USD,84.071875,8.86,86.242153,8.46
US900123DC14,26.06.2031,3020,USD,83.644833,8.95,85.691472,8.56
US900123DC14,26.06.2031,3019,USD,84.292153,8.83,86.397792,8.43
US900123DC14,26.06.2031,3018,USD,84.147472,8.86,86.159111,8.48
US900123DC14,26.06.2031,3017,USD,84.445792,8.81,86.526069,8.43
US900123DC14,26.06.2031,3016,USD,84.872111,8.73,87.023389,8.34
US900123DC14,26.06.2031,3013,USD,85.134069,8.69,87.264708,8.29
US900123DC14,26.06.2031,3012,USD,84.505389,8.82,86.582028,8.43
US900123DC14,26.06.2031,3011,USD,84.540708,8.81,86.638028,8.42
US900123DC14,26.06.2031,3010,USD,84.259028,8.87,86.351986,8.48
US900123DC14,26.06.2031,3009,USD,84.010028,8.92,86.119306,8.53
US900123DC14,26.06.2031,3006,USD,84.186986,8.9,86.287625,8.5
US900123DC14,26.06.2031,3005,USD,84.227306,8.89,86.360944,8.49
US900123DC14,26.06.2031,3004,USD,84.107625,8.92,86.184264,8.53
US900123DC14,26.06.2031,3003,USD,83.631944,9.02,85.722222,8.63
US900123DC14,26.06.2031,2998,USD,83.715542,9.02,85.809181,8.62
US900123DC14,26.06.2031,2997,USD,83.680861,9.03,85.7335,8.64
US900123DC14,26.06.2031,2996,USD,83.792181,9.02,85.971458,8.61
US900123DC14,26.06.2031,2995,USD,84.9225,8.8,87.050778,8.4
US900123DC14,26.06.2031,2992,USD,84.636458,8.87,86.708097,8.47
US900123DC14,26.06.2031,2991,USD,83.967778,9.0,86.037417,8.61
US900123DC14,26.06.2031,2990,USD,83.598097,9.08,85.636694,8.7
US900123DC14,26.06.2031,2989,USD,83.380417,9.13,85.474014,8.73
US900123DC14,26.06.2031,2985,USD,82.213694,9.38,84.330333,8.96
US900123DC14,26.06.2031,2984,USD,82.813014,9.26,84.855653,8.86
US900123DC14,26.06.2031,2983,USD,83.603333,9.11,85.648972,8.71
US900123DC14,26.06.2031,2982,USD,84.510653,8.93,86.60525,8.54
US900123DC14,26.06.2031,2981,USD,84.435972,8.95,86.530569,8.56
US900123DC14,26.06.2031,2977,USD,84.17225,9.02,86.307889,8.61
US900123DC14,26.06.2031,2976,USD,84.129569,9.03,86.296208,8.61
US900123DC14,26.06.2031,2975,USD,84.711889,8.92,86.874167,8.51
US900123DC14,26.06.2031,2974,USD,84.602208,8.95,86.770486,8.54
US900123DC14,26.06.2031,2971,USD,84.254167,9.03,86.660806,8.56
US900123DC14,26.06.2031,2970,USD,84.012486,9.08,86.160125,8.66
US900123DC14,26.06.2031,2969,USD,85.203806,8.85,87.322444,8.44
US900123DC14,26.06.2031,2968,USD,87.806125,8.35,90.043403,7.95
US900123DC14,26.06.2031,2967,USD,88.442444,8.23,90.553722,7.86
US900123DC14,26.06.2031,2964,USD,82.444403,9.42,85.050042,8.91
US900123DC14,26.06.2031,2963,USD,80.589722,9.81,83.025361,9.32
US900123DC14,26.06.2031,2962,USD,78.328042,10.31,80.708639,9.82
US900123DC14,26.06.2031,2961,USD,77.230361,10.55,79.646958,10.05
US900123DC14,26.06.2031,2957,USD,76.880639,10.65,79.244278,10.14
US900123DC14,26.06.2031,2956,USD,76.997958,10.63,79.399597,10.11
US900123DC14,26.06.2031,2955,USD,78.409278,10.32,80.749917,9.83
US900123DC14,26.06.2031,2954,USD,78.194597,10.37,80.682194,9.86
US900123DC14,26.06.2031,2953,USD,77.907917,10.44,80.370194,9.92
US900123DC14,26.06.2031,2950,USD,78.554875,10.31,80.908194,9.81
US900123DC14,26.06.2031,2949,USD,80.455194,9.91,82.791514,9.42
US900123DC14,26.06.2031,2948,USD,81.342194,9.72,83.675833,9.24
US900123DC14,26.06.2031,2947,USD,82.467514,9.49,84.814792,9.03
US900123DC14,26.06.2031,2946,USD,82.992833,9.38,85.277111,8.94
US900123DC14,26.06.2031,2943,USD,85.302792,8.93,87.560431,8.5
US900123DC14,26.06.2031,2942,USD,85.891111,8.82,88.14775,8.39
US900123DC14,26.06.2031,2941,USD,85.891431,8.82,88.150069,8.39
US900123DC14,26.06.2031,2940,USD,84.93275,9.02,87.210028,8.58
US900123DC14,26.06.2031,2939,USD,84.878069,9.03,87.155347,8.6
US900123DC14,26.06.2031,2936,USD,85.556028,8.91,87.825667,8.47
US900123DC14,26.06.2031,2935,USD,85.646347,8.89,87.942986,8.45
US900123DC14,26.06.2031,2934,USD,86.349667,8.76,88.567306,8.34
US900123DC14,26.06.2031,2933,USD,86.172986,8.8,88.421264,8.38
US900123DC14,26.06.2031,2932,USD,86.467306,8.74,88.728583,8.32
US900123DC14,26.06.2031,2929,USD,85.690264,8.91,87.916903,8.48
US900123DC14,26.06.2031,2928,USD,85.046583,9.04,87.254222,8.61
US900123DC14,26.06.2031,2927,USD,85.176903,9.02,87.385542,8.59
US900123DC14,26.06.2031,2926,USD,84.553222,9.15,86.7565,8.73
US900123DC14,26.06.2031,2925,USD,85.034542,9.06,84.337319,8.63
US900123DC14,26.06.2031,2922,USD,82.165,9.06,84.455236,8.63
US900123DC14,26.06.2031,2921,USD,82.319319,9.03,84.536875,8.62
US900123DC14,26.06.2031,2915,USD,82.608236,9.0,84.850194,8.56
US900123DC14,26.06.2031,2914,USD,82.465556,9.03,84.689194,8.6
US900123DC14,26.06.2031,2913,USD,82.267875,9.07,84.493514,8.64
US900123DC14,26.06.2031,2912,USD,81.530194,9.23,83.805472,8.79
US900123DC14,26.06.2031,2911,USD,81.318514,9.27,83.589792,8.83
US900123DC14,26.06.2031,2908,USD,81.477472,9.25,83.677111,8.82
US900123DC14,26.06.2031,2907,USD,83.263792,8.9,85.493431,8.47
US900123DC14,26.06.2031,2906,USD,83.604111,8.83,85.80875,8.41
US900123DC14,26.06.2031,2905,USD,84.750431,8.61,87.012708,8.19
US900123DC14,26.06.2031,2904,USD,84.80775,8.6,87.064028,8.18
US900123DC14,26.06.2031,2901,USD,84.860708,8.6,87.077347,8.19
US900123DC14,26.06.2031,2900,USD,85.567028,8.47,87.742667,8.06
US900123DC14,26.06.2031,2899,USD,85.492347,8.49,87.649986,8.08
US900123DC14,26.06.2031,2898,USD,85.776667,8.44,88.104944,8.01
US900123DC14,26.06.2031,2897,USD,85.571986,8.48,87.834264,8.06
US900123DC14,26.06.2031,2894,USD,85.567944,8.49,87.752583,8.08
US900123DC14,26.06.2031,2893,USD,85.442264,8.52,87.646903,8.11
US900123DC14,26.06.2031,2892,USD,85.268583,8.56,87.479222,8.14
US900123DC14,26.06.2031,2891,USD,85.904903,8.44,88.074861,8.04
US900123DC14,26.06.2031,2890,USD,86.207222,8.39,88.529181,7.96
US900123DC14,26.06.2031,2887,USD,87.072861,8.23,89.2355,7.83
US900123DC14,26.06.2031,2886,USD,86.649181,8.31,88.809819,7.91
US900123DC14,26.06.2031,2885,USD,85.7505,8.49,87.868139,8.09
US900123DC14,26.06.2031,2884,USD,85.446819,8.55,87.588097,8.15
US900123DC14,26.06.2031,2883,USD,85.693139,8.51,87.833417,8.11
US900123DC14,26.06.2031,2880,USD,86.057097,8.45,88.164736,8.05
US900123DC14,26.06.2031,2879,USD,86.348417,8.4,88.458056,8.0
US900123DC14,26.06.2031,2878,USD,86.324736,8.4,88.432375,8.01
US900123DC14,26.06.2031,2877,USD,86.392056,8.4,88.526333,8.0
US900123DC14,26.06.2031,2876,USD,86.312375,8.41,88.487653,8.01
US900123DC14,26.06.2031,2873,USD,85.788333,8.53,87.869972,8.13
