ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123DD96,20.09.2033,4387,USD,99.706,6.54,100.312111,6.47
US900123DD96,20.09.2033,4386,USD,98.964,6.63,99.624111,6.55
US900123DD96,20.09.2033,4383,USD,97.462,6.81,99.320111,6.59
US900123DD96,20.09.2033,4382,USD,98.371056,6.7,100.231167,6.48
US900123DD96,20.09.2033,4381,USD,98.179111,6.73,99.837222,6.53
US900123DD96,20.09.2033,4380,USD,96.715167,6.91,98.407389,6.71
US900123DD96,20.09.2033,4379,USD,95.732222,7.04,97.973444,6.77
US900123DD96,20.09.2033,4376,USD,94.956389,7.15,96.9625,6.9
US900123DD96,20.09.2033,4375,USD,94.434444,7.22,96.440556,6.97
US900123DD96,20.09.2033,4374,USD,95.7025,7.06,97.718611,6.81
US900123DD96,20.09.2033,4373,USD,96.110556,7.01,98.162778,6.76
US900123DD96,20.09.2033,4372,USD,95.178611,7.13,97.220833,6.88
US900123DD96,20.09.2033,4369,USD,95.374778,7.11,97.090889,6.9
US900123DD96,20.09.2033,4368,USD,95.412833,7.11,97.128944,6.89
US900123DD96,20.09.2033,4367,USD,94.766889,7.2,96.457,6.98
US900123DD96,20.09.2033,4366,USD,95.930944,7.05,97.777222,6.82
US900123DD96,20.09.2033,4365,USD,94.956,7.18,96.700278,6.96
US900123DD96,20.09.2033,4362,USD,95.026167,7.17,96.716278,6.96
US900123DD96,20.09.2033,4361,USD,94.768222,7.21,96.458333,7.0
US900123DD96,20.09.2033,4360,USD,95.096278,7.17,96.786389,6.96
US900123DD96,20.09.2033,4359,USD,94.376333,7.27,96.100556,7.05
US900123DD96,20.09.2033,4358,USD,94.361389,7.27,96.331611,7.02
US900123DD96,20.09.2033,4355,USD,93.776556,7.36,95.480667,7.14
US900123DD96,20.09.2033,4354,USD,93.899611,7.34,95.604722,7.12
US900123DD96,20.09.2033,4353,USD,94.050667,7.32,95.757778,7.11
US900123DD96,20.09.2033,4352,USD,93.566722,7.39,95.307944,7.17
US900123DD96,20.09.2033,4351,USD,93.147778,7.45,94.889,7.23
US900123DD96,20.09.2033,4348,USD,93.056944,7.47,94.760056,7.25
US900123DD96,20.09.2033,4347,USD,95.256,7.18,96.997111,6.96
US900123DD96,20.09.2033,4346,USD,95.338056,7.17,97.115278,6.95
US900123DD96,20.09.2033,4345,USD,95.574111,7.14,97.354333,6.92
US900123DD96,20.09.2033,4341,USD,95.530278,7.16,97.536389,6.9
US900123DD96,20.09.2033,4340,USD,96.179333,7.07,97.923444,6.86
US900123DD96,20.09.2033,4339,USD,96.770389,7.0,98.5165,6.78
US900123DD96,20.09.2033,4338,USD,97.449444,6.92,99.231667,6.7
US900123DD96,20.09.2033,4337,USD,98.2795,6.81,100.064722,6.6
US900123DD96,20.09.2033,4334,USD,99.407667,6.68,101.158778,6.47
