ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123DF45,15.01.2028,1887,USD,101.76,9.42,104.115861,8.87
US900123DF45,15.01.2028,1886,USD,102.070431,9.36,104.462292,8.79
US900123DF45,15.01.2028,1885,USD,101.383861,9.53,103.782583,8.97
US900123DF45,15.01.2028,1884,USD,100.469292,9.76,102.920014,9.19
US900123DF45,15.01.2028,1881,USD,100.275583,9.83,102.672444,9.25
US900123DF45,15.01.2028,1880,USD,101.349014,9.57,103.858306,8.98
US900123DF45,15.01.2028,1879,USD,102.562444,9.28,105.129597,8.69
US900123DF45,15.01.2028,1878,USD,103.653875,9.02,106.238597,8.43
US900123DF45,15.01.2028,1877,USD,103.795306,8.99,106.392028,8.4
US900123DF45,15.01.2028,1874,USD,103.786597,9.01,106.314458,8.42
US900123DF45,15.01.2028,1873,USD,103.825028,9.01,106.393889,8.41
US900123DF45,15.01.2028,1872,USD,103.716458,9.04,106.284319,8.44
US900123DF45,15.01.2028,1871,USD,104.869889,8.77,107.497611,8.17
US900123DF45,15.01.2028,1870,USD,104.633319,8.83,107.040042,8.28
US900123DF45,15.01.2028,1867,USD,104.364611,8.92,106.727472,8.36
US900123DF45,15.01.2028,1866,USD,103.742042,9.07,106.150903,8.51
US900123DF45,15.01.2028,1865,USD,103.377472,9.17,105.806333,8.59
US900123DF45,15.01.2028,1864,USD,103.530903,9.14,105.944625,8.58
US900123DF45,15.01.2028,1863,USD,104.215333,8.98,106.627056,8.42
US900123DF45,15.01.2028,1860,USD,104.370625,8.96,106.683486,8.41
US900123DF45,15.01.2028,1859,USD,104.478056,8.94,106.872917,8.38
US900123DF45,15.01.2028,1858,USD,105.428486,8.71,107.776347,8.17
US900123DF45,15.01.2028,1857,USD,104.389917,8.97,106.808639,8.41
US900123DF45,15.01.2028,1856,USD,103.845347,9.11,106.337069,8.53
US900123DF45,15.01.2028,1853,USD,103.909639,9.11,106.3845,8.53
US900123DF45,15.01.2028,1852,USD,103.540069,9.21,106.113931,8.6
US900123DF45,15.01.2028,1851,USD,103.6775,9.18,106.191361,8.58
US900123DF45,15.01.2028,1850,USD,104.355931,9.02,106.952083,8.43
US900123DF45,15.01.2028,1849,USD,104.166361,9.08,106.717514,8.49
US900123DF45,15.01.2028,1846,USD,104.587653,8.99,106.967514,8.43
US900123DF45,15.01.2028,1845,USD,104.427083,9.04,106.931944,8.44
US900123DF45,15.01.2028,1844,USD,104.174514,9.1,106.558375,8.54
US900123DF45,15.01.2028,1843,USD,104.021944,9.15,106.585667,8.55
US900123DF45,15.01.2028,1842,USD,104.005375,9.16,106.628097,8.54
US900123DF45,15.01.2028,1839,USD,103.995236,9.17,106.625097,8.55
US900123DF45,15.01.2028,1838,USD,104.594667,9.03,107.079528,8.44
US900123DF45,15.01.2028,1837,USD,104.691097,9.02,107.052958,8.45
US900123DF45,15.01.2028,1836,USD,104.179528,9.15,106.61825,8.58
US900123DF45,15.01.2028,1835,USD,103.131958,9.42,105.041681,8.97
US900123DF45,15.01.2028,1832,USD,104.23525,9.16,106.070111,8.72
US900123DF45,15.01.2028,1831,USD,103.556681,9.34,105.457542,8.88
US900123DF45,15.01.2028,1830,USD,103.099111,9.46,105.333972,8.91
US900123DF45,15.01.2028,1829,USD,103.113542,9.46,105.325694,8.94
US900123DF45,15.01.2028,1828,USD,103.564972,9.35,105.777125,8.84
US900123DF45,15.01.2028,1825,USD,103.126264,9.48,105.455125,8.92
US900123DF45,15.01.2028,1824,USD,102.792694,9.58,105.121556,9.0
US900123DF45,15.01.2028,1823,USD,103.871125,9.31,106.200986,8.75
US900123DF45,15.01.2028,1822,USD,103.615556,9.38,105.627278,8.9
US900123DF45,15.01.2028,1821,USD,103.679986,9.37,105.671708,8.9
US900123DF45,15.01.2028,1818,USD,103.859278,9.35,105.889139,8.85
US900123DF45,15.01.2028,1817,USD,104.094708,9.29,106.004569,8.83
US900123DF45,15.01.2028,1816,USD,104.101139,9.3,105.989,8.84
US900123DF45,15.01.2028,1815,USD,104.079569,9.31,106.049292,8.84
US900123DF45,15.01.2028,1814,USD,103.979,9.34,105.944292,8.87
US900123DF45,15.01.2028,1811,USD,103.747292,9.42,105.624722,8.96
US900123DF45,15.01.2028,1810,USD,103.630292,9.45,105.539153,8.98
US900123DF45,15.01.2028,1809,USD,104.636722,9.2,106.541583,8.74
US900123DF45,15.01.2028,1808,USD,105.638153,8.96,107.640875,8.49
US900123DF45,15.01.2028,1807,USD,105.702583,8.95,107.685306,8.49
US900123DF45,15.01.2028,1804,USD,103.675875,9.48,105.549736,9.02
US900123DF45,15.01.2028,1803,USD,103.913306,9.43,105.863167,8.95
US900123DF45,15.01.2028,1802,USD,103.947736,9.42,105.897597,8.95
US900123DF45,15.01.2028,1801,USD,103.743167,9.48,105.746889,9.0
US900123DF45,15.01.2028,1800,USD,103.640597,9.52,105.644319,9.04
US900123DF45,15.01.2028,1797,USD,102.761889,9.76,104.55675,9.32
US900123DF45,15.01.2028,1796,USD,102.586319,9.82,104.376181,9.37
US900123DF45,15.01.2028,1795,USD,102.43675,9.86,104.197611,9.42
US900123DF45,15.01.2028,1794,USD,102.612181,9.82,104.456333,9.38
US900123DF45,15.01.2028,1793,USD,101.936611,10.01,103.776764,9.56
US900123DF45,15.01.2028,1790,USD,101.971903,10.02,103.865764,9.54
US900123DF45,15.01.2028,1789,USD,101.406333,10.18,103.312194,9.69
US900123DF45,15.01.2028,1788,USD,101.265764,10.22,103.144625,9.74
US900123DF45,15.01.2028,1787,USD,102.378194,9.94,104.275917,9.47
US900123DF45,15.01.2028,1786,USD,103.207625,9.73,105.186347,9.24
US900123DF45,15.01.2028,1783,USD,102.974917,9.81,104.943639,9.33
US900123DF45,15.01.2028,1782,USD,103.511347,9.67,105.486069,9.19
US900123DF45,15.01.2028,1781,USD,102.807639,9.88,103.907639,9.59
US900123DF45,15.01.2028,1780,USD,103.709069,9.65,104.935069,9.33
US900123DF45,15.01.2028,1779,USD,104.2285,9.52,106.236222,9.04
US900123DF45,15.01.2028,1776,USD,105.217792,9.29,107.130653,8.82
US900123DF45,15.01.2028,1775,USD,105.621222,9.19,107.511083,8.73
US900123DF45,15.01.2028,1774,USD,105.227653,9.3,107.150514,8.83
US900123DF45,15.01.2028,1773,USD,104.555083,9.48,106.521806,9.0
US900123DF45,15.01.2028,1772,USD,104.913514,9.4,106.902236,8.91
US900123DF45,15.01.2028,1769,USD,105.443806,9.28,107.372667,8.8
US900123DF45,15.01.2028,1768,USD,105.899236,9.17,107.831097,8.69
US900123DF45,15.01.2028,1767,USD,105.650667,9.24,107.603528,8.76
US900123DF45,15.01.2028,1766,USD,106.347097,9.07,108.356819,8.59
US900123DF45,15.01.2028,1765,USD,106.995528,8.91,109.00725,8.43
US900123DF45,15.01.2028,1762,USD,106.656819,9.02,108.531681,8.56
US900123DF45,15.01.2028,1761,USD,107.17025,8.89,109.050111,8.43
US900123DF45,15.01.2028,1760,USD,107.188681,8.89,109.080542,8.43
US900123DF45,15.01.2028,1759,USD,107.443111,8.84,109.411833,8.37
US900123DF45,15.01.2028,1758,USD,107.850542,8.74,109.862264,8.26
US900123DF45,15.01.2028,1755,USD,108.150833,8.68,110.091694,8.21
US900123DF45,15.01.2028,1754,USD,107.658264,8.81,109.583125,8.34
US900123DF45,15.01.2028,1753,USD,107.763694,8.79,109.678125,8.32
US900123DF45,15.01.2028,1752,USD,107.588125,8.85,109.538417,8.37
US900123DF45,15.01.2028,1751,USD,107.158125,8.95,109.170847,8.47
US900123DF45,15.01.2028,1748,USD,107.220417,8.96,109.196278,8.47
US900123DF45,15.01.2028,1747,USD,107.317847,8.94,109.288708,8.46
US900123DF45,15.01.2028,1746,USD,107.146278,8.99,109.051139,8.52
US900123DF45,15.01.2028,1745,USD,106.813708,9.08,108.808431,8.6
US900123DF45,15.01.2028,1740,USD,106.826861,9.11,108.737722,8.64
US900123DF45,15.01.2028,1739,USD,106.873292,9.11,108.826153,8.62
US900123DF45,15.01.2028,1738,USD,107.135722,9.05,109.163444,8.56
US900123DF45,15.01.2028,1737,USD,107.762153,8.89,109.732875,8.42
US900123DF45,15.01.2028,1734,USD,107.617444,8.95,109.520306,8.48
US900123DF45,15.01.2028,1733,USD,107.027875,9.11,108.955736,8.63
US900123DF45,15.01.2028,1732,USD,106.715306,9.2,108.693458,8.72
US900123DF45,15.01.2028,1731,USD,106.393736,9.29,108.401889,8.8
US900123DF45,15.01.2028,1727,USD,105.428458,9.57,107.489319,9.05
US900123DF45,15.01.2028,1726,USD,105.436889,9.58,107.44175,9.06
US900123DF45,15.01.2028,1725,USD,106.205319,9.38,108.212181,8.87
US900123DF45,15.01.2028,1724,USD,106.96775,9.19,109.056903,8.68
US900123DF45,15.01.2028,1723,USD,106.930181,9.2,109.019333,8.7
US900123DF45,15.01.2028,1719,USD,106.811903,9.26,108.844764,8.75
US900123DF45,15.01.2028,1718,USD,106.857333,9.26,108.928194,8.73
US900123DF45,15.01.2028,1717,USD,107.152764,9.19,109.238486,8.67
US900123DF45,15.01.2028,1716,USD,106.914194,9.26,109.004917,8.74
US900123DF45,15.01.2028,1713,USD,106.450486,9.4,108.636347,8.84
US900123DF45,15.01.2028,1712,USD,106.304917,9.45,108.353778,8.92
US900123DF45,15.01.2028,1711,USD,106.891347,9.3,108.930208,8.78
US900123DF45,15.01.2028,1710,USD,109.057778,8.74,111.3105,8.19
US900123DF45,15.01.2028,1709,USD,109.716208,8.58,111.867931,8.06
US900123DF45,15.01.2028,1706,USD,104.6295,9.94,106.974361,9.33
US900123DF45,15.01.2028,1705,USD,102.682931,10.49,104.963792,9.88
US900123DF45,15.01.2028,1704,USD,101.194361,10.92,103.452514,10.32
US900123DF45,15.01.2028,1703,USD,100.353792,11.17,102.627944,10.56
US900123DF45,15.01.2028,1699,USD,99.890514,11.34,102.096375,10.72
US900123DF45,15.01.2028,1698,USD,99.953944,11.33,102.128806,10.72
US900123DF45,15.01.2028,1697,USD,101.245375,10.97,103.402236,10.37
US900123DF45,15.01.2028,1696,USD,101.059806,11.03,103.379958,10.41
US900123DF45,15.01.2028,1695,USD,100.851236,11.1,103.164958,10.47
US900123DF45,15.01.2028,1692,USD,101.535528,10.93,103.812958,10.29
US900123DF45,15.01.2028,1691,USD,103.515958,10.37,105.696389,9.78
US900123DF45,15.01.2028,1690,USD,104.199958,10.18,106.367819,9.6
US900123DF45,15.01.2028,1688,USD,105.650819,9.8,107.869542,9.23
US900123DF45,15.01.2028,1685,USD,107.554111,9.3,109.720972,8.74
US900123DF45,15.01.2028,1684,USD,107.711542,9.27,109.879403,8.71
US900123DF45,15.01.2028,1683,USD,107.736972,9.27,109.898833,8.71
US900123DF45,15.01.2028,1682,USD,106.917403,9.5,109.122125,8.94
US900123DF45,15.01.2028,1681,USD,106.772833,9.54,108.921556,9.0
US900123DF45,15.01.2028,1678,USD,107.104125,9.48,109.236986,8.92
US900123DF45,15.01.2028,1677,USD,107.233556,9.45,109.390417,8.89
US900123DF45,15.01.2028,1676,USD,107.908986,9.27,110.038847,8.72
US900123DF45,15.01.2028,1675,USD,107.851417,9.3,110.029139,8.75
US900123DF45,15.01.2028,1674,USD,108.103847,9.24,110.313569,8.68
US900123DF45,15.01.2028,1671,USD,107.336139,9.47,109.492,8.9
US900123DF45,15.01.2028,1670,USD,106.664569,9.66,108.798431,9.09
US900123DF45,15.01.2028,1669,USD,106.838,9.62,108.973861,9.05
US900123DF45,15.01.2028,1668,USD,106.306431,9.77,108.484153,9.21
US900123DF45,15.01.2028,1667,USD,106.642861,9.69,108.832583,9.12
US900123DF45,15.01.2028,1664,USD,106.714153,9.69,108.985167,9.12
US900123DF45,15.01.2028,1663,USD,107.129583,9.58,109.357028,9.04
