ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123DG28,19.01.2033,3653,USD,96.895,9.87,98.687167,9.6
US900123DG28,19.01.2033,3652,USD,96.944042,9.87,98.748208,9.59
US900123DG28,19.01.2033,3649,USD,97.211167,9.84,98.98625,9.56
US900123DG28,19.01.2033,3648,USD,97.312208,9.82,99.061292,9.55
US900123DG28,19.01.2033,3647,USD,97.40725,9.81,99.181333,9.54
US900123DG28,19.01.2033,3646,USD,97.464292,9.81,99.292458,9.53
US900123DG28,19.01.2033,3645,USD,97.466333,9.81,99.251458,9.54
US900123DG28,19.01.2033,3642,USD,97.177458,9.87,98.9625,9.59
US900123DG28,19.01.2033,3641,USD,97.166458,9.87,98.915542,9.6
US900123DG28,19.01.2033,3640,USD,98.2755,9.7,100.023583,9.43
US900123DG28,19.01.2033,3639,USD,99.558542,9.5,101.409708,9.22
US900123DG28,19.01.2033,3638,USD,99.331583,9.54,101.23775,9.25
US900123DG28,19.01.2033,3635,USD,97.154708,9.9,99.005792,9.61
US900123DG28,19.01.2033,3634,USD,97.44775,9.86,99.277833,9.57
US900123DG28,19.01.2033,3633,USD,97.459792,9.86,99.249875,9.58
US900123DG28,19.01.2033,3632,USD,97.238833,9.9,99.104,9.61
US900123DG28,19.01.2033,3631,USD,96.998875,9.94,98.826042,9.66
US900123DG28,19.01.2033,3628,USD,96.183,10.09,97.938083,9.81
US900123DG28,19.01.2033,3627,USD,95.884042,10.15,97.668125,9.86
US900123DG28,19.01.2033,3626,USD,95.621083,10.19,97.437167,9.9
US900123DG28,19.01.2033,3625,USD,95.798125,10.17,97.661333,9.88
US900123DG28,19.01.2033,3624,USD,94.872167,10.33,96.732375,10.04
US900123DG28,19.01.2033,3621,USD,95.186292,10.29,97.018375,9.99
US900123DG28,19.01.2033,3620,USD,94.856333,10.35,96.695417,10.05
US900123DG28,19.01.2033,3619,USD,94.713375,10.38,96.534458,10.08
US900123DG28,19.01.2033,3618,USD,95.776417,10.2,97.641583,9.91
US900123DG28,19.01.2033,3617,USD,96.551458,10.08,98.441625,9.78
US900123DG28,19.01.2033,3614,USD,96.295583,10.13,98.17375,9.84
US900123DG28,19.01.2033,3613,USD,96.950625,10.03,98.826792,9.74
US900123DG28,19.01.2033,3612,USD,95.99375,10.2,97.09375,10.02
US900123DG28,19.01.2033,3611,USD,96.884792,10.06,98.369792,9.81
US900123DG28,19.01.2033,3610,USD,97.843833,9.9,99.719,9.62
US900123DG28,19.01.2033,3607,USD,98.950958,9.74,100.789042,9.45
US900123DG28,19.01.2033,3606,USD,99.666,9.62,101.459083,9.35
US900123DG28,19.01.2033,3605,USD,99.771042,9.61,101.571125,9.33
US900123DG28,19.01.2033,3604,USD,98.979083,9.74,100.87625,9.46
US900123DG28,19.01.2033,3603,USD,99.625125,9.64,101.551292,9.35
US900123DG28,19.01.2033,3600,USD,100.22725,9.56,102.124333,9.27
US900123DG28,19.01.2033,3599,USD,101.050292,9.43,102.895375,9.15
US900123DG28,19.01.2033,3598,USD,100.761333,9.48,102.641417,9.19
US900123DG28,19.01.2033,3597,USD,102.001375,9.29,103.935542,9.01
US900123DG28,19.01.2033,3596,USD,103.160417,9.11,105.093583,8.83
US900123DG28,19.01.2033,3593,USD,102.305542,9.26,104.113625,8.99
US900123DG28,19.01.2033,3592,USD,103.084583,9.14,104.946667,8.86
US900123DG28,19.01.2033,3591,USD,102.858625,9.18,104.700708,8.91
US900123DG28,19.01.2033,3590,USD,103.222667,9.13,105.122833,8.85
US900123DG28,19.01.2033,3589,USD,103.754708,9.05,105.698875,8.77
US900123DG28,19.01.2033,3586,USD,104.196833,8.99,106.048917,8.72
US900123DG28,19.01.2033,3585,USD,103.542875,9.1,105.425958,8.82
US900123DG28,19.01.2033,3584,USD,103.693917,9.08,105.497958,8.81
US900123DG28,19.01.2033,3583,USD,103.296958,9.14,105.181083,8.87
US900123DG28,19.01.2033,3582,USD,102.933958,9.2,104.840125,8.92
US900123DG28,19.01.2033,3579,USD,103.009083,9.2,104.890167,8.92
US900123DG28,19.01.2033,3578,USD,103.123125,9.19,105.047208,8.9
US900123DG28,19.01.2033,3577,USD,103.014167,9.21,104.79925,8.94
US900123DG28,19.01.2033,3576,USD,102.209208,9.34,104.135375,9.05
US900123DG28,19.01.2033,3571,USD,102.208417,9.36,104.0235,9.08
US900123DG28,19.01.2033,3570,USD,102.248458,9.36,104.138542,9.07
US900123DG28,19.01.2033,3569,USD,102.3215,9.35,104.311667,9.05
US900123DG28,19.01.2033,3568,USD,103.218542,9.21,105.212708,8.92
US900123DG28,19.01.2033,3565,USD,102.996667,9.26,104.96475,8.96
US900123DG28,19.01.2033,3564,USD,102.104708,9.4,104.072792,9.1
US900123DG28,19.01.2033,3563,USD,101.73175,9.47,103.725958,9.17
US900123DG28,19.01.2033,3562,USD,101.331792,9.54,103.401,9.23
US900123DG28,19.01.2033,3558,USD,100.140958,9.75,102.196042,9.42
US900123DG28,19.01.2033,3557,USD,100.739,9.65,102.741083,9.34
US900123DG28,19.01.2033,3556,USD,101.691042,9.5,103.691125,9.2
US900123DG28,19.01.2033,3555,USD,102.726083,9.34,104.808292,9.04
US900123DG28,19.01.2033,3554,USD,102.601125,9.37,104.683333,9.06
US900123DG28,19.01.2033,3550,USD,102.297292,9.43,104.277375,9.13
US900123DG28,19.01.2033,3549,USD,102.330333,9.43,104.358417,9.12
US900123DG28,19.01.2033,3548,USD,102.968375,9.33,104.971542,9.04
US900123DG28,19.01.2033,3547,USD,102.784417,9.37,104.791583,9.07
US900123DG28,19.01.2033,3544,USD,102.407542,9.44,104.674625,9.09
US900123DG28,19.01.2033,3543,USD,102.137583,9.49,104.139667,9.18
US900123DG28,19.01.2033,3542,USD,103.377625,9.29,105.366708,8.99
US900123DG28,19.01.2033,3541,USD,106.379667,8.83,108.605833,8.51
US900123DG28,19.01.2033,3540,USD,107.199708,8.71,109.305875,8.41
US900123DG28,19.01.2033,3537,USD,100.168833,9.83,102.557917,9.45
US900123DG28,19.01.2033,3536,USD,97.607875,10.27,99.866958,9.9
US900123DG28,19.01.2033,3535,USD,95.057917,10.72,97.426125,10.33
US900123DG28,19.01.2033,3534,USD,93.754958,10.96,96.115167,10.56
US900123DG28,19.01.2033,3530,USD,93.002125,11.12,95.295208,10.71
US900123DG28,19.01.2033,3529,USD,93.078167,11.11,95.39325,10.7
US900123DG28,19.01.2033,3528,USD,94.962208,10.77,97.164292,10.39
US900123DG28,19.01.2033,3527,USD,94.76425,10.81,97.168458,10.41
US900123DG28,19.01.2033,3526,USD,94.426292,10.88,96.781458,10.48
US900123DG28,19.01.2033,3523,USD,95.385417,10.72,97.679458,10.32
US900123DG28,19.01.2033,3522,USD,97.689458,10.32,99.9235,9.95
US900123DG28,19.01.2033,3521,USD,98.679458,10.15,100.878542,9.79
US900123DG28,19.01.2033,3520,USD,99.8455,9.96,102.171667,9.59
US900123DG28,19.01.2033,3519,USD,100.662542,9.83,102.945708,9.47
US900123DG28,19.01.2033,3516,USD,103.295667,9.41,105.57375,9.06
US900123DG28,19.01.2033,3515,USD,103.855708,9.33,106.092792,8.98
US900123DG28,19.01.2033,3514,USD,103.76275,9.34,105.978833,9.0
US900123DG28,19.01.2033,3513,USD,102.753792,9.51,105.034958,9.16
US900123DG28,19.01.2033,3512,USD,102.758833,9.51,105.042,9.17
US900123DG28,19.01.2033,3509,USD,103.683958,9.38,105.902042,9.04
US900123DG28,19.01.2033,3508,USD,103.822,9.36,106.030083,9.02
US900123DG28,19.01.2033,3507,USD,104.500042,9.26,106.666125,8.93
US900123DG28,19.01.2033,3506,USD,104.317083,9.29,106.53425,8.96
US900123DG28,19.01.2033,3505,USD,104.564125,9.26,106.824292,8.92
US900123DG28,19.01.2033,3502,USD,103.55725,9.43,105.769333,9.09
US900123DG28,19.01.2033,3501,USD,102.921292,9.54,105.098375,9.2
US900123DG28,19.01.2033,3500,USD,103.085333,9.51,105.261417,9.17
US900123DG28,19.01.2033,3499,USD,102.237375,9.66,104.459542,9.31
US900123DG28,19.01.2033,3498,USD,102.893417,9.55,105.122583,9.21
US900123DG28,19.01.2033,3495,USD,102.976542,9.55,105.282833,9.21
US900123DG28,19.01.2033,3494,USD,103.350583,9.5,105.651917,9.16
US900123DG28,19.01.2033,3488,USD,103.664833,9.47,105.886958,9.13
US900123DG28,19.01.2033,3487,USD,103.516875,9.5,105.710958,9.16
US900123DG28,19.01.2033,3486,USD,103.331917,9.53,105.525,9.19
US900123DG28,19.01.2033,3485,USD,102.426958,9.69,104.679125,9.34
US900123DG28,19.01.2033,3484,USD,102.063,9.75,104.365167,9.39
US900123DG28,19.01.2033,3481,USD,102.409125,9.71,104.603208,9.36
US900123DG28,19.01.2033,3480,USD,104.618167,9.35,106.88825,9.0
US900123DG28,19.01.2033,3479,USD,105.119208,9.28,107.285292,8.94
US900123DG28,19.01.2033,3478,USD,106.41125,9.08,108.694417,8.74
