ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123DH01,14.03.2029,2191,USD,99.126042,9.58,101.228125,9.12
US900123DH01,14.03.2029,2190,USD,100.250083,9.33,102.15525,8.94
US900123DH01,14.03.2029,2189,USD,101.535125,9.05,103.406292,8.67
US900123DH01,14.03.2029,2186,USD,100.83825,9.22,102.725333,8.82
US900123DH01,14.03.2029,2185,USD,101.566292,9.07,103.433375,8.68
US900123DH01,14.03.2029,2184,USD,101.388333,9.11,103.181417,8.74
US900123DH01,14.03.2029,2183,USD,101.646375,9.06,103.522542,8.68
US900123DH01,14.03.2029,2182,USD,102.138417,8.96,104.032583,8.57
US900123DH01,14.03.2029,2179,USD,102.479542,8.9,102.838542,8.83
US900123DH01,14.03.2029,2178,USD,102.010583,9.01,103.843667,8.63
US900123DH01,14.03.2029,2177,USD,102.100625,9.0,103.877667,8.62
US900123DH01,14.03.2029,2176,USD,101.866667,9.05,103.720792,8.67
US900123DH01,14.03.2029,2175,USD,101.633667,9.1,103.541833,8.71
US900123DH01,14.03.2029,2172,USD,101.739792,9.1,103.570875,8.71
US900123DH01,14.03.2029,2171,USD,101.801833,9.09,103.634917,8.7
US900123DH01,14.03.2029,2170,USD,101.571875,9.15,103.375958,8.76
US900123DH01,14.03.2029,2169,USD,101.165917,9.24,103.023083,8.86
US900123DH01,14.03.2029,2165,USD,101.152083,9.27,103.177083,8.82
US900123DH01,14.03.2029,2164,USD,101.168125,9.27,102.924208,8.89
US900123DH01,14.03.2029,2163,USD,101.192167,9.27,103.01125,8.88
US900123DH01,14.03.2029,2162,USD,101.365208,9.24,103.299375,8.83
US900123DH01,14.03.2029,2161,USD,101.99725,9.1,103.868417,8.71
US900123DH01,14.03.2029,2158,USD,101.780375,9.17,103.567458,8.79
US900123DH01,14.03.2029,2157,USD,101.052417,9.33,102.8695,8.94
US900123DH01,14.03.2029,2156,USD,100.811458,9.39,102.654667,9.01
US900123DH01,14.03.2029,2155,USD,100.4635,9.48,102.356708,9.08
US900123DH01,14.03.2029,2151,USD,99.281667,9.77,101.16075,9.36
US900123DH01,14.03.2029,2150,USD,99.833708,9.65,101.760792,9.23
US900123DH01,14.03.2029,2149,USD,100.68875,9.46,102.618833,9.04
US900123DH01,14.03.2029,2148,USD,101.480792,9.29,103.491,8.87
US900123DH01,14.03.2029,2147,USD,101.394833,9.31,103.345042,8.91
US900123DH01,14.03.2029,2143,USD,100.983,9.43,102.908083,9.01
US900123DH01,14.03.2029,2142,USD,101.005042,9.43,102.943125,9.01
US900123DH01,14.03.2029,2141,USD,101.490083,9.33,103.46725,8.91
US900123DH01,14.03.2029,2140,USD,101.329125,9.37,103.321292,8.95
US900123DH01,14.03.2029,2137,USD,101.00325,9.46,103.018333,9.02
US900123DH01,14.03.2029,2136,USD,100.795292,9.51,102.753375,9.09
US900123DH01,14.03.2029,2135,USD,101.729333,9.31,103.686417,8.88
US900123DH01,14.03.2029,2134,USD,104.152375,8.78,106.218542,8.35
US900123DH01,14.03.2029,2133,USD,104.799417,8.64,106.899583,8.21
US900123DH01,14.03.2029,2130,USD,99.190542,9.92,101.674625,9.36
US900123DH01,14.03.2029,2129,USD,96.938583,10.46,99.294667,9.92
US900123DH01,14.03.2029,2128,USD,94.927625,10.96,97.284833,10.42
US900123DH01,14.03.2029,2127,USD,93.725667,11.26,96.080875,10.72
US900123DH01,14.03.2029,2123,USD,93.158833,11.44,95.413917,10.89
US900123DH01,14.03.2029,2122,USD,93.460875,11.37,95.736958,10.81
US900123DH01,14.03.2029,2121,USD,95.468917,10.87,97.643,10.36
US900123DH01,14.03.2029,2120,USD,95.279958,10.93,97.620167,10.39
US900123DH01,14.03.2029,2119,USD,94.933,11.02,97.267167,10.47
US900123DH01,14.03.2029,2116,USD,95.604125,10.87,97.893167,10.32
US900123DH01,14.03.2029,2115,USD,97.742167,10.36,99.940208,9.85
US900123DH01,14.03.2029,2114,USD,98.583167,10.16,100.76725,9.66
US900123DH01,14.03.2029,2112,USD,100.28225,9.77,102.507417,9.28
US900123DH01,14.03.2029,2109,USD,102.426375,9.3,104.602458,8.82
US900123DH01,14.03.2029,2108,USD,102.541417,9.28,104.7175,8.8
US900123DH01,14.03.2029,2107,USD,102.552458,9.28,104.744542,8.8
US900123DH01,14.03.2029,2106,USD,101.6735,9.49,103.897667,9.01
US900123DH01,14.03.2029,2105,USD,101.744542,9.48,103.915708,9.01
US900123DH01,14.03.2029,2102,USD,102.196667,9.39,104.34075,8.92
US900123DH01,14.03.2029,2101,USD,102.338708,9.36,104.534792,8.88
US900123DH01,14.03.2029,2100,USD,103.02175,9.21,105.167833,8.75
US900123DH01,14.03.2029,2099,USD,102.860792,9.26,105.059958,8.79
US900123DH01,14.03.2029,2098,USD,103.125833,9.2,105.351,8.73
US900123DH01,14.03.2029,2095,USD,102.350958,9.4,104.522042,8.92
US900123DH01,14.03.2029,2094,USD,101.79,9.53,103.931083,9.06
US900123DH01,14.03.2029,2093,USD,101.900042,9.51,104.042125,9.04
US900123DH01,14.03.2029,2092,USD,101.148083,9.69,103.33125,9.21
US900123DH01,14.03.2029,2091,USD,101.565125,9.6,103.757292,9.12
US900123DH01,14.03.2029,2088,USD,101.63525,9.6,103.906542,9.12
US900123DH01,14.03.2029,2087,USD,101.973292,9.53,104.231625,9.06
US900123DH01,14.03.2029,2081,USD,102.240542,9.51,104.422667,9.03
US900123DH01,14.03.2029,2080,USD,102.129583,9.54,104.284667,9.06
US900123DH01,14.03.2029,2079,USD,101.968625,9.58,104.115708,9.1
US900123DH01,14.03.2029,2078,USD,101.345667,9.74,103.554833,9.25
US900123DH01,14.03.2029,2077,USD,101.103708,9.8,103.362875,9.3
