ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
US900123DJ66,13.07.2030,2641,USD,98.301431,9.49,99.020167,9.38
US900123DJ66,13.07.2030,2637,USD,96.781819,9.82,98.636514,9.46
US900123DJ66,13.07.2030,2636,USD,97.354167,9.71,99.244861,9.34
US900123DJ66,13.07.2030,2635,USD,98.394514,9.51,100.288208,9.15
US900123DJ66,13.07.2030,2634,USD,99.343861,9.32,101.375597,8.96
US900123DJ66,13.07.2030,2633,USD,99.294208,9.34,101.262944,8.98
US900123DJ66,13.07.2030,2629,USD,99.106597,9.4,101.046292,9.03
US900123DJ66,13.07.2030,2628,USD,99.031944,9.41,101.016639,9.04
US900123DJ66,13.07.2030,2627,USD,99.620292,9.3,101.583681,8.95
US900123DJ66,13.07.2030,2626,USD,99.379639,9.36,101.320028,9.0
US900123DJ66,13.07.2030,2623,USD,99.021681,9.44,101.024375,9.06
US900123DJ66,13.07.2030,2622,USD,98.741028,9.5,100.693722,9.13
US900123DJ66,13.07.2030,2621,USD,100.013375,9.26,101.938069,8.9
US900123DJ66,13.07.2030,2620,USD,102.659722,8.76,104.869111,8.36
US900123DJ66,13.07.2030,2619,USD,100.635069,9.15,100.985069,9.08
US900123DJ66,13.07.2030,2616,USD,97.781111,9.72,101.191111,9.05
US900123DJ66,13.07.2030,2615,USD,95.445458,10.21,97.799153,9.74
US900123DJ66,13.07.2030,2614,USD,93.028806,10.72,95.362542,10.26
US900123DJ66,13.07.2030,2613,USD,91.885153,10.98,94.209889,10.51
US900123DJ66,13.07.2030,2609,USD,90.999542,11.2,93.305236,10.7
US900123DJ66,13.07.2030,2608,USD,91.166889,11.16,93.442583,10.68
US900123DJ66,13.07.2030,2607,USD,92.899236,10.79,95.063931,10.34
US900123DJ66,13.07.2030,2606,USD,92.602583,10.86,94.934319,10.39
US900123DJ66,13.07.2030,2605,USD,92.286931,10.94,94.594319,10.46
US900123DJ66,13.07.2030,2602,USD,93.209972,10.75,95.497319,10.27
US900123DJ66,13.07.2030,2601,USD,95.430319,10.29,97.639667,9.84
US900123DJ66,13.07.2030,2600,USD,96.236319,10.12,98.410014,9.69
US900123DJ66,13.07.2030,2599,USD,97.395667,9.89,99.684056,9.45
US900123DJ66,13.07.2030,2598,USD,98.080014,9.75,100.316403,9.33
US900123DJ66,13.07.2030,2595,USD,100.611056,9.26,102.80075,8.85
US900123DJ66,13.07.2030,2594,USD,100.681403,9.26,102.818097,8.85
US900123DJ66,13.07.2030,2593,USD,100.53375,9.29,102.685444,8.88
