ISIN,Maturity,Days Until,Currency,Buy,Buy Rate,Sell,Sell Rate
USM88269US88,24.09.2027,2010,USD,99.822,8.64,101.525556,8.27
USM88269US88,24.09.2027,2009,USD,99.545889,8.71,101.755444,8.22
USM88269US88,24.09.2027,2006,USD,99.613556,8.71,101.795333,8.22
USM88269US88,24.09.2027,2005,USD,101.395444,8.31,103.136333,7.92
USM88269US88,24.09.2027,2004,USD,101.708333,8.24,103.537222,7.83
USM88269US88,24.09.2027,2003,USD,102.263333,8.11,104.050889,7.73
USM88269US88,24.09.2027,2002,USD,101.676222,8.25,103.410778,7.88
USM88269US88,24.09.2027,1999,USD,101.715889,8.26,103.429667,7.88
USM88269US88,24.09.2027,1998,USD,101.755778,8.25,103.467556,7.88
USM88269US88,24.09.2027,1997,USD,100.253667,8.61,101.919444,8.23
USM88269US88,24.09.2027,1996,USD,100.250556,8.61,101.971111,8.24
USM88269US88,24.09.2027,1995,USD,100.037444,8.67,101.843,8.27
USM88269US88,24.09.2027,1992,USD,99.929111,8.71,101.616889,8.33
USM88269US88,24.09.2027,1991,USD,99.583,8.8,101.562778,8.35
USM88269US88,24.09.2027,1990,USD,100.926889,8.49,102.719667,8.09
USM88269US88,24.09.2027,1989,USD,101.407778,8.38,103.284333,7.97
USM88269US88,24.09.2027,1988,USD,101.227667,8.43,103.042222,8.03
USM88269US88,24.09.2027,1985,USD,101.299333,8.43,103.066111,8.03
USM88269US88,24.09.2027,1984,USD,100.816222,8.55,102.567,8.15
USM88269US88,24.09.2027,1983,USD,101.921111,8.3,103.723889,7.89
USM88269US88,24.09.2027,1982,USD,102.038,8.27,103.886556,7.87
USM88269US88,24.09.2027,1981,USD,101.709889,8.35,103.558444,7.95
USM88269US88,24.09.2027,1978,USD,101.466556,8.43,103.267333,8.02
USM88269US88,24.09.2027,1977,USD,102.169444,8.27,103.922222,7.88
USM88269US88,24.09.2027,1976,USD,101.664333,8.39,103.440111,7.99
USM88269US88,24.09.2027,1975,USD,101.773222,8.37,103.718444,7.96
USM88269US88,24.09.2027,1974,USD,101.581111,8.42,103.526333,8.01
USM88269US88,24.09.2027,1968,USD,100.994444,8.59,102.884,8.17
USM88269US88,24.09.2027,1967,USD,99.530333,8.95,101.415889,8.52
USM88269US88,24.09.2027,1964,USD,98.484,9.22,100.319778,8.79
USM88269US88,24.09.2027,1963,USD,97.671889,9.42,100.191667,8.82
USM88269US88,24.09.2027,1962,USD,98.525778,9.22,100.385556,8.78
USM88269US88,24.09.2027,1961,USD,98.103667,9.33,99.987222,8.9
USM88269US88,24.09.2027,1960,USD,98.098556,9.34,99.980111,8.9
USM88269US88,24.09.2027,1957,USD,96.769222,9.69,99.267,9.08
USM88269US88,24.09.2027,1956,USD,97.968111,9.39,99.966778,8.92
USM88269US88,24.09.2027,1955,USD,97.966,9.4,100.010444,8.93
USM88269US88,24.09.2027,1953,USD,97.914778,9.42,99.935333,8.95
USM88269US88,24.09.2027,1950,USD,98.842444,9.21,100.755222,8.76
USM88269US88,24.09.2027,1949,USD,98.148333,9.39,100.059111,8.94
USM88269US88,24.09.2027,1948,USD,98.278222,9.37,100.188,8.91
USM88269US88,24.09.2027,1947,USD,98.132111,9.41,100.089667,8.95
USM88269US88,24.09.2027,1946,USD,99.048,9.19,100.951556,8.75
USM88269US88,24.09.2027,1943,USD,99.057667,9.2,101.446556,8.63
USM88269US88,24.09.2027,1942,USD,99.068667,9.2,101.481444,8.63
USM88269US88,24.09.2027,1941,USD,99.024556,9.22,101.437333,8.65
USM88269US88,24.09.2027,1940,USD,99.031444,9.22,101.492,8.65
USM88269US88,24.09.2027,1939,USD,99.055333,9.22,101.515889,8.65
USM88269US88,24.09.2027,1936,USD,99.093,9.23,101.505778,8.66
USM88269US88,24.09.2027,1935,USD,98.472889,9.39,100.883667,8.81
USM88269US88,24.09.2027,1934,USD,96.155778,9.98,98.748556,9.34
USM88269US88,24.09.2027,1933,USD,95.606667,10.13,98.247222,9.49
USM88269US88,24.09.2027,1932,USD,93.601556,10.67,96.860111,9.84
USM88269US88,24.09.2027,1929,USD,90.655222,11.49,93.943,10.61
USM88269US88,24.09.2027,1928,USD,90.583111,11.52,93.870889,10.64
USM88269US88,24.09.2027,1927,USD,93.175,10.82,96.227778,10.03
USM88269US88,24.09.2027,1926,USD,92.590889,10.98,96.334333,10.03
USM88269US88,24.09.2027,1925,USD,92.725778,10.95,95.850222,10.16
USM88269US88,24.09.2027,1922,USD,93.069444,10.88,96.122222,10.09
USM88269US88,24.09.2027,1921,USD,93.661333,10.73,96.717111,9.94
USM88269US88,24.09.2027,1920,USD,94.049222,10.63,97.105,9.85
USM88269US88,24.09.2027,1919,USD,94.847111,10.43,97.949667,9.65
USM88269US88,24.09.2027,1918,USD,95.43,10.28,98.535556,9.51
USM88269US88,24.09.2027,1915,USD,96.996667,9.9,100.059444,9.13
USM88269US88,24.09.2027,1914,USD,95.398556,10.32,98.518333,9.53
USM88269US88,24.09.2027,1913,USD,93.369444,10.87,96.485222,10.05
USM88269US88,24.09.2027,1912,USD,92.325333,11.16,95.509778,10.34
USM88269US88,24.09.2027,1911,USD,92.427222,11.14,95.611667,10.32
USM88269US88,24.09.2027,1908,USD,92.819889,11.05,95.932667,10.23
USM88269US88,24.09.2027,1907,USD,92.845778,11.05,95.833556,10.27
USM88269US88,24.09.2027,1906,USD,92.919667,11.04,95.897444,10.26
USM88269US88,24.09.2027,1905,USD,92.255556,11.23,95.323889,10.44
USM88269US88,24.09.2027,1904,USD,92.254444,11.24,95.322778,10.45
USM88269US88,24.09.2027,1899,USD,90.393889,11.8,93.463333,10.98
USM88269US88,24.09.2027,1898,USD,90.332778,11.83,93.362222,11.02
USM88269US88,24.09.2027,1894,USD,90.717333,11.75,94.230111,10.79
USM88269US88,24.09.2027,1893,USD,91.589222,11.51,95.048,10.58
USM88269US88,24.09.2027,1892,USD,92.482111,11.27,95.494889,10.46
USM88269US88,24.09.2027,1891,USD,93.85,10.9,96.750556,10.15
USM88269US88,24.09.2027,1890,USD,93.607889,10.97,96.517444,10.22
USM88269US88,24.09.2027,1887,USD,93.384556,11.06,96.287333,10.29
USM88269US88,24.09.2027,1886,USD,93.171444,11.13,96.125222,10.34
USM88269US88,24.09.2027,1885,USD,92.068333,11.44,95.046111,10.64
USM88269US88,24.09.2027,1884,USD,93.027222,11.18,96.168889,10.35
USM88269US88,24.09.2027,1883,USD,95.196111,10.59,98.227778,9.81
USM88269US88,24.09.2027,1880,USD,97.326889,10.04,100.209667,9.31
USM88269US88,24.09.2027,1879,USD,97.746778,9.94,100.640556,9.21
USM88269US88,24.09.2027,1878,USD,97.425667,10.03,100.353444,9.29
USM88269US88,24.09.2027,1877,USD,99.064556,9.61,102.045111,8.88
USM88269US88,24.09.2027,1876,USD,99.478444,9.51,102.522,8.77
USM88269US88,24.09.2027,1873,USD,99.616111,9.49,102.676889,8.74
USM88269US88,24.09.2027,1872,USD,100.278,9.33,103.430778,8.56
USM88269US88,24.09.2027,1871,USD,99.996889,9.41,103.144667,8.63
USM88269US88,24.09.2027,1870,USD,101.944778,8.92,104.493333,8.32
USM88269US88,24.09.2027,1869,USD,101.656667,9.0,104.357222,8.36
USM88269US88,24.09.2027,1866,USD,101.370333,9.09,103.958111,8.46
USM88269US88,24.09.2027,1865,USD,100.780222,9.25,103.353,8.62
USM88269US88,24.09.2027,1864,USD,98.648111,9.81,101.198889,9.16
USM88269US88,24.09.2027,1863,USD,97.665,10.07,100.345556,9.4
USM88269US88,24.09.2027,1862,USD,96.908889,10.28,99.584444,9.6
USM88269US88,24.09.2027,1859,USD,95.854556,10.59,98.490333,9.9
USM88269US88,24.09.2027,1858,USD,95.642444,10.65,98.200222,9.98
USM88269US88,24.09.2027,1857,USD,97.716333,10.1,100.184111,9.47
USM88269US88,24.09.2027,1856,USD,98.599222,9.87,101.012778,9.27
USM88269US88,24.09.2027,1855,USD,98.626111,9.87,101.129667,9.25
USM88269US88,24.09.2027,1850,USD,97.439667,10.22,99.750444,9.62
USM88269US88,24.09.2027,1849,USD,96.820556,10.39,99.183,9.8
USM88269US88,24.09.2027,1848,USD,97.252444,10.28,99.618889,9.69
USM88269US88,24.09.2027,1845,USD,97.699111,10.18,100.071889,9.57
USM88269US88,24.09.2027,1844,USD,97.891,10.14,100.325778,9.51
USM88269US88,24.09.2027,1843,USD,97.672889,10.21,100.054667,9.59
USM88269US88,24.09.2027,1842,USD,98.692778,9.94,101.193333,9.31
USM88269US88,24.09.2027,1841,USD,99.489667,9.74,102.117222,9.08
USM88269US88,24.09.2027,1838,USD,100.946333,9.38,103.529111,8.73
USM88269US88,24.09.2027,1837,USD,100.161222,9.59,102.733,8.94
USM88269US88,24.09.2027,1836,USD,98.584111,10.01,100.992889,9.39
USM88269US88,24.09.2027,1835,USD,98.558,10.03,101.086556,9.39
USM88269US88,24.09.2027,1834,USD,97.171889,10.41,99.789444,9.73
USM88269US88,24.09.2027,1830,USD,97.220444,10.42,99.705222,9.77
USM88269US88,24.09.2027,1829,USD,97.531333,10.35,100.017111,9.69
USM88269US88,24.09.2027,1828,USD,97.888222,10.26,96.193778,9.59
USM88269US88,24.09.2027,1827,USD,96.777111,10.57,95.078667,9.89
USM88269US88,24.09.2027,1824,USD,91.690778,10.81,94.548556,10.04
USM88269US88,24.09.2027,1823,USD,91.721667,10.81,95.569444,9.77
USM88269US88,24.09.2027,1822,USD,90.159556,11.26,93.064333,10.46
USM88269US88,24.09.2027,1821,USD,91.597444,10.86,94.553,10.07
USM88269US88,24.09.2027,1820,USD,92.671333,10.57,95.594889,9.8
USM88269US88,24.09.2027,1817,USD,91.989,10.78,95.018778,9.96
USM88269US88,24.09.2027,1816,USD,93.629889,10.33,96.662667,9.53
USM88269US88,24.09.2027,1815,USD,93.248778,10.44,95.778556,9.77
USM88269US88,24.09.2027,1814,USD,93.056667,10.5,95.665111,9.83
USM88269US88,24.09.2027,1813,USD,92.764556,10.59,95.373,9.91
USM88269US88,24.09.2027,1810,USD,92.386222,10.72,94.921,10.04
USM88269US88,24.09.2027,1809,USD,92.287111,10.75,94.821889,10.07
USM88269US88,24.09.2027,1808,USD,92.947,10.58,95.508778,9.89
USM88269US88,24.09.2027,1807,USD,92.686889,10.66,95.220444,9.99
USM88269US88,24.09.2027,1806,USD,92.767778,10.64,95.390333,9.95
USM88269US88,24.09.2027,1803,USD,92.884444,10.63,95.462222,9.94
USM88269US88,24.09.2027,1802,USD,93.674333,10.42,96.163111,9.76
USM88269US88,24.09.2027,1801,USD,93.923222,10.36,96.414,9.7
USM88269US88,24.09.2027,1800,USD,93.581111,10.46,96.114667,9.8
USM88269US88,24.09.2027,1799,USD,93.189,10.58,95.723556,9.91
USM88269US88,24.09.2027,1796,USD,94.202667,10.32,96.766444,9.64
USM88269US88,24.09.2027,1795,USD,94.644556,10.2,97.208333,9.53
USM88269US88,24.09.2027,1794,USD,95.772444,9.9,98.338222,9.23
USM88269US88,24.09.2027,1793,USD,96.149333,9.81,98.741,9.14
USM88269US88,24.09.2027,1792,USD,96.412222,9.75,98.973889,9.09
USM88269US88,24.09.2027,1789,USD,96.296,9.79,98.787778,9.14
USM88269US88,24.09.2027,1788,USD,96.708889,9.69,99.200667,9.04
USM88269US88,24.09.2027,1787,USD,97.012778,9.61,99.440556,8.99
USM88269US88,24.09.2027,1786,USD,96.787667,9.68,99.403222,9.01
USM88269US88,24.09.2027,1785,USD,97.764556,9.43,100.332111,8.78
USM88269US88,24.09.2027,1782,USD,98.737222,9.19,101.17,8.57
USM88269US88,24.09.2027,1781,USD,98.219111,9.33,100.776889,8.68
USM88269US88,24.09.2027,1780,USD,98.384,9.29,101.025444,8.64
USM88269US88,24.09.2027,1779,USD,97.953889,9.41,100.593333,8.76
USM88269US88,24.09.2027,1778,USD,100.126778,8.85,102.775333,8.2
USM88269US88,24.09.2027,1775,USD,99.449444,9.05,101.937222,8.42
USM88269US88,24.09.2027,1774,USD,99.530333,9.03,102.101111,8.38
USM88269US88,24.09.2027,1773,USD,99.637222,9.01,102.325,8.33
USM88269US88,24.09.2027,1772,USD,98.984111,9.19,101.599667,8.53
USM88269US88,24.09.2027,1771,USD,98.313,9.37,100.929556,8.71
USM88269US88,24.09.2027,1768,USD,98.149667,9.44,100.719444,8.77
USM88269US88,24.09.2027,1767,USD,99.010556,9.21,101.667222,8.54
USM88269US88,24.09.2027,1766,USD,99.702444,9.04,102.427889,8.36
USM88269US88,24.09.2027,1765,USD,100.614333,8.81,103.323889,8.14
USM88269US88,24.09.2027,1764,USD,100.753222,8.78,103.443778,8.11
USM88269US88,24.09.2027,1761,USD,100.867889,8.77,103.462667,8.11
USM88269US88,24.09.2027,1760,USD,100.849778,8.78,103.525556,8.1
USM88269US88,24.09.2027,1759,USD,100.885667,8.77,103.561444,8.1
USM88269US88,24.09.2027,1758,USD,102.210556,8.44,104.841111,7.8
USM88269US88,24.09.2027,1757,USD,102.129444,8.46,104.773,7.82
USM88269US88,24.09.2027,1754,USD,102.118111,8.49,104.681889,7.85
USM88269US88,24.09.2027,1753,USD,101.824,8.57,104.343778,7.94
USM88269US88,24.09.2027,1752,USD,101.675889,8.61,104.194667,7.98
USM88269US88,24.09.2027,1751,USD,101.643778,8.63,104.332333,7.96
USM88269US88,24.09.2027,1750,USD,102.172667,8.5,104.684222,7.88
USM88269US88,24.09.2027,1747,USD,102.223333,8.5,104.713111,7.88
USM88269US88,24.09.2027,1746,USD,102.391222,8.46,104.911,7.84
USM88269US88,24.09.2027,1745,USD,103.152111,8.27,105.747889,7.63
USM88269US88,24.09.2027,1744,USD,102.339,8.49,105.048556,7.82
USM88269US88,24.09.2027,1743,USD,101.996889,8.58,104.616444,7.94
USM88269US88,24.09.2027,1740,USD,101.890556,8.63,104.495333,7.97
USM88269US88,24.09.2027,1739,USD,101.680444,8.69,104.268222,8.04
USM88269US88,24.09.2027,1738,USD,101.663333,8.7,104.254111,8.05
USM88269US88,24.09.2027,1737,USD,101.975222,8.63,104.636667,7.97
USM88269US88,24.09.2027,1736,USD,101.746111,8.69,104.418556,8.03
USM88269US88,24.09.2027,1733,USD,101.535778,8.77,104.158556,8.1
USM88269US88,24.09.2027,1732,USD,101.496667,8.78,103.994444,8.15
USM88269US88,24.09.2027,1731,USD,101.498556,8.79,104.025333,8.15
USM88269US88,24.09.2027,1730,USD,101.646444,8.76,104.279,8.1
USM88269US88,24.09.2027,1729,USD,101.398333,8.83,104.130889,8.14
USM88269US88,24.09.2027,1726,USD,101.357111,8.85,103.979889,8.18
USM88269US88,24.09.2027,1725,USD,102.024,8.68,104.663778,8.01
USM88269US88,24.09.2027,1724,USD,102.639889,8.53,105.293667,7.86
USM88269US88,24.09.2027,1723,USD,102.267778,8.63,104.900333,7.98
USM88269US88,24.09.2027,1722,USD,101.571667,8.82,103.747222,8.28
USM88269US88,24.09.2027,1719,USD,102.438333,8.61,104.540111,8.08
USM88269US88,24.09.2027,1718,USD,101.886222,8.76,104.03,8.22
USM88269US88,24.09.2027,1717,USD,101.534111,8.86,104.035889,8.22
USM88269US88,24.09.2027,1716,USD,101.377,8.91,103.854444,8.29
USM88269US88,24.09.2027,1715,USD,101.522889,8.88,104.036333,8.25
USM88269US88,24.09.2027,1712,USD,101.153556,9.0,103.794333,8.31
USM88269US88,24.09.2027,1711,USD,100.795444,9.1,103.436222,8.41
USM88269US88,24.09.2027,1710,USD,101.419333,8.94,104.026111,8.27
USM88269US88,24.09.2027,1709,USD,101.390222,8.96,103.615778,8.39
