Kod-Vade,Para Cinsi,Tanım**,İlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamız Alış Fiyatı,Bankamız Satış Fiyatı,Getirisi(%)
669 -14/04/2026,USD,S.F.T.,14/04/2026,63,2.125,6 Ay,"1,014.000","1,018.000",1.8000
680 -09/10/2026,USD,S.F.T.,09/04/2026,58,2.437,6 Ay,"1,018.000","1,027.000",3.2400
637 -25/03/2027,USD,S.F.T.,25/03/2026,43,3.000,6 Ay,"1,035.000","1,049.000",3.5700
611 -24/09/2027,USD,S.F.T.,24/03/2026,42,4.300,6 Ay,"1,091.000","1,105.000",3.9400
629 -15/01/2028,USD,S.F.T.,15/07/2026,155,4.937,6 Ay,"1,094.000","1,108.000",4.3500
638 -17/02/2028,USD,S.F.T.,17/02/2026,7,2.562,6 Ay,"1,022.000","1,037.000",4.4800
654 -24/10/2028,USD,S.F.T.,24/04/2026,73,3.062,6 Ay,"1,039.000","1,054.000",4.6900
688 -14/03/2029,USD,S.F.T.,14/03/2026,32,4.687,6 Ay,"1,149.000","1,164.000",4.9300
645 -26/04/2029,USD,S.F.T.,26/04/2026,75,3.812,6 Ay,"1,084.000","1,100.000",4.9600
630 -15/01/2030,USD,S.F.T.,15/07/2026,155,5.937,6 Ay,"1,235.000","1,260.000",4.7700
668 -13/03/2030,USD,S.F.T.,13/03/2026,31,2.625,6 Ay,"1,002.000","1,022.000",5.2300
695 -13/07/2030,USD,S.F.T.,13/07/2026,153,4.562,6 Ay,"1,134.000","1,154.000",5.3400
628 -15/01/2031,USD,S.F.T.,15/07/2026,155,2.975,6 Ay,"1,001.000","1,021.000",5.5500
698 -26/06/2031,USD,S.F.T.,26/06/2026,136,2.937,6 Ay,994.000,"1,014.000",5.7200
662 -12/02/2032,USD,S.F.T.,12/02/2026,2,3.562,6 Ay,"1,078.000","1,098.000",5.8700
650 -29/05/2032,USD,S.F.T.,29/05/2026,108,3.625,6 Ay,"1,061.000","1,081.000",5.9600
624 -17/07/2032,USD,S.F.T.,17/07/2026,157,3.562,6 Ay,"1,043.000","1,065.000",5.9800
617 -19/01/2033,USD,S.F.T.,19/07/2026,159,4.687,6 Ay,"1,165.000","1,187.000",6.1200
692*** -14/03/2033,USD,S.F.T.,14/03/2026,32,1.050,6 Ay,989.000,"1,011.000",6.1900
623 -20/09/2033,USD,S.F.T.,20/03/2026,38,3.250,6 Ay,"1,022.000","1,044.000",6.1900
631 -14/02/2034,USD,S.F.T.,14/02/2026,4,4.000,6 Ay,"1,135.000","1,159.000",6.0900
660 -15/05/2034,USD,S.F.T.,15/05/2026,94,3.812,6 Ay,"1,079.000","1,101.000",6.3200
644 -03/01/2035,USD,S.F.T.,03/07/2026,143,3.250,6 Ay,996.000,"1,018.000",6.3300
612 -16/09/2035,USD,S.F.T.,16/03/2026,34,3.475,6 Ay,"1,038.000","1,060.000",6.4900
670 -17/03/2036,USD,S.F.T.,17/03/2026,35,3.437,6 Ay,"1,036.000","1,060.000",6.4300
636 -04/11/2036,USD,S.F.T.,04/05/2026,83,3.400,6 Ay,"1,012.000","1,034.000",6.5900
601 -14/01/2038,USD,S.F.T.,14/07/2026,154,3.437,6 Ay,993.000,"1,015.000",6.7500
663 -05/03/2038,USD,S.F.T.,05/03/2026,23,3.625,6 Ay,"1,077.000","1,102.000",6.4000
675 -30/05/2040,USD,S.F.T.,30/05/2026,109,3.375,6 Ay,979.000,"1,007.000",6.8200
678 -14/01/2041,USD,S.F.T.,14/07/2026,154,3.000,6 Ay,887.000,913.000,6.9900
667 -16/04/2043,USD,S.F.T.,16/04/2026,65,2.437,6 Ay,767.000,791.000,7.1700
615 -17/02/2045,USD,S.F.T.,17/02/2026,7,3.312,6 Ay,941.000,965.000,7.2800
610 -11/05/2047,USD,S.F.T.,11/05/2026,90,2.875,6 Ay,818.000,842.000,7.3600
647 -16/02/2026,EUR,S.F.T.,16/02/2026,6,5.200,12 Ay,"1,050.800","1,051.800",1.1600
642 -08/07/2027,EUR,S.F.T.,08/07/2026,148,4.375,12 Ay,"1,050.000","1,062.000",1.7500
682 -21/05/2030,EUR,S.F.T.,21/05/2026,100,5.875,12 Ay,"1,116.000","1,131.000",3.6000
607*** -17/08/2031,EUR,S.F.T.,17/08/2026,188,5.641,12 Ay,"1,061.000","1,076.000",4.2300
613*** -10/03/2034,EUR,S.F.T.,10/03/2027,393,5.545,12 Ay,995.000,"1,012.000",4.9600
