Kod-Vade,Para Cinsi,Taným**,Ýlk Kupon Vadesi,Kupon V.K.G.*,Kupon Faizi - (Dönemsel- %),Kupon Dönemi,Bankamýz Alýþ Fiyatý,Bankamýz Satýþ Fiyatý,Getirisi(%)
640 -23/12/2023,USD,S.F.T.,23/12/2023,138,3.625,6 Ay,"1,007.000","1,022.000",3.6800
673 -22/03/2024,USD,S.F.T.,22/09/2023,46,2.875,6 Ay,"1,012.000","1,027.000",4.8500
671 -10/08/2024,USD,S.F.T.,10/08/2023,3,3.175,6 Ay,"1,024.000","1,039.000",5.5500
612 -14/11/2024,USD,S.F.T.,14/11/2023,99,2.800,6 Ay,992.000,"1,008.000",6.0000
622 -05/02/2025,USD,S.F.T.,05/02/2024,182,3.687,6 Ay,"1,000.000","1,018.000",6.1300
616 -13/03/2025,USD,S.F.T.,13/09/2023,37,2.125,6 Ay,970.000,988.000,6.1800
659 -14/10/2025,USD,S.F.T.,14/10/2023,68,3.187,6 Ay,993.000,"1,011.000",6.8200
691 -26/01/2026,USD,S.F.T.,26/01/2024,172,2.375,6 Ay,934.000,952.000,6.9600
669 -14/04/2026,USD,S.F.T.,14/10/2023,68,2.125,6 Ay,926.000,946.000,7.0400
680 -09/10/2026,USD,S.F.T.,09/10/2023,63,2.437,6 Ay,929.000,949.000,7.2700
637 -25/03/2027,USD,S.F.T.,25/09/2023,49,3.000,6 Ay,957.000,977.000,7.4300
611 -24/09/2027,USD,S.F.T.,24/09/2023,48,4.300,6 Ay,"1,041.000","1,061.000",7.7500
629 -15/01/2028,USD,S.F.T.,15/01/2024,161,4.937,6 Ay,"1,058.000","1,078.000",7.9200
638 -17/02/2028,USD,S.F.T.,17/08/2023,10,2.562,6 Ay,919.000,939.000,7.3700
654 -24/10/2028,USD,S.F.T.,24/10/2023,78,3.062,6 Ay,936.000,956.000,7.5700
688 -14/03/2029,USD,S.F.T.,14/09/2023,38,4.687,6 Ay,"1,070.000","1,092.000",8.1400
645 -26/04/2029,USD,S.F.T.,26/10/2023,80,3.812,6 Ay,992.000,"1,014.000",7.7800
630 -15/01/2030,USD,S.F.T.,15/01/2024,161,5.937,6 Ay,"1,183.000","1,211.000",7.7900
668 -13/03/2030,USD,S.F.T.,13/09/2023,37,2.625,6 Ay,869.000,891.000,7.8100
695 -13/07/2030,USD,S.F.T.,13/01/2024,159,4.562,6 Ay,"1,029.000","1,051.000",8.2600
628 -15/01/2031,USD,S.F.T.,15/01/2024,161,2.975,6 Ay,871.000,893.000,7.9500
698 -26/06/2031,USD,S.F.T.,26/12/2023,141,2.937,6 Ay,865.000,887.000,7.9400
617 -19/01/2033,USD,S.F.T.,19/01/2024,165,4.687,6 Ay,"1,043.000","1,065.000",8.4300
623 -20/09/2033,USD,S.F.T.,20/09/2023,44,3.250,6 Ay,902.000,924.000,7.9700
631 -14/02/2034,USD,S.F.T.,14/08/2023,7,4.000,6 Ay,"1,022.000","1,046.000",7.8900
670 -17/03/2036,USD,S.F.T.,17/09/2023,41,3.437,6 Ay,902.000,924.000,8.2000
663 -05/03/2038,USD,S.F.T.,05/09/2023,29,3.625,6 Ay,930.000,952.000,8.1800
675 -30/05/2040,USD,S.F.T.,30/11/2023,115,3.375,6 Ay,831.000,856.000,8.5200
678 -14/01/2041,USD,S.F.T.,14/01/2024,160,3.000,6 Ay,768.000,793.000,8.3100
667 -16/04/2043,USD,S.F.T.,16/10/2023,70,2.437,6 Ay,678.000,700.000,8.1000
615 -17/02/2045,USD,S.F.T.,17/08/2023,10,3.312,6 Ay,833.000,855.000,8.4100
610 -11/05/2047,USD,S.F.T.,11/11/2023,96,2.875,6 Ay,725.000,747.000,8.3500
613 -31/03/2025,EUR,S.F.T.,31/03/2024,237,4.625,12 Ay,999.000,"1,019.000",4.4400
646 -14/06/2025,EUR,S.F.T.,14/06/2024,312,3.250,12 Ay,962.000,982.000,4.5600
647 -16/02/2026,EUR,S.F.T.,16/02/2024,193,5.200,12 Ay,"1,002.000","1,024.000",5.2100
642 -08/07/2027,EUR,S.F.T.,08/07/2024,336,4.375,12 Ay,929.000,952.000,5.8800
