Kýymet Adý,Vade,Vadeye Kalan Gün,Döviz,Alýþ Fiyatý,Alýþ Oraný,Satýþ Fiyatý,Satýþ Oraný
US900123CF53,22.03.2024,2402,USD,108.123778,4.73,111.703639,4.14
US900123AW05,05.02.2025,2722,USD,116.140236,4.83,119.742667,4.32
US900123CJ75,14.04.2026,3155,USD,96.913722,4.91,100.47275,4.41
US900123CK49,09.10.2026,3333,USD,100.697125,5.03,104.264833,4.55
US900123CL22,25.03.2027,3500,USD,110.430667,5.08,113.864,4.66
US900123AL40,15.01.2030,4527,USD,160.743458,5.28,164.658389,4.97
US900123AT75,14.02.2034,6018,USD,125.147222,5.65,129.008333,5.36
US900123AY60,17.03.2036,6780,USD,116.225264,5.71,120.07075,5.41
US900123BB58,05.03.2038,7498,USD,121.361472,5.75,125.212167,5.48
US900123BG46,30.05.2040,8315,USD,113.696,5.78,117.53975,5.52
US900123BJ84,14.01.2041,8544,USD,103.716667,5.76,107.45,5.49
US900123CB40,16.04.2043,9366,USD,90.820333,5.69,94.538042,5.4
US900123CG37,17.02.2045,10039,USD,111.286819,5.81,115.028833,5.57
US900123CM05,11.05.2047,10852,USD,100.741139,5.81,104.471,5.56
XS1629918415,14.06.2025,2851,EUR,101.005192,3.19,102.790808,2.94
