KÃ½ymet AdÃ½,Vade,Vadeye Kalan GÃ¼n,DÃ¶viz,AlÃ½Ã¾ FiyatÃ½,AlÃ½Ã¾ OranÃ½,SatÃ½Ã¾ FiyatÃ½,SatÃ½Ã¾ OranÃ½
US900123CR91,23.12.2023,150,USD,100.198583,8.37,102.199861,3.46
US900123CF53,22.03.2024,240,USD,100.303556,8.41,102.3975,5.13
US900123CV04,10.08.2024,381,USD,101.356056,7.95,103.427333,5.88
US900123CW86,14.11.2024,477,USD,98.163,8.03,100.226111,6.35
US900123AW05,05.02.2025,560,USD,102.613125,8.0,104.788097,6.5
US900123CX69,13.03.2025,596,USD,95.597139,8.23,97.75675,6.78
US900123CZ18,14.10.2025,811,USD,97.86525,8.35,99.982667,7.29
US900123DB31,26.01.2026,915,USD,92.015,8.36,94.137389,7.38
US900123CJ75,14.04.2026,993,USD,91.402167,8.35,93.525778,7.44
US900123CK49,09.10.2026,1171,USD,91.708958,8.4,93.832042,7.61
US900123CL22,25.03.2027,1338,USD,94.468667,8.43,96.664,7.71
USM88269US88,24.09.2027,1521,USD,102.546444,8.7,104.796222,8.07
US900123DF45,15.01.2028,1634,USD,104.242736,8.79,106.441597,8.22
US900123CP36,17.02.2028,1667,USD,90.576542,8.25,92.784014,7.64
US900123CQ19,24.10.2028,1917,USD,92.208278,8.36,94.435306,7.81
US900123DH01,14.03.2029,2058,USD,105.4695,8.9,107.665583,8.42
US900123CT57,26.04.2029,2101,USD,97.75025,8.55,100.060611,8.04
US900123AL40,15.01.2030,2365,USD,116.546847,8.56,119.172819,8.09
US900123CY43,13.03.2030,2422,USD,85.627583,8.52,87.82075,8.04
US900123DJ66,13.07.2030,2544,USD,101.421514,8.91,103.583208,8.5
US900123DA57,15.01.2031,2730,USD,85.937806,8.57,88.142861,8.14
US900123DC14,26.06.2031,2892,USD,85.268583,8.56,87.479222,8.14
US900123DG28,19.01.2033,3465,USD,102.440292,9.02,104.662375,8.68
US900123DD96,20.09.2033,3709,USD,88.815,8.5,91.092111,8.14
US900123AT75,14.02.2034,3856,USD,100.8,8.4,103.400444,8.03
US900123AY60,17.03.2036,4618,USD,88.801542,8.67,91.360736,8.31
US900123BB58,05.03.2038,5336,USD,91.637583,8.61,94.279861,8.27
US900123BG46,30.05.2040,6153,USD,82.741,8.86,85.2645,8.54
US900123BJ84,14.01.2041,6382,USD,75.522,8.79,77.933333,8.47
US900123CB40,16.04.2043,7204,USD,66.523167,8.56,68.77425,8.25
US900123CG37,17.02.2045,7877,USD,81.105042,8.92,83.489847,8.63
US900123CM05,11.05.2047,8690,USD,71.019917,8.8,73.291861,8.5
XS1843443356,31.03.2025,614,EUR,98.798484,6.34,100.973757,4.95
XS1629918415,14.06.2025,689,EUR,94.810951,6.47,96.98671,5.19
XS1909184753,16.02.2026,936,EUR,98.992452,6.62,101.188945,5.67
XS2361850527,08.07.2027,1443,EUR,91.630164,6.93,93.742071,6.28
