Kıymet Adı,Vade,Vadeye Kalan Gün,Döviz,Alış Fiyatı,Alış Oranı,Satış Fiyatı,Satış Oranı
US900123CR91,23.12.2023,122,USD,100.802333,8.40,102.882611,2.20
US900123CF53,22.03.2024,212,USD,101.050806,8.18,103.174750,4.44
US900123CV04,10.08.2024,353,USD,98.914306,7.79,101.087583,5.45
US900123CW86,14.11.2024,449,USD,98.807000,7.97,100.964111,6.12
US900123AW05,05.02.2025,532,USD,99.767750,7.82,101.936722,6.25
US900123CX69,13.03.2025,568,USD,96.354889,8.11,98.520500,6.59
US900123CZ18,14.10.2025,783,USD,98.680375,8.24,100.817792,7.14
US900123DB31,26.01.2026,887,USD,92.665250,8.31,94.841639,7.29
US900123CJ75,14.04.2026,965,USD,91.971917,8.35,94.161528,7.38
US900123CK49,09.10.2026,1143,USD,92.398583,8.35,94.589667,7.52
US900123CL22,25.03.2027,1310,USD,94.964667,8.46,97.236000,7.71
USM88269US88,24.09.2027,1493,USD,103.772444,8.53,106.040222,7.89
US900123DF45,15.01.2028,1606,USD,104.906361,8.79,107.099222,8.21
US900123CP36,17.02.2028,1639,USD,87.887417,8.45,90.087889,7.82
US900123CQ19,24.10.2028,1889,USD,92.114653,8.53,94.320681,7.98
US900123DH01,14.03.2029,2030,USD,105.851625,8.97,108.055708,8.49
US900123CT57,26.04.2029,2073,USD,97.606125,8.73,99.896486,8.21
US900123AL40,15.01.2030,2337,USD,117.028472,8.61,119.718444,8.12
US900123CY43,13.03.2030,2394,USD,85.136333,8.75,87.355500,8.26
US900123DJ66,13.07.2030,2516,USD,101.324889,9.06,103.519583,8.64
US900123DA57,15.01.2031,2702,USD,85.345056,8.80,87.606111,8.35
US900123DC14,26.06.2031,2864,USD,84.620208,8.80,86.874847,8.36
US900123DG28,19.01.2033,3437,USD,102.446417,9.12,104.660500,8.78
US900123DD96,20.09.2033,3681,USD,88.351500,8.67,90.690611,8.30
US900123AT75,14.02.2034,3828,USD,96.078000,8.60,98.638444,8.23
US900123AY60,17.03.2036,4590,USD,87.868167,8.90,90.380361,8.53
US900123BB58,05.03.2038,5308,USD,90.726333,8.81,93.300611,8.47
US900123BG46,30.05.2040,6125,USD,81.793250,9.06,84.340750,8.73
US900123BJ84,14.01.2041,6354,USD,74.670000,8.98,77.043333,8.65
US900123CB40,16.04.2043,7176,USD,65.368792,8.79,67.663875,8.46
US900123CG37,17.02.2045,7849,USD,77.029417,9.09,79.390222,8.79
US900123CM05,11.05.2047,8662,USD,69.697167,9.04,71.995111,8.73
XS1843443356,31.03.2025,586,EUR,99.912309,5.89,102.103582,4.45
XS1629918415,14.06.2025,661,EUR,96.013585,6.01,98.205344,4.68
XS1909184753,16.02.2026,908,EUR,100.204356,6.29,102.416849,5.31
XS2361850527,08.07.2027,1415,EUR,93.229863,6.57,95.461770,5.89
